IdElement;NomElement;Superficie;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal;SuperficieKm2;PoblacioPerKm2
DIS_3;Districte III;3660917;1103;4181;1861;899;3145;5986;12053;8797;5018;4060;47103;3,660917;12866
DIS_1;Districte I;2959510;1143;4241;2056;944;3525;6117;12626;10406;6117;5711;52886;2,95951;17870
DIS_6;Districte VI;3277647;574;2461;1252;627;2141;3177;7033;5933;3694;4640;31532;3,277647;9620
DIS_2;Districte II;949798;1377;4594;1998;979;4498;8884;13884;9833;3623;5006;54676;0,949798;57566
DIS_5;Districte V;930924;1014;3456;1533;732;3213;5793;9953;7283;3399;4572;40948;0,930924;43986
DIS_4;Districte IV;801283;1254;4195;1806;885;3990;7004;11312;8574;3486;4669;47175;0,801283;58874
