Id,Nom,Adreca,Telefon,Fax,CorreuElectronic,Barri,PaginaWeb,Coordenades,url_icona
99567,"Farmàcia Morales Ballús, Mónica",C. Montseny 140,934491593,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLix8TttAhb3KnByqazC3YBkQYH5phFwJq5qz0qazB,"(41.3696088255823, 2.11868663543619)",http://www.l-h.cat/img/planol/ico_farm.gif
99635,"Farmàcia Totosaus Arribas, Mª Pilar",C. Alegria 0050,934494636,,,Les Planes,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmr8KGsFN8ZJm4qazAdmiac0JBNRIMbJjieca4qazB,"(41.369114962844, 2.1141974370335)",http://www.l-h.cat/img/planol/ico_farm.gif
99597,"Farmàcia Huguet Higueras, LLuis",CR Collblanc 0050,934490064,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFDmTCqxwKcD5VFpKR3oavVr1Tb5vnPDqazC2sqazB,"(41.375827544932, 2.11915274508236)",http://www.l-h.cat/img/planol/ico_farm.gif
99623,"Farmàcia Bosch Sais, Roser",C. Cotonat 38,934491261,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKhc4HKRqueKWdcbMsqazAXJmS8ROJmUTQaZqYUqazB,"(41.3732810385825, 2.11479858066298)",http://www.l-h.cat/img/planol/ico_farm.gif
99579,"Farmàcia Bagaria de Casanova, Guillermo / Casanova Puigmartí, Mª Asunción",C. Enginyer Moncunill 0048,934490004,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeSLCqazCjULflZIlCkzGdsyX8WMzFTqLlfOrkqazB,"(41.3711724519867, 2.1100202755585)",http://www.l-h.cat/img/planol/ico_farm.gif
99613,"Farmàcia Pares Lucini, Juan",AV Masnou 0062,933340250,,,Les Planes,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdm6T7hybLWiI8idasgJEgw6Ai98lFZP33oqazB,"(41.3693237364974, 2.10857475448815)",http://www.l-h.cat/img/planol/ico_farm.gif
99640,"Farmàcia Ubeda Galindo, Miguel Isidro",AV Electricitat 8,934373845,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmouULDq9XTVNZYCAcKp3qHSyqazAiqazA6lj14o8qazB,"(41.3690922737266, 2.10197760617284)",http://www.l-h.cat/img/planol/ico_farm.gif
99636,"Farmàcia Totosaus Raventos, Jaume",PE Oliveras 0001,934491731,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmqKXPxJgZL4q9Ik9BncNzzkUp2pUBh5mC0qazB,"(41.3704440713859, 2.1171926489264)",http://www.l-h.cat/img/planol/ico_farm.gif
99570,"Farmàcia Bescos Mateu, Enric/ Mateu Cervello, Misericordia",C. Amadeu Torner 115,934223410,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLj9PIaq2UlvF4sVQwVwNm9MaV1M6pVvnaIqazB,"(41.3647767571078, 2.12050944170449)",http://www.l-h.cat/img/planol/ico_farm.gif
99602,"Farmàcia Golano Gibert, Marta",C. Pareto 39,933314594,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFAqazCZdGqazAmlmUqtdiTwLM11XHVKZwRFzumb8qazB,"(41.3654261715454, 2.12772236990293)",http://www.l-h.cat/img/planol/ico_farm.gif
99573,"Farmàcia Solís Montoya, Laureano",CR Collblanc 245,934383949,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLjbhSeHmjCRArWH19m2lQjqJJd9L1smqBgqazB,"(41.3762893384711, 2.10083819868218)",http://www.l-h.cat/img/planol/ico_farm.gif
99606,"Farmàcia Garcia Brocos, Jose",C. Marcel·lí Esquius 0040,934373094,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdkaM0gaxAqazAxY3ILnpfX7QRUn3eemqazAPpLWgqazB,"(41.3706383458304, 2.10041383643521)",http://www.l-h.cat/img/planol/ico_farm.gif
99572,"Farmàcia Escudero Cabrerizo, Susana",AV Granvia de l'Hospitalet 35,934216149,,,Granvia Sud,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLhGdz0v2SsGV8YcGmvzJkqazCrqazASKqFEmAe8kqazB,"(41.3615103392096, 2.13280803461424)",http://www.l-h.cat/img/planol/ico_farm.gif
280722,"Farmàcia de Bolós Giralt, Marta",TS Industrial 90,933355891,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?1GMP1Wlw01RkqOOtUjrD1LFwqazALgHTqJPcETGDB740S5wqazB,"(41.3578630398784, 2.11399142769542)",http://www.l-h.cat/img/planol/ico_farm.gif
99624,"Farmàcia Sainz Varona, Mª Pilar",RO Torrassa 0070,934312630,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKheJHZcOfDENx6DnIB5Zz43zUg98yYWekRsqazB,"(41.368772640932, 2.12596779904762)",http://www.l-h.cat/img/planol/ico_farm.gif
99574,"Farmàcia Cabré Menéndez, Mª Jose",C. Sanfeliu 0087,933381062,,,Sanfeliu,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLgT3byeBlMkqazAimeebHmOB9MWqazCeS4uiTQuAqazB,"(41.3663059671627, 2.08899523231116)",http://www.l-h.cat/img/planol/ico_farm.gif
99585,"Farmàcia Fontana Mendez, Pilar",PL Mare de Déu del Pilar 0008,934491278,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uRFucvoKhePGCg7U6Ci4qazAqazC8HDIrstqazCB9e0qazB,"(41.373027560818, 2.1064793863066)",http://www.l-h.cat/img/planol/ico_farm.gif
99600,"Farmàcia Martí i Mas, Carme",AV Josep Tarradellas i Joan 0107,933379049,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFDvr04MdCTF0ecUNnHgxf5ORqazCo0t3tCFKYqazB,"(41.3640705290142, 2.10833562197313)",http://www.l-h.cat/img/planol/ico_farm.gif
