DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
31/12/2018;5;Santa Eulàlia Nord;20054;8536;ABS_05
31/12/2018;11;Gornal;8868;3830;ABS_11
31/12/2018;1;Centre;29144;12971;ABS_01
31/12/2018;8;Florida Sud;23770;8661;ABS_08
31/12/2018;4;Torrassa;27142;10702;ABS_04
31/12/2018;2;Sant Josep;23025;9657;ABS_02
31/12/2018;9;Pubilla Cases;30300;11591;ABS_09
31/12/2018;7;Florida Nord;22340;8156;ABS_07
31/12/2018;12;Bellvitge;24842;10082;ABS_12
31/12/2018;3;Collblanc;26096;10674;ABS_03
31/12/2018;6;Santa Eulàlia Sud;24160;10265;ABS_06
31/12/2018;10;Can Serra;10159;4204;ABS_10
31/1/2019;5;Santa Eulàlia Nord;20121;8536;ABS_05
31/1/2019;10;Can Serra;10185;4204;ABS_10
31/1/2019;8;Florida Sud;23855;8661;ABS_08
31/1/2019;3;Collblanc;26235;10675;ABS_03
31/1/2019;9;Pubilla Cases;30437;11591;ABS_09
31/1/2019;1;Centre;29232;12971;ABS_01
31/1/2019;4;Torrassa;27296;10702;ABS_04
31/1/2019;12;Bellvitge;24861;10082;ABS_12
31/1/2019;2;Sant Josep;23094;9656;ABS_02
31/1/2019;11;Gornal;8919;3830;ABS_11
31/1/2019;6;Santa Eulàlia Sud;24217;10265;ABS_06
31/1/2019;7;Florida Nord;22454;8157;ABS_07
28/2/2019;2;Sant Josep;23069;9656;ABS_02
28/2/2019;1;Centre;29206;12971;ABS_01
28/2/2019;12;Bellvitge;24826;10082;ABS_12
28/2/2019;3;Collblanc;26175;10675;ABS_03
28/2/2019;7;Florida Nord;22370;8157;ABS_07
28/2/2019;8;Florida Sud;23826;8661;ABS_08
28/2/2019;6;Santa Eulàlia Sud;24222;10265;ABS_06
28/2/2019;5;Santa Eulàlia Nord;20119;8536;ABS_05
28/2/2019;11;Gornal;8938;3830;ABS_11
28/2/2019;9;Pubilla Cases;30341;11591;ABS_09
28/2/2019;10;Can Serra;10213;4205;ABS_10
28/2/2019;4;Torrassa;27265;10702;ABS_04
31/3/2019;4;Torrassa;27359;10702;ABS_04
31/3/2019;2;Sant Josep;23122;9662;ABS_02
31/3/2019;1;Centre;29275;12972;ABS_01
31/3/2019;8;Florida Sud;23919;8661;ABS_08
31/3/2019;5;Santa Eulàlia Nord;20200;8536;ABS_05
31/3/2019;12;Bellvitge;24902;10082;ABS_12
31/3/2019;6;Santa Eulàlia Sud;24305;10265;ABS_06
31/3/2019;9;Pubilla Cases;30492;11591;ABS_09
31/3/2019;10;Can Serra;10218;4205;ABS_10
31/3/2019;3;Collblanc;26247;10675;ABS_03
31/3/2019;11;Gornal;8983;3830;ABS_11
31/3/2019;7;Florida Nord;22453;8157;ABS_07
30/4/2019;5;Santa Eulàlia Nord;20325;8536;ABS_05
30/4/2019;12;Bellvitge;24978;10082;ABS_12
30/4/2019;8;Florida Sud;24121;8661;ABS_08
30/4/2019;7;Florida Nord;22593;8157;ABS_07
30/4/2019;9;Pubilla Cases;30742;11592;ABS_09
30/4/2019;4;Torrassa;27592;10702;ABS_04
30/4/2019;3;Collblanc;26341;10675;ABS_03
30/4/2019;2;Sant Josep;23222;9662;ABS_02
