WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1090858 41.3608041,2.1091759 41.3606804,2.1092665 41.3607176,2.1092445 41.3607479,2.1092811 41.3607629,2.1093009 41.3607357,2.1093865 41.3607679,2.1093009 41.3608887,2.1092121 41.3608561,2.1091708 41.360839,2.1090858 41.3608041)));;;;;;;-1;0;-1;;;666507419;yes;;;;;;300;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1091759 41.3606804,2.1092703 41.3605527,2.1094839 41.3606307,2.1093865 41.3607679,2.1093009 41.3607357,2.1092665 41.3607176,2.1091759 41.3606804)));;;;;;;-1;0;-1;;;666507420;yes;;;;;;336;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1095652 41.3612396,2.1096732 41.3610847,2.1097155 41.3610242,2.1098608 41.361085,2.1100427 41.3611611,2.1098978 41.3613362,2.1098147 41.3613503,2.1095652 41.3612396)));;;;;;;-1;0;-1;;;667759258;yes;;;;;;818;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1093775 41.361157,2.1094901 41.360996,2.1096732 41.3610847,2.1095652 41.3612396,2.1093775 41.361157)));;;;;;;-1;0;-1;;;667759259;yes;;;;;;360;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1098608 41.361085,2.1098965 41.3610399,2.1099081 41.3610445,2.1099285 41.3610169,2.1099364 41.3610216,2.1100747 41.3608339,2.1101887 41.3608768,2.1102143 41.3609416,2.1100427 41.3611611,2.1098608 41.361085)));;;;;;;-1;0;-1;;;667759260;yes;;;;;;525;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1097155 41.3610242,2.1097692 41.360954,2.1099062 41.3607751,2.1100747 41.3608339,2.1099364 41.3610216,2.1099285 41.3610169,2.1099081 41.3610445,2.1098965 41.3610399,2.1098608 41.361085,2.1097155 41.3610242)));;;;;;;-1;0;-1;;;667759261;yes;;;;;;497;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1096396 41.3608948,2.1097506 41.3607219,2.1099062 41.3607751,2.1097692 41.360954,2.1096396 41.3608948)));;;;;;;-1;0;-1;;;667759262;yes;;;;;;298;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1095008 41.360799,2.1095956 41.3606684,2.1097506 41.3607219,2.1096396 41.3608948,2.1095193 41.3608424,2.1095247 41.3608071,2.1095008 41.360799)));;;;;;;-1;0;-1;;;667759263;yes;;;;;;294;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1102255 41.3611903,2.1103221 41.3610634,2.1105715 41.3611731,2.1105138 41.3612335,2.1105259 41.3612386,2.1104809 41.3612885,2.1104696 41.361301,2.1102255 41.3611903)));;;;;;;-1;0;-1;;;667759884;yes;;;;;;393;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1103221 41.3610634,2.1103757 41.361003,2.1104682 41.3609789,2.1106708 41.3610473,2.1106232 41.3611076,2.1105924 41.3611466,2.1105715 41.3611731,2.1103221 41.3610634)));;;;;;;-1;0;-1;;;667759885;yes;;;;;;342;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1100397 41.3614204,2.1102255 41.3611903,2.1104696 41.361301,2.1103192 41.361477,2.1102993 41.3615003,2.110272 41.3615322,2.1102569 41.3615499,2.1100412 41.3614458,2.1100551 41.3614284,2.1100397 41.3614204)));;;;;;;-1;0;-1;;;667760042;yes;;;;;;759;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1066424 41.3610099,2.1066663 41.360976,2.1066852 41.3609497,2.1067177 41.3609637,2.1068349 41.3610127,2.1067944 41.3610702,2.1066466 41.3610116,2.1066424 41.3610099)));;;;;;;-1;0;-1;;;700663790;yes;;;;;;106;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1067944 41.3610702,2.1068349 41.3610127,2.1069575 41.3610588,2.1069845 41.3610699,2.1069669 41.3610975,2.1069448 41.3611293,2.1069372 41.3611263,2.1067944 41.3610702)));;;;;;;-1;0;-1;;;700663791;yes;;;;;;104;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1068847 41.3611999,2.1069372 41.3611263,2.1069448 41.3611293,2.1069669 41.3610975,2.1070419 41.361127,2.1069602 41.3612426,2.1068893 41.361216,2.1069001 41.3612068,2.1068847 41.3611999)));;;;;;;-1;0;-1;;;700663792;yes;;;;;;109;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1068439 41.3612594,2.1068893 41.361216,2.1069602 41.3612426,2.1069386 41.3612588,2.1069248 41.3612681,2.1068963 41.3612733,2.1068701 41.3612692,2.1068439 41.3612594)));;;;;;;-1;0;-1;;;700663793;yes;;;;;;35;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1066983 41.3611831,2.1067499 41.3611259,2.1068847 41.3611999,2.1069001 41.3612068,2.1068893 41.361216,2.1068439 41.3612594,2.1066983 41.3611831)));;;;;;;-1;0;-1;;;700663794;yes;;;;;;114;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1065648 41.3611105,2.106582 41.3610909,2.1066169 41.361056,2.1067499 41.3611259,2.1066983 41.3611831,2.1065648 41.3611105)));;;;;;;-1;0;-1;;;700663795;yes;;;;;;104;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.106498 41.3610761,2.1065897 41.3609455,2.1066663 41.360976,2.1066424 41.3610099,2.1066466 41.3610116,2.1066169 41.361056,2.106582 41.3610909,2.1065558 41.3610808,2.1065404 41.3610975,2.106498 41.3610761)));;;;;;;-1;0;-1;;;700663796;yes;;;;;;118;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1066296 41.3609295,2.1067101 41.360813,2.106766 41.3608364,2.1067989 41.3608502,2.1067177 41.3609637,2.1066852 41.3609497,2.1066296 41.3609295)));;;;;;;-1;0;-1;;;700663797;yes;;;;;;121;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.106766 41.3608364,2.1067856 41.360808,2.1068076 41.3607762,2.1068124 41.360778,2.1069565 41.3608349,2.106915 41.3608953,2.1067989 41.3608502,2.106766 41.3608364)));;;;;;;-1;0;-1;;;700663798;yes;;;;;;107;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.106915 41.3608953,2.1069565 41.3608349,2.1071054 41.360893,2.1071092 41.3608944,2.107086 41.3609296,2.1070695 41.3609547,2.1070422 41.3609442,2.106915 41.3608953)));;;;;;;-1;0;-1;;;700663799;yes;;;;;;109;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.107086 41.3609296,2.1071092 41.3608944,2.1071054 41.360893,2.10714 41.3608461,2.1071681 41.3608136,2.1072433 41.3608433,2.10716 41.360957,2.107086 41.3609296)));;;;;;;-1;0;-1;;;700663800;yes;;;;;;105;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1069575 41.3610588,2.1070422 41.3609442,2.1070695 41.3609547,2.1071196 41.360975,2.1070385 41.3610917,2.1069845 41.3610699,2.1069575 41.3610588)));;;;;;;-1;0;-1;;;700663801;yes;;;;;;110;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1069905 41.3607859,2.1070319 41.3607254,2.107186 41.3607863,2.1071681 41.3608136,2.10714 41.3608461,2.1069905 41.3607859)));;;;;;;-1;0;-1;;;700663802;yes;;;;;;110;DIS_1;Districte I;BAR_03;Sant Josep
