WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1078615 41.3763451,2.1079688 41.3762082,2.1079232 41.3761881,2.1079741 41.3761197,2.1080841 41.37617,2.1080385 41.3762304,2.1081013 41.3762603,2.1081699 41.376176,2.1084623 41.3763089,2.1084033 41.3763833,2.1084676 41.3764115,2.1084918 41.3763854,2.1085722 41.3764256,2.1085293 41.3764719,2.1084837 41.3764538,2.1083899 41.3765685,2.1083255 41.3765383,2.1083845 41.3764699,2.1080131 41.3763021,2.1079473 41.3763854,2.1078615 41.3763451)));Can Rigalt;;;;;;-1;0;-1;;;83256253;170;yes;;;Carretera de Collblanc;;1000;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1019184 41.3791312,2.1021115 41.3789763,2.1021563 41.3789798,2.1022805 41.3788797,2.1023449 41.3788797,2.1024227 41.378932,2.1029564 41.3785556,2.1030074 41.3785496,2.1033258 41.3788027,2.1033258 41.3788369,2.1028009 41.3792238,2.1027472 41.3792258,2.1025836 41.3793607,2.1025139 41.3794331,2.1026802 41.3795458,2.1026775 41.3796827,2.1025595 41.3797612,2.1023932 41.3797652,2.1022752 41.3796746,2.1022644 41.3795519,2.1023449 41.3794915,2.1019211 41.3791594,2.1019184 41.3791312)));Complex Esportiu l'Hospitalet Nord;;;;;;-1;0;-1;;;123266972;;yes;;;;;6512;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1006712 41.3767342,2.1007731 41.3767281,2.1008045 41.3770014,2.1008375 41.3770019,2.1008555 41.3771825,2.100816 41.377185,2.1007114 41.3770079,2.1006712 41.3767342)));"Camp Municipal de Futbol ""Pubilla Casas""";;;;;;-1;0;-1;;;123266974;;yes;;;;;391;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1087849 41.3751199,2.1089491 41.3751144,2.108969 41.3756749,2.1088117 41.3756753,2.1087849 41.3751199)));;;;;;;-1;0;-1;;;244945875;;residential;;;;;834;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1025956 41.3757699,2.1029548 41.3757447,2.1029179 41.3757783,2.1026139 41.3758039,2.1025956 41.3757699)));;;;;;;-1;0;-1;;;249176613;;school;;;;;102;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.100908 41.3728515,2.1009218 41.3728297,2.1009945 41.3727146,2.1014362 41.3728587,2.1013836 41.3729671,2.1013593 41.3730172,2.100908 41.3728515)));Biblioteca La Bòbila;;;;;;-1;0;-1;;;265300906;;yes;;;;;730;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1063323 41.3751772,2.1064243 41.3751631,2.106431 41.3751857,2.1064368 41.375185,2.1064496 41.3752285,2.1064621 41.3752707,2.1063656 41.375287,2.1063323 41.3751772)));El PAHtio;;;;;;-1;0;-1;;;310953594;22;civic;;;Avinguda de Josep Molins;;102;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1063453 41.3753336,2.1063841 41.3753285,2.1063764 41.3753008,2.106576 41.3752701,2.1065918 41.3753311,2.1063545 41.3753689,2.106351 41.375355,2.1063453 41.3753336)));;;;;;;-1;0;-1;;;311392508;20;apartments;;;Avinguda de Josep Molins;;131;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1063875 41.3750405,2.1064555 41.375036,2.1065274 41.3750778,2.1065412 41.3751324,2.1063996 41.3751524,2.1063949 41.3751087,2.1063875 41.3750405)));;;;;;;-1;0;-1;;;311392509;24;apartments;;;Avinguda de Josep Molins;;123;DIS_5;Districte V;BAR_10;Pubilla Cases
MULTIPOLYGON (((2.1063821 41.3754752,2.1064462 41.3754649,2.1066188 41.3754376,2.106632 41.3754906,2.1064098 41.3755247,2.1063956 41.3755269,2.1063821 41.3754752)));;;;;;;-1;0;-1;;;311542002;14;apartments;;;Avinguda de Josep Molins;;120;DIS_5;Districte V;BAR_10;Pubilla Cases
