WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.0870399 41.3667397,2.0870464 41.3658109,2.0873692 41.3658121,2.0873627 41.366741,2.0870399 41.3667397)));;;;;;;-1;0;-1;;;243409719;;yes;;;;;2786;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0874966 41.3646812,2.0876634 41.3646022,2.0878364 41.3645488,2.0880229 41.3645126,2.088224 41.3644935,2.0883943 41.3644985,2.0885673 41.3645176,2.088731 41.3645539,2.0888879 41.3646022,2.0890139 41.3646575,2.08913 41.3647218,2.0891521 41.3647353,2.0892079 41.3647696,2.0892274 41.3647895,2.0891778 41.3648201,2.0891548 41.3648015,2.0890628 41.3648639,2.0889744 41.3648056,2.0889628 41.3648,2.0888605 41.3647506,2.0887487 41.3647056,2.0886227 41.3646706,2.0884967 41.3646469,2.0883635 41.3646339,2.0882446 41.3646301,2.0880982 41.3646416,2.0879763 41.3646591,2.0878482 41.3646919,2.0877344 41.3647293,2.0876337 41.3647745,2.087572 41.364706,2.0875281 41.3647217,2.0874966 41.3646812)));;;;;;;-1;0;-1;;;244848500;;apartments;;;;;2170;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0898849 41.3640595,2.0901043 41.3640138,2.0903277 41.3646179,2.0901083 41.3646636,2.0898849 41.3640595)));;;;;;;-1;0;-1;;;244848504;;yes;;;;;1326;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0874616 41.3646354,2.0875749 41.364573,2.0876308 41.3645191,2.0877085 41.3644657,2.0878024 41.3644194,2.0878762 41.3643912,2.0880063 41.36436,2.088131 41.3643459,2.0882933 41.3643469,2.0884104 41.3643646,2.0885588 41.3643822,2.0886867 41.364419,2.0888082 41.3644526,2.0889201 41.3645035,2.0890072 41.3645468,2.0890864 41.3645941,2.0891668 41.3646485,2.0892191 41.3646827,2.0891521 41.3647353,2.08913 41.3647218,2.0890139 41.3646575,2.0888879 41.3646022,2.088731 41.3645539,2.0885673 41.3645176,2.0883943 41.3644985,2.088224 41.3644935,2.0880229 41.3645126,2.0878364 41.3645488,2.0876634 41.3646022,2.0874966 41.3646812,2.0874616 41.3646354)));;;;;;;-1;0;-1;;;265053340;;yes;;;;;2001;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0918339 41.3622556,2.091834 41.3622506,2.0918353 41.3622459,2.0918379 41.3622411,2.0918424 41.3622366,2.0918484 41.3622323,2.0918551 41.3622288,2.0918655 41.3622263,2.0918801 41.3622264,2.091889 41.3622284,2.0918966 41.3622317,2.091904 41.3622374,2.0919088 41.3622444,2.0919205 41.3622481,2.0919292 41.3622326,2.0925131 41.3624025,2.0925201 41.3624054,2.0925256 41.362409,2.0925307 41.3624136,2.0925354 41.3624206,2.0925372 41.3624269,2.0925371 41.362434,2.0925344 41.362442,2.0925299 41.3624496,2.092525 41.3624529,2.092487 41.3624678,2.0924355 41.3624839,2.0923889 41.3624948,2.0923551 41.3625011,2.0923232 41.3625052,2.0923011 41.3625075,2.0922741 41.3625091,2.0922391 41.3625096,2.0922398 41.3625181,2.0921715 41.3625232,2.0921357 41.3625228,2.0920973 41.3625198,2.0920631 41.3625153,2.0920216 41.3625061,2.0919883 41.3624956,2.091967 41.3624875,2.0919409 41.3624763,2.0919117 41.3624608,2.0918829 41.3624422,2.0918641 41.3624283,2.0918525 41.3624187,2.0918914 41.3623784,2.0918851 41.3623737,2.0918778 41.3623674,2.0918683 41.3623538,2.091864 41.3623461,2.0918611 41.3623398,2.0918484 41.3622788,2.0918411 41.3622726,2.0918371 41.362267,2.0918347 41.3622604,2.0918339 41.3622556)));Tanatori L'Hospitalet Ronda;;;;;;-1;0;-1;;;309844585;;yes;;;;;1152;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0924443 41.365153,2.0926228 41.3650215,2.0925531 41.3649682,2.0926962 41.3648629,2.0928401 41.364973,2.0925185 41.3652098,2.0924443 41.365153)));;;;;;;-1;0;-1;;;380899629;;yes;;;;;472;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0913483 41.3662038,2.0913754 41.3661735,2.0914584 41.3660805,2.0926376 41.3666734,2.0923743 41.3669683,2.0920079 41.3667841,2.0920303 41.3667591,2.0914683 41.3664765,2.0914942 41.3664475,2.0915991 41.3663299,2.0913483 41.3662038)));;;;;;;-1;0;-1;;;402272951;;roof;;;;;3913;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0921433 41.3656371,2.092146 41.3655971,2.092186 41.3655667,2.0922201 41.3655409,2.0922474 41.3655201,2.0922867 41.3654903,2.0923386 41.3654509,2.0925326 41.3653036,2.0928074 41.3655075,2.0926105 41.3656569,2.0925592 41.3656959,2.0925418 41.3657091,2.0931528 41.3661624,2.0931307 41.3661792,2.0930981 41.366204,2.0930618 41.3662315,2.0930277 41.3662574,2.0930029 41.3662762,2.0921433 41.3656371)));;;;;;;-1;0;-1;;;566343280;;yes;;;;;2859;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.091691 41.3660993,2.0922049 41.3657099,2.0925135 41.3659392,2.0919996 41.3663286,2.091691 41.3660993)));;;;;;;-1;0;-1;;;566343281;;yes;;;;;2212;DIS_1;Districte I;BAR_02;Sanfeliu
MULTIPOLYGON (((2.0960941 41.3638142,2.0961314 41.3637413,2.0962278 41.3637692,2.0961899 41.3638414,2.0960941 41.3638142)));;;;;;;-1;0;-1;;;710731231;20;house;;;Camí de la Fonteta;;74;DIS_1;Districte I;BAR_02;Sanfeliu
