WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1040983 41.3695711,2.1042228 41.369337,2.1047411 41.3695038,2.1046107 41.3697392,2.1040983 41.3695711)));;;;;;;-1;0;-1;;;82802984;;civic;;;;;1322;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1156683 41.3691476,2.115692 41.3687395,2.1158403 41.3686327,2.1164077 41.368649,2.1165521 41.3687558,2.1165165 41.3691683,2.1163919 41.3692633,2.1158047 41.3692485,2.1156683 41.3691476)));;;;;;;-1;0;-1;;;281282004;;apartments;;;;;4622;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.114843 41.369024,2.114945 41.3690501,2.1150399 41.3690824,2.1150355 41.3690844,2.1150693 41.3690931,2.1151274 41.3691087,2.1150845 41.3691278,2.1151076 41.3691464,2.115146 41.3691135,2.1151777 41.3691223,2.1152164 41.3691331,2.1152123 41.3691414,2.1152384 41.3691499,2.1152447 41.3691409,2.1152641 41.3691462,2.1153037 41.3691569,2.1153307 41.3691643,2.1153544 41.3691707,2.1153974 41.3691812,2.1154434 41.3691923,2.1154756 41.3692019,2.1154625 41.369215,2.1154299 41.3692476,2.11534 41.3692453,2.115266 41.3692434,2.1151764 41.3692402,2.1150928 41.3692372,2.1150153 41.3692345,2.1150106 41.3692289,2.1149699 41.3691801,2.1149316 41.369133,2.1148868 41.3690779,2.114843 41.369024)));;;;;;;-1;0;-1;;;281312441;;apartments;;;;;545;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1142434 41.3691685,2.114486 41.3689021,2.1146147 41.3689302,2.1148508 41.3692125,2.1148035 41.3692468,2.1142808 41.3692199,2.1142434 41.3691685)));;;;;;;-1;0;-1;;;281317019;;apartments;;;;;1166;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1056304 41.3693075,2.1057396 41.3691154,2.1063348 41.3693059,2.10631 41.3693494,2.1063709 41.3693689,2.1063135 41.3694699,2.106197 41.3694327,2.10617 41.3694802,2.1056304 41.3693075)));Mossos d'Esquadra;;;;;;-1;0;-1;;;298035372;;civic;;;;;1294;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1050184 41.3691307,2.1050837 41.3690139,2.1053877 41.369107,2.1054808 41.3689351,2.1056412 41.3689842,2.1054749 41.3692766,2.1050184 41.3691307)));Unitat Polivalent en Salut Mental;;;;;;-1;0;-1;;;298035373;;yes;;;;;893;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.104211 41.3706163,2.1044912 41.3703779,2.105173 41.3708055,2.1048181 41.3709983,2.1046826 41.3709667,2.1045332 41.3709597,2.104211 41.3706163)));;;;;;;-1;0;-1;;;544176968;;house;;;;;2865;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1046593 41.3701712,2.1047433 41.3700135,2.1050235 41.3700941,2.1049535 41.3702553,2.1046593 41.3701712)));;;;;;;-1;0;-1;;;544176969;;house;;;;;484;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1051169 41.370455,2.1051776 41.3703359,2.1053749 41.3703715,2.1054298 41.3703815,2.1053738 41.3705321,2.1051169 41.370455)));;;;;;;-1;0;-1;;;544176970;;house;;;;;352;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1053749 41.3703715,2.1054298 41.3702237,2.1056035 41.3702672,2.105696 41.3702903,2.1056306 41.370448,2.1053749 41.3703715)));;;;;;;-1;0;-1;;;544176971;;house;;;;;410;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1056035 41.3702672,2.105668 41.3701221,2.1059529 41.3702062,2.1058828 41.3703569,2.1056035 41.3702672)));;;;;;;-1;0;-1;;;544176972;;house;;;;;442;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1058174 41.3701221,2.1059248 41.3698978,2.1060014 41.3698508,2.106079 41.3697401,2.1063358 41.3698032,2.1062331 41.3699854,2.1061116 41.3701957,2.1058174 41.3701221)));;;;;;;-1;0;-1;;;544176973;;service;;;;;1208;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1040398 41.3688476,2.1042715 41.3688322,2.1042846 41.368943,2.1040528 41.3689583,2.1040398 41.3688476)));;;;;;;-1;0;-1;;;556289739;1;residential;;;;;240;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1042005 41.3683373,2.1043607 41.3683255,2.1044036 41.3686543,2.1042434 41.368666,2.1042005 41.3683373)));;;;;;;-1;0;-1;;;556289741;;residential;;;;;494;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1035997 41.3683563,2.1036803 41.368353,2.1036796 41.3683428,2.1037148 41.3683413,2.1037154 41.3683496,2.1038433 41.3683442,2.1038424 41.3683332,2.1038784 41.3683317,2.1038791 41.3683407,2.1040074 41.3683352,2.104014 41.3684223,2.1039052 41.3684269,2.1039064 41.3684429,2.1038958 41.3684433,2.1038945 41.3684265,2.1038508 41.3684283,2.1038521 41.368446,2.1038416 41.3684464,2.1038404 41.3684306,2.103765 41.3684338,2.1037664 41.3684525,2.1037543 41.368453,2.1037522 41.3684252,2.1037344 41.3684259,2.1037364 41.3684528,2.1037144 41.3684538,2.1037136 41.3684424,2.1036065 41.3684469,2.1035997 41.3683563)));;;;;;;-1;0;-1;;;556289743;;residential;;;;;346;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1035649 41.3686103,2.103636 41.3686065,2.1036351 41.3685963,2.1036528 41.3685954,2.1036544 41.3686124,2.1036779 41.3686111,2.1036765 41.3685964,2.1036895 41.3685957,2.1036906 41.3686068,2.1037659 41.3686029,2.103765 41.3685924,2.1037793 41.3685917,2.1037806 41.3686051,2.1037976 41.3686043,2.1037956 41.368583,2.1038404 41.3685807,2.1038409 41.3685863,2.103951 41.3685806,2.1039603 41.3686814,2.1038447 41.3686874,2.103846 41.368701,2.1038153 41.3687026,2.1038141 41.36869,2.1036666 41.3686978,2.103668 41.3687131,2.1036493 41.3687141,2.1036475 41.3686952,2.1035733 41.3686991,2.1035649 41.3686103)));;;;;;;-1;0;-1;;;556289744;;residential;;;;;351;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1033684 41.3694132,2.1033705 41.3693516,2.103521 41.3693552,2.1035248 41.3692955,2.1036073 41.3692977,2.1036015 41.3694674,2.1036082 41.3694891,2.1036549 41.36964,2.1042944 41.3703748,2.1042122 41.3704151,2.1041767 41.3703763,2.1040532 41.3704338,2.1040016 41.37038,2.1041323 41.3703249,2.1040605 41.3702359,2.1039258 41.3702813,2.1038733 41.3702304,2.1040153 41.3701826,2.1039306 41.3700827,2.1038895 41.3701009,2.1037919 41.3701317,2.1037451 41.3700815,2.1038346 41.3700524,2.1038846 41.3700313,2.1038056 41.3699344,2.1037661 41.3699513,2.1036652 41.3699852,2.1036168 41.3699314,2.1037193 41.369895,2.103758 41.3698751,2.1036789 41.3697879,2.1035402 41.3698357,2.103491 41.3697824,2.1036297 41.3697267,2.1035845 41.3696759,2.1035571 41.3696032,2.1034103 41.369625,2.1033942 41.3695675,2.1035402 41.3695439,2.1035168 41.3694749,2.1035184 41.3694192,2.1033684 41.3694132)));;;;;;;-1;0;-1;;;557126112;;residential;;;;;1658;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065587 41.3662019,2.1065903 41.366139,2.1066542 41.3661571,2.1066225 41.36622,2.1065587 41.3662019)));;;;;;;-1;0;-1;;;717383874;;yes;;;;;43;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1062704 41.3656911,2.1063242 41.3655983,2.1063559 41.3656084,2.1063037 41.365702,2.1062704 41.3656911)));;;;;;;-1;0;-1;;;717383875;;yes;;;;;33;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.106316 41.3659398,2.106361 41.3658475,2.106391 41.3658558,2.1063459 41.365948,2.106316 41.3659398)));;;;;;;-1;0;-1;;;717383876;;yes;;;;;29;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.106361 41.3658475,2.1064587 41.3656466,2.1064887 41.3656549,2.106391 41.3658558,2.106361 41.3658475)));;;;;;;-1;0;-1;;;717383877;;yes;;;;;64;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1066594 41.3656522,2.1066729 41.3656251,2.1067355 41.3656431,2.1067228 41.3656701,2.1066594 41.3656522)));;;;;;;-1;0;-1;;;717383878;;yes;;;;;18;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1064845 41.3661816,2.1065287 41.3660873,2.1065327 41.3660884,2.1065674 41.3660987,2.1065208 41.3661921,2.1064845 41.3661816)));;;;;;;-1;0;-1;;;717383879;;yes;;;;;37;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1066087 41.3660195,2.1067072 41.3658112,2.1067404 41.36582,2.1066419 41.3660284,2.1066087 41.3660195)));;;;;;;-1;0;-1;;;717383880;;yes;;;;;72;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1060256 41.3658307,2.1060831 41.3657261,2.1061153 41.3657349,2.1060573 41.3658396,2.1060256 41.3658307)));;;;;;;-1;0;-1;;;717383881;;yes;;;;;36;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1066844 41.3657661,2.1066983 41.3657375,2.1069403 41.3658035,2.1069264 41.3658321,2.1066844 41.3657661)));;;;;;;-1;0;-1;;;717383882;;yes;;;;;73;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1063459 41.365948,2.106391 41.3658558,2.1064226 41.3658645,2.1063772 41.3659565,2.1063459 41.365948)));;;;;;;-1;0;-1;;;717383883;;yes;;;;;31;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.106391 41.3658558,2.1064887 41.3656549,2.1065204 41.3656636,2.1064226 41.3658645,2.106391 41.3658558)));;;;;;;-1;0;-1;;;717383884;;yes;;;;;67;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1067228 41.3656701,2.1067355 41.3656431,2.1067942 41.36566,2.1067818 41.3656874,2.1067228 41.3656701)));;;;;;;-1;0;-1;;;717383885;;yes;;;;;17;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065761 41.3656282,2.1065879 41.3656009,2.1066729 41.3656251,2.1066594 41.3656522,2.1065761 41.3656282)));;;;;;;-1;0;-1;;;717383886;;yes;;;;;24;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1064526 41.3661723,2.1065087 41.3660521,2.1065453 41.3660637,2.1065327 41.3660884,2.1065287 41.3660873,2.1064845 41.3661816,2.1064526 41.3661723)));;;;;;;-1;0;-1;;;717383887;;yes;;;;;42;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065087 41.3660521,2.1066601 41.3657298,2.1066983 41.3657375,2.1066844 41.3657661,2.1065453 41.3660637,2.1065087 41.3660521)));;;;;;;-1;0;-1;;;717383888;;yes;;;;;126;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065327 41.3660884,2.1065453 41.3660637,2.1066795 41.366102,2.1066669 41.3661268,2.1065674 41.3660987,2.1065327 41.3660884)));;;;;;;-1;0;-1;;;717383889;;yes;;;;;36;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1067301 41.3660097,2.1068077 41.3658393,2.1068409 41.3658474,2.1067624 41.3660181,2.1067301 41.3660097)));;;;;;;-1;0;-1;;;717383890;;yes;;;;;58;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1063037 41.365702,2.1063559 41.3656084,2.1063851 41.3656184,2.1063339 41.365712,2.1063037 41.365702)));;;;;;;-1;0;-1;;;718995704;;yes;;;;;31;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.106484 41.3666276,2.1065628 41.3665666,2.1065883 41.3665857,2.1065089 41.3666451,2.106484 41.3666276)));;;;;;;-1;0;-1;;;718995705;;yes;;;;;28;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1061468 41.3663685,2.1062363 41.3661733,2.1062678 41.366182,2.1061768 41.3663758,2.1061468 41.3663685)));;;;;;;-1;0;-1;;;718995707;;yes;;;;;62;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.106458 41.3666093,2.1065373 41.3665476,2.1065628 41.3665666,2.106484 41.3666276,2.106458 41.3666093)));;;;;;;-1;0;-1;;;718995708;;yes;;;;;28;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.105306 41.3664963,2.1053512 41.3663921,2.1053882 41.3663599,2.1054121 41.3663753,2.1053813 41.3664036,2.1053367 41.3665025,2.105306 41.3664963)));;;;;;;-1;0;-1;;;718995709;;yes;;;;;44;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1061154 41.3663606,2.1062053 41.366165,2.1062363 41.3661733,2.1061468 41.3663685,2.1061154 41.3663606)));;;;;;;-1;0;-1;;;718995710;;yes;;;;;63;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1059861 41.3661776,2.1059987 41.366151,2.1060835 41.3661733,2.1060707 41.3662,2.1059861 41.3661776)));;;;;;;-1;0;-1;;;718995711;;yes;;;;;24;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065704 41.3664485,2.1066725 41.3663711,2.1066962 41.3663884,2.1065937 41.3664654,2.1065704 41.3664485)));;;;;;;-1;0;-1;;;718995712;;yes;;;;;33;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1055182 41.3662425,2.1055494 41.3662147,2.1055723 41.3662292,2.1055412 41.366257,2.1055182 41.3662425)));;;;;;;-1;0;-1;;;718995714;;yes;;;;;10;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1059987 41.366151,2.1060095 41.3661271,2.1060949 41.3661497,2.1060835 41.3661733,2.1059987 41.366151)));;;;;;;-1;0;-1;;;718995715;;yes;;;;;21;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1065936 41.3664653,2.1066962 41.3663884,2.1067211 41.3664075,2.1066191 41.3664844,2.1065936 41.3664653)));;;;;;;-1;0;-1;;;718995716;;yes;;;;;36;DIS_4;Districte IV;BAR_08;Les Planes
MULTIPOLYGON (((2.1060408 41.3658695,2.106055 41.3658432,2.1062588 41.3658988,2.1062451 41.3659256,2.1061498 41.365899,2.1060408 41.3658695)));;;;;;;-1;0;-1;;;718995717;;yes;;;;;57;DIS_4;Districte IV;BAR_08;Les Planes
