WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1137666 41.3750446,2.1138337 41.3748561,2.1146612 41.3750114,2.1147041 41.3748846,2.1148203 41.374906,2.1148716 41.3747387,2.115333 41.3748273,2.1151721 41.3752862,2.1137666 41.3750446)));Pavelló Fum d'Estampa;;;;;;-1;0;-1;;;82576584;yes;;;;;;3934;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1173638 41.3752428,2.1174168 41.3751491,2.1174679 41.3751648,2.1174767 41.3751476,2.1176538 41.3752035,2.1176384 41.3752256,2.1176876 41.3752448,2.1176406 41.3753286,2.1173638 41.3752428)));Torre Barrina;;;;;;-1;0;-1;;;82639130;yes;;;Passatge d'Amat;;;310;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1194173 41.375656,2.1194251 41.3754543,2.1196056 41.3754471,2.1195989 41.375471,2.1196133 41.3756561,2.1195331 41.3756559,2.1194173 41.375656)));;;;;;;-1;0;-1;;;142052047;apartments;;;;;;352;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1192743 41.3756576,2.1192756 41.3754527,2.1194251 41.3754543,2.1194173 41.375656,2.1192743 41.3756576)));;;;;;;-1;0;-1;;;142111557;apartments;;;;;;276;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1190104 41.3752809,2.1193379 41.3752754,2.1193376 41.3753916,2.119248 41.3753816,2.1191955 41.3753823,2.1190753 41.3753858,2.1190104 41.3752809)));;;;;;;-1;0;-1;;;142111558;apartments;;;;;;293;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1209613 41.3757932,2.1211751 41.3757924,2.1211889 41.3761166,2.1209613 41.3760117,2.1209613 41.3757932)));;;;;;;-1;0;-1;;;146766559;apartments;;;;;;553;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1187251 41.376229,2.1187653 41.3760659,2.1189531 41.3760901,2.1189437 41.3761217,2.1189048 41.3762531,2.1188619 41.3762894,2.1187251 41.376229)));;;;;;;-1;0;-1;;;146766561;apartments;;;;;;323;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1187761 41.3760277,2.1188217 41.3758264,2.1190157 41.3758251,2.1189943 41.3759099,2.1189594 41.3760485,2.1187761 41.3760277)));;;;;;;-1;0;-1;;;146766564;apartments;;;;;;377;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1202808 41.3763115,2.1204122 41.3761545,2.1204846 41.3761887,2.1204695 41.3762156,2.120499 41.3762277,2.120482 41.3762491,2.1203515 41.3763967,2.1202888 41.3763699,2.1202808 41.3763115)));;;;;;;-1;0;-1;;;146766569;apartments;;;;;;245;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1204122 41.3761545,2.1205383 41.3759935,2.1206224 41.3759821,2.1206787 41.3760123,2.1205688 41.3761422,2.1205339 41.3761834,2.1205007 41.3761686,2.1204846 41.3761887,2.1204122 41.3761545)));;;;;;;-1;0;-1;;;146766575;apartments;;;;;;252;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1207618 41.3766201,2.1208977 41.3764504,2.1210488 41.3765195,2.1209057 41.3766899,2.1207618 41.3766201)));;;;;;;-1;0;-1;;;146766579;apartments;;;;;;323;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1209057 41.3766899,2.1210488 41.3765195,2.1211901 41.3765913,2.1210452 41.3767523,2.1209057 41.3766899)));;;;;;;-1;0;-1;;;146766592;apartments;;;;;;306;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1204158 41.376441,2.1205571 41.3762793,2.120836 41.3764121,2.1206965 41.3765812,2.1204158 41.376441)));;;;;;;-1;0;-1;;;146766602;apartments;;;;;;608;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1203515 41.3763967,2.120482 41.3762491,2.1205571 41.3762793,2.1204158 41.376441,2.1203515 41.3763967)));;;;;;;-1;0;-1;;;146766616;apartments;;;;;;147;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1208708 41.3763759,2.120895 41.3763537,2.1210371 41.3761947,2.1211095 41.376231,2.1209472 41.3763946,2.1209298 41.3764121,2.1208708 41.3763759)));;;;;;;-1;0;-1;;;147682239;apartments;;;;;;166;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1210452 41.3767523,2.1211901 41.3765913,2.1212705 41.3766335,2.1211256 41.3767925,2.1210452 41.3767523)));;;;;;;-1;0;-1;;;147682240;apartments;;;;;;175;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.11957 41.3767241,2.1196397 41.3766254,2.1196638 41.3766315,2.1197092 41.3765804,2.119688 41.3765691,2.1197017 41.3765493,2.1197228 41.3765188,2.1197765 41.376549,2.1198084 41.376518,2.1199106 41.376563,2.1197497 41.3767643,2.1196612 41.3767764,2.11957 41.3767241)));;;;;;;-1;0;-1;;;147682241;apartments;;;;;;428;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1197006 41.3763177,2.1197402 41.3762698,2.1200313 41.3764181,2.1199884 41.3764745,2.1197006 41.3763177)));;;;;;;-1;0;-1;;;147682242;apartments;;;;;;199;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.120608 41.3762008,2.1206348 41.3761746,2.1207525 41.376049,2.1210371 41.3761947,2.120895 41.3763537,2.120608 41.3762008)));;;;;;;-1;0;-1;;;147682243;apartments;;;;;;610;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1211256 41.3767925,2.1212705 41.3766335,2.1213349 41.3766717,2.1212631 41.376749,2.1211927 41.3768247,2.1211256 41.3767925)));;;;;;;-1;0;-1;;;147682246;apartments;;;;;;142;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1196263 41.3760941,2.1196451 41.3759955,2.119637 41.3758123,2.1198114 41.3758063,2.1198252 41.3759223,2.1198301 41.3759633,2.1197734 41.3761072,2.1196746 41.3761021,2.1196263 41.3760941)));;;;;;;-1;0;-1;;;147682247;apartments;;;;;;473;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1205688 41.3761422,2.1206787 41.3760123,2.1207525 41.376049,2.1206348 41.3761746,2.1205688 41.3761422)));;;;;;;-1;0;-1;;;147682248;apartments;;;;;;119;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1194758 41.3760812,2.1194895 41.3759935,2.1194895 41.3758163,2.119637 41.3758123,2.1196451 41.3759955,2.1196263 41.3760941,2.1194758 41.3760812)));;;;;;;-1;0;-1;;;147682250;apartments;;;;;;387;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1188619 41.3762894,2.1189048 41.3762531,2.1189437 41.3761217,2.1190764 41.3761343,2.1191274 41.3761504,2.1189313 41.3763328,2.1188619 41.3762894)));;;;;;;-1;0;-1;;;147682252;apartments;;;;;;240;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1191086 41.3764342,2.1194758 41.3760812,2.1196236 41.3761625,2.1194808 41.3763259,2.11946 41.3763497,2.1192856 41.3765429,2.1191086 41.3764342)));;;;;;;-1;0;-1;;;147682253;apartments;;;;;;869;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1198314 41.3761668,2.1198763 41.3761114,2.1199233 41.3761335,2.1199321 41.3761376,2.1200225 41.3761796,2.1200468 41.3761909,2.1200392 41.376199,2.1200581 41.376208,2.120065 41.3761994,2.1201068 41.3762189,2.1201622 41.3762448,2.1201248 41.3762914,2.1201186 41.3762992,2.1200952 41.3762884,2.1200658 41.3762749,2.1200251 41.3762561,2.1200032 41.376246,2.1199639 41.3762279,2.1199335 41.3762138,2.1198915 41.3761945,2.1198877 41.3761928,2.1198715 41.3761853,2.1198314 41.3761668)));;;;;;;-1;0;-1;;;147682255;retail;;;Carrer de Francesc Layret;;;199;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1210932 41.3764656,2.1212463 41.3763014,2.121308 41.3763356,2.1211728 41.3764833,2.1211522 41.3765059,2.1210932 41.3764656)));;;;;;;-1;0;-1;;;147682256;apartments;;;;;;147;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1198185 41.3762134,2.1198388 41.3761885,2.1198604 41.3761989,2.1198715 41.3761853,2.1198877 41.3761928,2.1198915 41.3761945,2.1199335 41.3762138,2.1199639 41.3762279,2.1200032 41.376246,2.1200251 41.3762561,2.1200658 41.3762749,2.1200952 41.3762884,2.1201186 41.3762992,2.1201116 41.3763079,2.1200754 41.3763528,2.120052 41.3763419,2.1200223 41.3763282,2.1199921 41.3763142,2.1199045 41.3762732,2.1198453 41.3762455,2.1198286 41.3762377,2.1198401 41.3762238,2.1198185 41.3762134)));;;;;;;-1;0;-1;;;147682257;apartments;;;Carrer de Francesc Layret;;;175;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1194359 41.3766355,2.1195739 41.3764704,2.1196397 41.3765007,2.1196799 41.3765248,2.1197017 41.3765493,2.119688 41.3765691,2.1197092 41.3765804,2.1196638 41.3766315,2.1196397 41.3766254,2.11957 41.3767241,2.1194359 41.3766355)));;;;;;;-1;0;-1;;;147682259;apartments;;;;;;332;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1197454 41.3762733,2.1197892 41.3762194,2.1198188 41.3762331,2.1198286 41.3762377,2.1198453 41.3762455,2.1199045 41.3762732,2.1199921 41.3763142,2.1200223 41.3763282,2.120052 41.3763419,2.1200754 41.3763528,2.1200381 41.3763989,2.1200313 41.3764072,2.1199577 41.3763726,2.1199193 41.3763547,2.11989 41.3763409,2.1198829 41.3763376,2.1198095 41.3763032,2.1197805 41.3762897,2.1197454 41.3762733)));;;;;;;-1;0;-1;;;147682261;apartments;;;Carrer de Francesc Layret;;;198;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1189943 41.3759099,2.1190157 41.3758251,2.1191462 41.3758224,2.1191513 41.3759947,2.1190308 41.3759935,2.1190147 41.3759552,2.1190121 41.3759351,2.1190416 41.3759351,2.1190362 41.375915,2.1189943 41.3759099)));;;;;;;-1;0;-1;;;147682262;apartments;;;;;;213;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1198114 41.3758063,2.1199374 41.3758083,2.1199428 41.375921,2.1198252 41.3759223,2.1198114 41.3758063)));;;;;;;-1;0;-1;;;147682264;apartments;;;;;;129;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1211728 41.3764833,2.121308 41.3763356,2.1214126 41.3763839,2.121403 41.3766821,2.1213664 41.376639,2.1211897 41.3765502,2.1211951 41.3765059,2.1211728 41.3764833)));Apartamentos Turisticos Madanis;;;;;;-1;0;-1;;;147682267;yes;;;;;;460;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1196079 41.3764297,2.1196343 41.376398,2.1197006 41.3763177,2.1199884 41.3764745,2.1199106 41.376563,2.1198084 41.376518,2.1196079 41.3764297)));;;;;;;-1;0;-1;;;147682268;apartments;;;;;;390;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1189313 41.3763328,2.1191274 41.3761504,2.1192186 41.3760579,2.119342 41.3760679,2.1193532 41.376069,2.1194758 41.3760812,2.1191086 41.3764342,2.1189313 41.3763328)));;;;;;;-1;0;-1;;;147682269;apartments;;;;;;818;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1191462 41.3758224,2.1192588 41.3758224,2.1192803 41.3760599,2.1192186 41.3760579,2.119154 41.3760571,2.1191462 41.3758224)));;;;;;;-1;0;-1;;;147682270;apartments;;;;;;261;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1193532 41.376069,2.1193685 41.376049,2.1193661 41.3758224,2.1194895 41.3758163,2.1194895 41.3759935,2.1194758 41.3760812,2.1193532 41.376069)));;;;;;;-1;0;-1;;;147682271;apartments;;;;;;288;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1192588 41.3758224,2.1193661 41.3758224,2.1193685 41.376049,2.119342 41.3760679,2.1192803 41.3760599,2.1192588 41.3758224)));;;;;;;-1;0;-1;;;147682274;apartments;;;;;;218;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1200045 41.3758087,2.1201227 41.3758063,2.1201214 41.3758078,2.1201022 41.3758314,2.1200703 41.3758705,2.1200097 41.3759459,2.1200054 41.3758317,2.1200046 41.37581,2.1200045 41.3758087)));;;;;;;-1;0;-1;;;147682275;retail;;;Carretera de Collblanc;26;;75;DIS_2;Districte II;BAR_05;Collblanc
MULTIPOLYGON (((2.1210291 41.3764322,2.121182 41.3762652,2.1212463 41.3763014,2.1210932 41.3764656,2.1210291 41.3764322)));;;;;;;-1;0;-1;;;147682277;apartments;;;;;;148;DIS_2;Districte II;BAR_05;Collblanc
