WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1209215 41.3711378,2.1209814 41.3710408,2.1210553 41.3710693,2.1209942 41.3711651,2.1209215 41.3711378)));Casa dels Cargols;;;;;;-1;0;-1;;;83524163;yes;;;Carrer del Llobregat;127-141;;81;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1168973 41.369492,2.1169281 41.3694492,2.1169374 41.3693706,2.1173554 41.3689526,2.1177443 41.3691438,2.1177604 41.3692163,2.1174278 41.3697537,2.1173554 41.3697678,2.1168973 41.369492)));;;;;;;-1;0;-1;;;281312438;apartments;;;;;;3693;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1167975 41.3691378,2.1168324 41.3688338,2.116878 41.3687875,2.116827 41.3687432,2.1168914 41.3686667,2.1172293 41.3688721,2.1172454 41.3689385,2.1169466 41.3692307,2.1168973 41.3691845,2.1167975 41.3691378)));;;;;;;-1;0;-1;;;281312439;apartments;;;;;;1368;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1172481 41.3687694,2.1172991 41.3686889,2.1180018 41.368699,2.1180984 41.3687593,2.1178891 41.3690633,2.1178221 41.3690794,2.1172481 41.3687694)));;;;;;;-1;0;-1;;;281312440;apartments;;;;;;1838;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1199488 41.3688721,2.1199836 41.3688157,2.1205174 41.368809,2.1212066 41.368799,2.1215192 41.3687775,2.1215394 41.369003,2.1200051 41.3690674,2.1199622 41.3690331,2.1199488 41.3688721)));;;;;;;-1;0;-1;;;281317695;yes;;;;;;3388;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1229336 41.3683293,2.1229366 41.3682326,2.123063 41.3682333,2.1230629 41.3682401,2.123122 41.3682398,2.1231221 41.3682358,2.1233402 41.3682397,2.1233422 41.3681754,2.1234928 41.3681767,2.1234904 41.3682424,2.1236202 41.3682448,2.1236242 41.3681905,2.1236883 41.3681907,2.1236849 41.368246,2.123873 41.3682495,2.1238701 41.3683082,2.1238754 41.3683084,2.1238745 41.368325,2.123868 41.368325,2.1238652 41.3683761,2.1238679 41.3683762,2.123866 41.3684346,2.1238621 41.3685549,2.1231146 41.3685468,2.1231185 41.368425,2.1231203 41.3683665,2.1231262 41.3683665,2.1231264 41.3683147,2.1231189 41.3683148,2.123119 41.3683008,2.123123 41.3683007,2.123123 41.3682932,2.1231004 41.3682929,2.1230994 41.3683319,2.1229336 41.3683293)));;;;;;;-1;0;-1;;;281317696;industrial;;;;;;2423;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1241802 41.3688842,2.1241941 41.3688811,2.1242012 41.3688406,2.1242718 41.3688432,2.1242711 41.3688008,2.1244617 41.3687948,2.1244641 41.3688847,2.1242274 41.368885,2.1242355 41.3689043,2.1241953 41.368914,2.1241929 41.3689146,2.1241802 41.3688842)));Castell de Bellvís;;;;;;-1;0;-1;;;622702542;yes;;;;;;196;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1217155 41.3704036,2.1217772 41.3703038,2.1219293 41.3704068,2.121934 41.3704067,2.1219358 41.3704083,2.1219358 41.3704117,2.1219343 41.3704131,2.1219318 41.3704133,2.1218998 41.3704653,2.1217752 41.3704236,2.1217155 41.3704036),(2.1217663 41.3703808,2.1217856 41.3703878,2.1217929 41.3703758,2.1217736 41.3703687,2.1217663 41.3703808),(2.1218356 41.3704119,2.1218519 41.3704175,2.1218599 41.3704041,2.1218465 41.370395,2.1218356 41.3704119)));Casa Baiges;;;;;;-1;0;-1;;;-9938490;apartments;;;Carrer de la Mare de Déu dels Desemparats;78;;155;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1258976 41.3706217,2.1259784 41.3705548,2.12605 41.3706034,2.1260806 41.3706242,2.1260846 41.3706269,2.1261635 41.3706804,2.1262073 41.3707101,2.126209 41.3707113,2.1262529 41.370741,2.1261739 41.3708069,2.126148 41.3707896,2.1261299 41.3707774,2.126113 41.3707661,2.1260843 41.3707468,2.1260708 41.3707378,2.12604 41.3707172,2.1260038 41.3706928,2.1259755 41.3706738,2.1259616 41.3706648,2.125933 41.3706455,2.1259153 41.3706337,2.1258976 41.3706217)));;;;;;;-1;0;-1;;;754667558;school;;;Carrer del Doctor Martí i Julià;151;;308;DIS_2;Districte II;BAR_04;La Torrassa
MULTIPOLYGON (((2.1255206 41.3704391,2.1256391 41.3703408,2.1258625 41.3704934,2.125741 41.3705932,2.1255206 41.3704391)));;;;;;;-1;0;-1;;;754667560;kindergarten;;;Carrer del Doctor Martí i Julià;156-158;;375;DIS_2;Districte II;BAR_04;La Torrassa
