WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.103314 41.3620374,2.1036006 41.361387,2.1036637 41.3614015,2.1036843 41.3613485,2.1038058 41.3613753,2.1035293 41.3620257,2.103484 41.3621322,2.1033562 41.3620998,2.1033767 41.3620537,2.103314 41.3620374)));;;;;;;-1;0;-1;;;83226040;;public;;;;;1375;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.1044804 41.3632384,2.1047785 41.3625538,2.1048338 41.3624268,2.1048611 41.362365,2.1049864 41.3623961,2.1052653 41.3617636,2.1057344 41.3619017,2.1049082 41.3633547,2.1044804 41.3632384)));La Farga;;;;;;-1;0;-1;;;83226041;;retail;;;Avinguda de Josep Tarradellas i Joan;;7222;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.1034414 41.3622275,2.103484 41.3621322,2.1035293 41.3620257,2.1038262 41.3613284,2.1052893 41.3617092,2.1052653 41.3617636,2.1049864 41.3623961,2.1048611 41.362365,2.1048338 41.3624268,2.1047785 41.3625538,2.1035414 41.3622525,2.1034414 41.3622275)));;;;;;;-1;0;-1;;;83226326;;public;;;;;13131;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.1003217 41.364102,2.1003388 41.3640508,2.1003444 41.3640341,2.1008054 41.3641372,2.1008893 41.3641028,2.1009497 41.3639543,2.1010414 41.363981,2.100942 41.3642387,2.1003217 41.364102)));L'Hospitalet de Llobregat;;;;;;-1;0;-1;;;83229382;;train_station;;;;;620;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.0933659 41.3613988,2.0936019 41.3609941,2.0938728 41.3607143,2.0941545 41.3603056,2.0942483 41.3603439,2.0942175 41.3603955,2.0942671 41.3604184,2.0943959 41.3601808,2.0945334 41.3602394,2.0939004 41.3611675,2.0938058 41.3611451,2.0938307 41.3610849,2.0937199 41.3610485,2.0934705 41.361437,2.0933659 41.3613988)));;;;;;;-1;0;-1;;;243407668;;yes;;;;;3152;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.101998 41.363932,2.1020566 41.3637815,2.102084 41.363784,2.102996 41.3639877,2.1029373 41.3641382,2.101998 41.363932)));;;;;;;-1;0;-1;;;267005648;;yes;;;;;1441;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.0987599 41.3601119,2.0987746 41.3600669,2.0987824 41.3600635,2.0987869 41.3600497,2.0988024 41.3600425,2.0988162 41.3599987,2.098807 41.3599871,2.0988116 41.3599729,2.0988241 41.359975,2.0988881 41.359773,2.0989042 41.3597757,2.0989227 41.3597194,2.0989986 41.3597332,2.0990022 41.3597214,2.099172 41.359752,2.0991684 41.3597632,2.0992433 41.359777,2.0992255 41.3598337,2.0992413 41.3598365,2.0991771 41.3600381,2.0991906 41.3600406,2.0991812 41.3600691,2.0991722 41.3600965,2.0991639 41.3601216,2.0991692 41.3601274,2.0991542 41.3601729,2.0991463 41.3601762,2.099142 41.3601904,2.0991277 41.3601982,2.0991098 41.360195,2.099103 41.3601987,2.0990416 41.360187,2.0990387 41.3601837,2.098858 41.3601606,2.0988524 41.3601631,2.0987941 41.3601527,2.0987893 41.3601465,2.098771 41.3601437,2.0987606 41.3601318,2.0987646 41.3601175,2.0987599 41.3601119)));Església de Santa Eulàlia de Mèrida;;;;;;-1;0;-1;;;304216302;28;yes;;;Plaça de l'Ajuntament;;1515;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.0989608 41.3586744,2.0990463 41.3585216,2.0991204 41.3583894,2.099456 41.3584952,2.0997849 41.358599,2.0997092 41.3587341,2.0996253 41.358884,2.0993088 41.3587841,2.0989608 41.3586744)));Mercat del Centre;;;;;;-1;0;-1;;;313016655;6;commercial;;;;;2071;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.1034308 41.3541126,2.103522 41.3539958,2.1037527 41.3540925,2.1036562 41.354181,2.1034308 41.3541126)));BonÀrea;;;;;;-1;0;-1;;;329852408;146;yes;;;Carretera del Mig;;290;DIS_1;Districte I;BAR_01;Centre
MULTIPOLYGON (((2.1051367 41.3528482,2.1053567 41.3526388,2.1057161 41.3527999,2.1062954 41.3527999,2.1062794 41.3530254,2.1060219 41.3529488,2.1058287 41.3531462,2.1051367 41.3528482)));McDonald's;;;;;;-1;0;-1;;;329852473;;yes;;;;;2563;DIS_1;Districte I;BAR_01;Centre
