WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1337386 41.3617232,2.1337616 41.3616398,2.133773 41.3615986,2.1338053 41.3614815,2.1338321 41.3613847,2.1339878 41.3614093,2.1339661 41.3614851,2.1340214 41.3614941,2.1340421 41.3614179,2.1341974 41.3614413,2.1341737 41.3615249,2.1341628 41.3615645,2.1341365 41.3616606,2.1341255 41.3617009,2.1341039 41.3617797,2.1339496 41.3617557,2.1339703 41.3616811,2.1339141 41.3616714,2.1338929 41.3617472,2.1337386 41.3617232),(2.1339309 41.3616118,2.1339867 41.3616211,2.1340055 41.3615521,2.13395 41.3615435,2.1339309 41.3616118)));;;;;;;-1;0;-1;;;-1214294;;school;;;;;1077;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1337418 41.3619662,2.1337937 41.3617793,2.1339173 41.3617988,2.1339146 41.361809,2.1340876 41.3618353,2.1340414 41.3620015,2.133858 41.3619734,2.1338538 41.3619861,2.1337418 41.3619662)));;;;;;;-1;0;-1;;;80904791;;school;;;;;503;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1279238 41.3583991,2.1279852 41.3583528,2.1280502 41.3583037,2.1281798 41.3582057,2.1282141 41.3582319,2.1286856 41.3578761,2.1286509 41.3578506,2.1288372 41.3577105,2.1288714 41.3577358,2.1291665 41.3579577,2.1292418 41.3580153,2.1291985 41.3580485,2.129109 41.358116,2.1292965 41.3582536,2.1294265 41.358156,2.1293581 41.3581058,2.1294912 41.3580062,2.1295779 41.3579405,2.1296227 41.3579065,2.1296868 41.3579551,2.1298152 41.3580522,2.1295509 41.3582514,2.129589 41.3582798,2.1298536 41.358081,2.1307096 41.3587227,2.1308421 41.3588221,2.1308756 41.3588471,2.1305437 41.3591003,2.1305082 41.3591274,2.1305802 41.3591815,2.1304792 41.3592575,2.1305298 41.3592955,2.1305999 41.3592432,2.1306626 41.3592431,2.1306993 41.3592159,2.1308682 41.3593429,2.130832 41.3593701,2.130903 41.3594234,2.1300965 41.3600328,2.1299713 41.3599389,2.1298671 41.3598607,2.1298228 41.3598275,2.1298758 41.3597877,2.1299498 41.3597321,2.129899 41.3596938,2.1298249 41.3597494,2.1297722 41.3597895,2.1297105 41.3597432,2.1296218 41.3596764,2.1293167 41.3594469,2.1292096 41.3593657,2.1289823 41.3591949,2.1288432 41.3590906,2.1285356 41.3588594,2.1284472 41.3587925,2.1282912 41.3586752,2.1281867 41.3585967,2.1280953 41.358528,2.1279238 41.3583991)));Gran Via 2;;;;;;-1;0;-1;;;183973239;75;retail;;;Avinguda de la Granvia de l'Hospitalet;;30987;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1278559 41.353906,2.1295753 41.3524386,2.1296154 41.352454,2.1301751 41.3526687,2.1290377 41.3543563,2.1286667 41.3542149,2.1285827 41.3541829,2.1284678 41.3541391,2.1281467 41.3540168,2.1278559 41.353906)));Pavelló 1;;;;;;-1;0;-1;;;189838217;;yes;;;;;17576;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1283001 41.3557803,2.129209 41.3544451,2.1305165 41.3525241,2.1315901 41.3529359,2.131424 41.3531799,2.131326 41.3533239,2.131011 41.3537867,2.1302774 41.3548645,2.129696 41.3557186,2.1299341 41.3558099,2.1296537 41.3562218,2.1293081 41.3560893,2.1292662 41.3561508,2.1283001 41.3557803)));Pavelló 2;;;;;;-1;0;-1;;;189838219;;yes;;;;;42044;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1309789 41.3573682,2.1317914 41.3561745,2.1320796 41.3557512,2.1327957 41.3560258,2.1329211 41.3563168,2.1319516 41.3577412,2.1309789 41.3573682)));Pavelló 5;;;;;;-1;0;-1;;;242040015;;yes;;;;;18143;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.13304372372465 41.356657589857,2.13304185319558 41.3566494678229,2.1322345 41.3578527,2.13319 41.3582214,2.133186 41.3574015,2.13304372372465 41.356657589857)));Pavelló 7;;;;;;-1;0;-1;;;242040016;;yes;;;;;7262;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.131799 41.3552802,2.1320625 41.3548931,2.1324473 41.3550393,2.1321538 41.3554175,2.1321309 41.3554074,2.131799 41.3552802)));;;;;;;-1;0;-1;;;242287303;;yes;;;;;1680;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1293174 41.3567158,2.1296537 41.3562218,2.1299341 41.3558099,2.1305316 41.354932,2.1312491 41.353878,2.131011 41.3537867,2.131326 41.3533239,2.1315765 41.35342,2.1316745 41.353276,2.131424 41.3531799,2.1315901 41.3529359,2.1330211 41.3534847,2.1320625 41.3548931,2.131799 41.3552802,2.131672 41.3554667,2.1316029 41.3555683,2.1313147 41.3559917,2.1305103 41.3571733,2.1293174 41.3567158)));Pavelló 3;;;;;;-1;0;-1;;;242287304;;yes;;;;;53522;DIS_3;Districte III;BAR_16;Granvia Sud
MULTIPOLYGON (((2.1313147 41.3559917,2.1316029 41.3555683,2.1318002 41.355644,2.1320796 41.3557512,2.1317914 41.3561745,2.1313147 41.3559917)));;;;;;;-1;0;-1;;;242287305;;yes;;;;;2365;DIS_3;Districte III;BAR_16;Granvia Sud
