WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1096321 41.3478081,2.1096631 41.347734,2.1105781 41.347957,2.1105458 41.3480319,2.110534 41.3480599,2.1105306 41.3480601,2.110512 41.348056,2.1105127 41.3480545,2.1104564 41.3480406,2.1104281 41.3480334,2.1104403 41.3480062,2.11036 41.3479864,2.1103485 41.3480143,2.110275 41.3479964,2.1102461 41.3479892,2.1102584 41.3479615,2.1101784 41.347942,2.1101667 41.3479696,2.1100921 41.3479512,2.1100633 41.3479441,2.1100756 41.3479167,2.1099927 41.3478963,2.1099808 41.3479238,2.1099085 41.347906,2.1098803 41.3478991,2.1098919 41.3478717,2.1098145 41.3478526,2.1098029 41.3478802,2.1097269 41.3478617,2.1096983 41.3478548,2.1097103 41.3478271,2.1096345 41.3478081,2.1096321 41.3478081)));;;;;;;-1;0;-1;;;191757182;10 - 18;apartments;;;Carrer de l'Ermita de Bellvitge;;845;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1138027 41.3512792,2.1138736 41.3511165,2.1139264 41.3509951,2.1145706 41.3511541,2.1145512 41.351198,2.1144454 41.3514383,2.1138027 41.3512792)));Biblioteca de Bellvitge;;;;;;-1;0;-1;;;228528809;1;civic;;;Plaça de la Cultura;;1883;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.109712 41.3526293,2.1097962 41.352451,2.1100509 41.3525177,2.1099646 41.3526971,2.109712 41.3526293)));;;;;;;-1;0;-1;;;242881942;400;apartments;;;Rambla de la Marina;;475;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1095195 41.3480645,2.1095741 41.3479456,2.1098317 41.3480122,2.1098137 41.3480515,2.1098313 41.3480561,2.1097954 41.3481344,2.109653 41.3480975,2.1096667 41.3480677,2.1096225 41.3480563,2.1096082 41.3480875,2.1095195 41.3480645)));;;;;;;-1;0;-1;;;246835002;20;office;;;Carrer de l'Ermita de Bellvitge;;317;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.110007 41.3486801,2.110103 41.3484608,2.110338 41.3485192,2.1102431 41.3487382,2.110007 41.3486801)));Casal de la gent gran de l'Ermita;;;;;;-1;0;-1;;;247278356;40;yes;;;Carrer de l'Ermita de Bellvitge;;531;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1117943 41.3416982,2.1121966 41.341372,2.1126251 41.3416923,2.1122008 41.34201,2.1117943 41.3416982)));Tanatori Bellvitge;;;;;;-1;0;-1;;;253330388;;public;;;;;2464;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1109413 41.3411363,2.1109655 41.341102,2.1110111 41.3410859,2.1111245 41.341174,2.111172 41.3412108,2.1111049 41.3412611,2.1109413 41.3411363)));;;;;;;-1;0;-1;;;253331045;;public;;;;;161;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.109254 41.3457935,2.1094944 41.3456108,2.1097083 41.3457695,2.1094679 41.3459522,2.109254 41.3457935)));GALP;;;;;;-1;0;-1;;;298786157;140;roof;;;Avinguda de la Granvia de l'Hospitalet;;718;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1090824 41.3455763,2.1091719 41.3454311,2.1093 41.3455564,2.1092525 41.3456393,2.1090824 41.3455763)));Auto Taller 24h;;;;;;-1;0;-1;;;298786158;142;industrial;;;Avinguda de la Granvia de l'Hospitalet;;218;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1080376 41.3485683,2.1080701 41.348494,2.1091641 41.3487659,2.109131 41.3488411,2.1090922 41.3488314,2.1090799 41.34886,2.1090424 41.3488501,2.1090134 41.3488424,2.1090259 41.348815,2.1089107 41.348786,2.1088983 41.348814,2.108862 41.3488049,2.1088319 41.3487973,2.1088444 41.3487697,2.1087284 41.3487401,2.1087163 41.348768,2.1086774 41.3487584,2.1086492 41.3487514,2.1086619 41.3487239,2.1085469 41.3486952,2.1085345 41.3487231,2.1084976 41.3487138,2.108468 41.3487063,2.1084801 41.3486787,2.108364 41.3486495,2.1083512 41.3486777,2.1083155 41.3486687,2.108284 41.3486607,2.1082971 41.3486325,2.1081819 41.3486044,2.1081694 41.3486326,2.1081329 41.348623,2.1081032 41.3486152,2.1081152 41.3485876,2.1080376 41.3485683)));;;;;;;-1;0;-1;;;298810327;51 - 61;apartments;;;Carrer de l'Ermita de Bellvitge;;957;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1074711 41.3484193,2.1074913 41.348373,2.1075506 41.3483876,2.1075481 41.3483934,2.1076018 41.3484066,2.1076187 41.3483678,2.1076773 41.3482339,2.1079142 41.3482922,2.1078648 41.3484053,2.1078184 41.3485115,2.1075284 41.3484401,2.1075275 41.3484422,2.1075245 41.3484414,2.107528 41.3484333,2.1074711 41.3484193)));;;;;;;-1;0;-1;;;306224791;40 - 48;commercial;;;Avinguda Mare de Déu de Bellvitge;;589;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1072137 41.3475799,2.107247 41.3475046,2.108158 41.347732,2.1081252 41.3478061,2.1080851 41.3477961,2.1080727 41.347824,2.1080304 41.3478134,2.1080066 41.3478075,2.108019 41.3477796,2.1079034 41.3477508,2.1078909 41.347779,2.10785 41.3477688,2.1078247 41.3477625,2.107837 41.3477347,2.1077213 41.3477058,2.1077091 41.3477334,2.1076673 41.347723,2.1076425 41.3477168,2.1076547 41.3476895,2.1075385 41.3476605,2.107526 41.3476885,2.1074848 41.3476782,2.1074599 41.347672,2.1074722 41.3476443,2.1073573 41.3476156,2.1073449 41.3476437,2.107303 41.3476332,2.1072788 41.3476272,2.1072912 41.3475993,2.1072137 41.3475799)));;;;;;;-1;0;-1;;;306717757;10-18;apartments;;;Avinguda de la Mare de Déu de Bellvitge;;798;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1085792 41.3522675,2.1086599 41.3520885,2.108915 41.3521518,2.1088348 41.3523322,2.1085792 41.3522675)));;;;;;;-1;0;-1;;;309594201;331;apartments;;;Rambla de la Marina;;474;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1081087 41.3523481,2.1081887 41.3521691,2.1084436 41.3522333,2.1083634 41.3524129,2.1082528 41.3523851,2.1082452 41.3524021,2.1082113 41.3523935,2.1082192 41.3523759,2.1081087 41.3523481)));;;;;;;-1;0;-1;;;309594202;333;apartments;;;Rambla de la Marina;;479;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1076369 41.3524298,2.1077183 41.3522499,2.1079729 41.3523148,2.1078918 41.3524941,2.1077817 41.352466,2.1077736 41.3524839,2.1077401 41.3524754,2.1077479 41.3524581,2.1076369 41.3524298)));;;;;;;-1;0;-1;;;309594203;335;apartments;;;Rambla de la Marina;;480;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1092252 41.3527891,2.1093081 41.3526109,2.1095623 41.352679,2.1094779 41.3528565,2.1092252 41.3527891)));;;;;;;-1;0;-1;;;309594204;402;apartments;;;Rambla de la Marina;;472;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1081946 41.3530525,2.1082779 41.352874,2.1085322 41.3529409,2.1084485 41.3531207,2.1081946 41.3530525)));;;;;;;-1;0;-1;;;309594205;406;apartments;;;Rambla de la Marina;;476;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1067558 41.351837,2.106789 41.3517631,2.1077002 41.3519939,2.1076669 41.3520679,2.1076283 41.3520581,2.1076157 41.3520861,2.1075808 41.3520773,2.1075491 41.3520693,2.1075618 41.3520411,2.1074464 41.3520119,2.1074338 41.3520399,2.1073954 41.3520302,2.1073675 41.3520231,2.1073801 41.351995,2.1072644 41.3519657,2.1072518 41.3519939,2.1072131 41.3519842,2.1071852 41.3519771,2.1071978 41.351949,2.1070798 41.3519192,2.1070674 41.3519468,2.1070316 41.3519377,2.1070038 41.3519307,2.1070162 41.3519031,2.1068976 41.351873,2.1068851 41.351901,2.1068494 41.3518919,2.1068217 41.3518849,2.1068343 41.3518569,2.1067558 41.351837)));;;;;;;-1;0;-1;;;309595894;11-19;apartments;;;Carrer del Prat;;792;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.106939 41.3514307,2.1069723 41.3513567,2.1078835 41.3515875,2.1078502 41.3516615,2.1078116 41.3516517,2.1077989 41.3516798,2.1077641 41.3516709,2.1077324 41.3516629,2.107745 41.3516348,2.1076296 41.3516055,2.107617 41.3516335,2.1075787 41.3516238,2.1075507 41.3516167,2.1075633 41.3515886,2.1074477 41.3515594,2.107435 41.3515876,2.1073964 41.3515778,2.1073684 41.3515707,2.107381 41.3515427,2.1072631 41.3515128,2.1072507 41.3515404,2.1072148 41.3515314,2.107187 41.3515243,2.1071994 41.3514967,2.1070809 41.3514667,2.1070683 41.3514946,2.1070326 41.3514856,2.107005 41.3514785,2.1070175 41.3514505,2.106939 41.3514307)));;;;;;;-1;0;-1;;;309595895;31-3;apartments;;;Carrer del Prat;;792;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1084595 41.3462311,2.1087167 41.3460347,2.1088319 41.3461202,2.1088523 41.3461048,2.1088484 41.3461011,2.1088445 41.3460949,2.1088401 41.3460869,2.1088396 41.3460766,2.1088453 41.3460654,2.1088547 41.3460562,2.1088679 41.346051,2.108881 41.3460496,2.1088907 41.3460501,2.1088974 41.3460515,2.1089125 41.3460585,2.1089186 41.3460635,2.1089234 41.3460733,2.1089257 41.3460804,2.1089245 41.3460874,2.1089225 41.3460935,2.1089188 41.3460992,2.108914 41.3461043,2.1089383 41.3461236,2.1089412 41.3461217,2.1089374 41.3461181,2.1089359 41.3461137,2.1089356 41.3461076,2.108939 41.3461021,2.1089455 41.3460973,2.1089507 41.346096,2.1089582 41.3460953,2.1089688 41.3460984,2.1089978 41.34612,2.1090025 41.3461269,2.1090025 41.3461322,2.1090007 41.3461366,2.108997 41.3461407,2.1090069 41.3461482,2.1090218 41.3461372,2.1092819 41.346332,2.1094032 41.3464228,2.1093881 41.3464339,2.1093982 41.3464416,2.1094022 41.3464394,2.1094072 41.3464376,2.1094122 41.3464367,2.109419 41.3464379,2.1094261 41.3464408,2.1094265 41.3464421,2.1094567 41.3464637,2.1094595 41.3464705,2.1094587 41.3464753,2.1094565 41.3464802,2.1094519 41.3464843,2.1094461 41.3464863,2.1094395 41.3464875,2.1094339 41.346487,2.1094285 41.3464852,2.1094241 41.3464821,2.1094202 41.3464852,2.1094336 41.3464958,2.1093833 41.3465332,2.1094464 41.3465816,2.1095297 41.3465182,2.1097994 41.346721,2.1097074 41.3467913,2.1096906 41.3467791,2.1094532 41.346957,2.1094708 41.3469705,2.1093778 41.3470416,2.1091066 41.346839,2.1091897 41.3467761,2.1091256 41.3467284,2.1090757 41.3467666,2.1090616 41.3467562,2.1090577 41.3467591,2.1090626 41.346764,2.1090647 41.3467681,2.109065 41.3467726,2.1090635 41.346777,2.1090587 41.3467816,2.1090526 41.3467847,2.109047 41.3467862,2.1090392 41.3467856,2.1090336 41.3467836,2.1090043 41.3467624,2.1090009 41.3467589,2.1089987 41.3467551,2.108998 41.3467509,2.1089997 41.3467445,2.1090041 41.3467405,2.1089941 41.3467328,2.1089793 41.3467441,2.1085971 41.3464583,2.1086127 41.3464472,2.1086025 41.3464399,2.1085976 41.3464424,2.1085932 41.3464435,2.1085886 41.3464443,2.1085825 41.3464435,2.108575 41.346441,2.1085455 41.3464183,2.1085428 41.3464146,2.1085416 41.3464113,2.1085414 41.3464064,2.1085433 41.3464015,2.1085477 41.3463984,2.1085526 41.3463956,2.1085574 41.3463943,2.108563 41.3463936,2.1085708 41.3463953,2.1085764 41.3463985,2.1085803 41.3463967,2.1085535 41.3463762,2.1085477 41.346381,2.1085389 41.3463843,2.1085287 41.3463865,2.108516 41.3463865,2.1085024 41.3463832,2.1084931 41.3463781,2.1084858 41.3463704,2.108481 41.3463612,2.1084805 41.3463514,2.1084834 41.346343,2.1084912 41.3463335,2.1085004 41.3463261,2.1085146 41.3463228,2.1085297 41.3463217,2.1085423 41.3463254,2.1085545 41.3463316,2.1085745 41.3463152,2.1084595 41.3462311)));;;;;;;-1;0;-1;;;312001681;;yes;;;;;5465;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1082582 41.3461826,2.1082584 41.3461793,2.1082599 41.3461758,2.1082851 41.3461569,2.1082895 41.3461551,2.1082939 41.3461539,2.1082971 41.346154,2.1083018 41.3461552,2.1083059 41.3461582,2.1083269 41.3461431,2.1082992 41.3461219,2.1085728 41.3459142,2.1086211 41.3459502,2.1086317 41.3459423,2.1086035 41.3459215,2.108646 41.3458899,2.1086732 41.3459101,2.1087111 41.3458816,2.1087676 41.3459238,2.1086987 41.3459764,2.1087113 41.3459862,2.1087323 41.3459703,2.1087358 41.3459684,2.1087389 41.3459671,2.1087425 41.3459667,2.1087482 41.3459671,2.1087525 41.3459693,2.1087569 41.345972,2.1087597 41.345976,2.1087607 41.3459794,2.10876 41.3459833,2.1087575 41.3459867,2.1087349 41.3460041,2.1087318 41.3460059,2.1087278 41.3460069,2.1087237 41.3460074,2.1087191 41.3460068,2.1087141 41.3460043,2.1086875 41.3459843,2.1086854 41.3459853,2.1086767 41.3459923,2.1087254 41.3460285,2.1087167 41.3460347,2.1084595 41.3462311,2.1084514 41.3462359,2.1084227 41.3462148,2.1084041 41.3462298,2.1083801 41.3462121,2.1083681 41.3462213,2.1083495 41.3462076,2.1083478 41.3462087,2.1083357 41.3461999,2.1083106 41.3462189,2.108292 41.3462049,2.1083195 41.3461847,2.1083071 41.3461755,2.1082878 41.3461902,2.108284 41.3461926,2.1082799 41.3461939,2.1082765 41.3461949,2.1082715 41.3461943,2.1082673 41.3461928,2.1082637 41.3461906,2.1082603 41.3461877,2.1082591 41.3461855,2.1082582 41.3461826)));;;;;;;-1;0;-1;;;312001682;;yes;;;;;746;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1095929 41.3474666,2.1096054 41.3473812,2.1098004 41.3474019,2.1098023 41.347394,2.1098412 41.3474003,2.1098324 41.3474303,2.109821 41.3474694,2.1097805 41.347463,2.1097778 41.3474817,2.1095929 41.3474666)));Ermita de Santa Maria de Bellvitge;;;;;;-1;0;-1;;;312887710;1;church;;;Carrer de l'Ermita de Bellvitge;;174;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON (((2.1097631 41.3446259,2.1098955 41.3445262,2.1098675 41.3445053,2.1100117 41.3443967,2.1100413 41.3444188,2.1101405 41.3443441,2.1101132 41.3443237,2.1105524 41.343993,2.1108316 41.344202,2.1108011 41.3442249,2.1109472 41.3443343,2.110973 41.3443149,2.1112273 41.3445052,2.1112016 41.3445245,2.1113469 41.3446333,2.1113737 41.3446132,2.1116272 41.3448029,2.1113608 41.3450035,2.1113881 41.3450239,2.1112151 41.3451542,2.11119 41.3451354,2.1110927 41.3452087,2.1111198 41.345229,2.1109877 41.3453286,2.1111089 41.3454193,2.1111374 41.3453978,2.1112576 41.3454877,2.1112298 41.3455087,2.1112452 41.3455202,2.1112999 41.345479,2.1113882 41.3455451,2.1113339 41.3455859,2.1113758 41.3456173,2.1114021 41.3455974,2.1115222 41.3456873,2.1114975 41.3457059,2.111513 41.3457175,2.1115385 41.3456983,2.1116571 41.345787,2.1116289 41.3458083,2.1116465 41.3458215,2.1117022 41.3457795,2.1117903 41.3458454,2.1117353 41.3458869,2.1117748 41.3459165,2.1118 41.3458976,2.1119201 41.3459875,2.1117501 41.3461155,2.1117645 41.3461264,2.1116602 41.3462049,2.111267 41.3459107,2.1112904 41.345893,2.11127 41.3458777,2.1113476 41.3458193,2.1109641 41.3455323,2.1110764 41.3454478,2.1109266 41.3453357,2.1108179 41.3454175,2.1105646 41.3452279,2.1106837 41.3451382,2.1107111 41.3451587,2.110726 41.3451475,2.1107014 41.3451291,2.1107289 41.3451084,2.1107125 41.3450961,2.1106632 41.3451332,2.1105444 41.3450443,2.1105966 41.3450051,2.1105781 41.3449913,2.1105499 41.3450126,2.1104341 41.3449259,2.1104602 41.3449062,2.1104432 41.3448935,2.1104157 41.3449142,2.1103887 41.3448939,2.1103718 41.3449067,2.1104013 41.3449288,2.1102595 41.3450356,2.1101422 41.3449478,2.1101684 41.344928,2.1100204 41.3448173,2.1099938 41.3448373,2.1098702 41.3447449,2.109896 41.3447254,2.1097631 41.3446259),(2.1103208 41.3446248,2.1104409 41.3447175,2.1105431 41.3446429,2.110423 41.3445502,2.1103208 41.3446248),(2.1105828 41.3448271,2.1108091 41.3450017,2.1109112 41.3449271,2.1109058 41.3449229,2.1108107 41.3448495,2.110685 41.3447525,2.1105828 41.3448271),(2.1109883 41.3447198,2.1110834 41.3447933,2.1111772 41.3447248,2.111082 41.3446514,2.1109883 41.3447198)));;;;;;;-1;0;-1;;;-4562576;;hospital;;;;;13696;DIS_6;Districte VI;BAR_12;Bellvitge
