WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1161851 41.3543453,2.1164614 41.3543272,2.1164989 41.3547359,2.1162361 41.354752,2.1161851 41.3543453)));;;;;;;-1;0;-1;;;317496238;;yes;;;;;1028;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.116684 41.3542547,2.1170088 41.3542445,2.1170276 41.354623,2.1167162 41.3546353,2.116684 41.3542547)));Mercadona;;;;;;-1;0;-1;;;317496350;;retail;;;Avenida Carmen Amaya;;1125;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1153333 41.3525879,2.1153904 41.3525851,2.1154015 41.3526771,2.1153443 41.3526813,2.1153333 41.3525879)));Estació de Bellvitge;;;;;;-1;0;-1;;;564139681;;yes;;;;;50;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1190255 41.3581842,2.1191154 41.3580106,2.1193248 41.3580717,2.1193058 41.3581084,2.1192348 41.3582453,2.1190255 41.3581842)));;;;;;;-1;0;-1;;;602047097;4;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1193058 41.3581084,2.1193957 41.3579348,2.119605 41.3579959,2.1195151 41.3581695,2.1193058 41.3581084)));;;;;;;-1;0;-1;;;602047099;2;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1185215 41.3578813,2.1186115 41.3577077,2.1188208 41.3577688,2.1187309 41.3579424,2.1185215 41.3578813)));;;;;;;-1;0;-1;;;602047100;10;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1182413 41.3579571,2.1183312 41.3577835,2.1185405 41.3578446,2.1185215 41.3578813,2.1184506 41.3580182,2.1182413 41.3579571)));;;;;;;-1;0;-1;;;602047102;12;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1184994 41.3582803,2.1187234 41.3582677,2.1187419 41.3584534,2.1185179 41.358466,2.1184994 41.3582803)));;;;;;;-1;0;-1;;;602047104;6;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.11829 41.3584393,2.118514 41.3584267,2.1185179 41.358466,2.1185325 41.3586125,2.1183086 41.3586251,2.11829 41.3584393)));;;;;;;-1;0;-1;;;602047106;8;apartments;;;Carrer dels Joncs;;389;DIS_6;Districte VI;BAR_11;El Gornal
MULTIPOLYGON (((2.1181668 41.3552523,2.1183908 41.3552397,2.1184093 41.3554254,2.1181853 41.355438,2.1181814 41.3553985,2.1181668 41.3552523)));;;;;;;-1;0;-1;;;602047108;30;apartments;;;Avinguda de Carmen Amaya;;389;DIS_6;Districte VI;BAR_11;El Gornal
