IdSeccio;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal
SEC_316;37;137;54;29;112;274;409;427;444;169;2092
SEC_317;36;103;49;32;99;200;325;195;61;64;1164
SEC_318;11;51;27;19;58;87;145;194;100;84;776
SEC_319;44;160;102;46;126;193;474;355;157;101;1758
SEC_320;42;147;73;48;131;212;499;347;153;142;1794
SEC_321;38;133;76;37;159;274;419;479;380;237;2232
SEC_322;37;121;70;29;110;198;383;213;117;123;1401
SEC_323;30;155;87;41;137;189;436;362;263;123;1823
SEC_324;26;119;36;31;88;191;341;182;76;69;1159
SEC_325;27;118;67;33;127;182;375;382;218;291;1820
SEC_326;86;271;65;24;67;178;663;191;51;17;1613
SEC_327;26;102;54;22;87;149;277;269;185;77;1248
SEC_328;73;295;114;69;112;179;581;218;50;40;1731
SEC_329;51;223;97;38;86;146;527;296;79;44;1587
SEC_401;26;104;57;25;107;203;273;254;107;136;1292
SEC_402;31;87;36;14;63;160;217;169;56;99;932
SEC_403;24;108;37;22;86;172;291;227;114;193;1274
SEC_404;35;137;56;25;125;210;345;263;116;144;1456
SEC_405;51;165;63;26;190;278;483;342;117;235;1950
SEC_406;43;115;46;33;122;192;337;277;116;150;1431
SEC_407;26;106;45;20;118;178;274;198;63;115;1143
SEC_409;49;173;69;42;164;304;537;337;146;205;2026
SEC_410;35;129;55;27;154;204;366;334;177;268;1749
SEC_411;19;74;32;20;85;127;226;181;87;170;1021
SEC_412;45;110;57;29;134;220;374;293;180;234;1676
SEC_414;55;191;90;30;177;313;534;352;94;151;1987
SEC_416;45;147;66;38;121;214;387;264;96;141;1519
SEC_418;38;135;76;28;108;223;349;282;98;147;1484
SEC_419;60;202;87;47;183;338;506;406;111;178;2118
SEC_420;55;173;82;34;204;354;519;434;165;192;2212
SEC_421;22;109;50;21;108;176;300;249;97;170;1302
SEC_422;38;119;51;26;117;193;350;240;82;107;1323
SEC_423;41;121;39;22;91;180;260;198;75;121;1148
SEC_425;27;89;34;21;96;192;253;228;68;113;1121
SEC_426;30;113;45;21;82;174;284;207;72;65;1093
SEC_427;58;184;82;29;141;275;492;319;89;121;1790
SEC_430;38;113;59;20;102;192;301;202;56;95;1178
SEC_431;55;193;85;43;155;280;471;256;112;116;1766
SEC_432;28;108;55;21;115;199;310;223;171;135;1365
SEC_433;65;220;81;44;164;330;448;370;137;102;1961
SEC_435;36;133;58;19;109;201;309;214;72;75;1226
SEC_436;58;142;42;33;177;259;414;324;106;124;1679
SEC_437;55;159;70;36;162;243;414;317;132;186;1774
SEC_440;18;85;31;23;91;138;232;186;105;162;1071
SEC_441;48;151;70;46;139;282;456;428;269;219;2108
SEC_501;15;55;26;18;78;86;214;201;204;124;1021
SEC_502;45;151;50;29;116;184;348;300;156;231;1610
SEC_503;7;36;13;5;40;85;152;154;139;85;716
SEC_504;20;74;33;15;70;119;251;164;108;198;1052
SEC_505;16;71;45;13;49;122;253;203;164;244;1180
SEC_506;20;106;50;30;121;179;344;319;288;239;1696
SEC_507;25;75;31;10;67;139;209;154;72;85;867
SEC_508;45;143;76;26;122;254;399;283;82;130;1560
SEC_510;23;87;35;16;86;143;251;223;95;126;1085
SEC_511;61;227;95;44;194;381;608;423;135;242;2410
SEC_513;47;170;62;28;129;244;398;271;81;166;1596
SEC_514;38;115;71;37;138;215;377;267;78;151;1487
SEC_517;51;219;88;38;220;343;529;426;121;149;2184
SEC_518;37;93;48;19;87;163;278;197;87;136;1145
SEC_520;21;74;35;17;70;126;189;166;85;102;885
SEC_521;22;66;27;20;48;78;189;143;169;181;943
SEC_523;44;117;53;32;115;230;386;262;91;163;1493
SEC_524;44;150;56;25;144;235;367;253;87;101;1462
SEC_525;25;95;39;13;72;146;258;156;72;103;979
SEC_526;57;195;84;37;162;293;579;340;108;144;1999
SEC_528;33;100;61;22;106;177;314;223;85;133;1254
SEC_529;47;102;60;28;128;214;351;228;74;145;1377
