WKT,id,description,name,Superficie
"POLYGON Z ((2.116708 41.36942 0,2.116676 41.369449 0,2.116603 41.369482 0,2.116525 41.369482 0,2.116451 41.369447 0,2.116567 41.369327 0,2.116708 41.36942 0))","2014",,"Blas Infante, rotonda i voltants de la pl.de","207"
"POLYGON Z ((2.111559 41.374345 0,2.111619 41.37439 0,2.11172 41.374406 0,2.111796 41.374404 0,2.111805 41.374447 0,2.111744 41.374449 0,2.111678 41.374446 0,2.111614 41.374436 0,2.111561 41.374412 0,2.111513 41.374371 0,2.111559 41.374345 0))","2004",,"Cadí, pl.del","121"
"POLYGON Z ((2.118295 41.375868 0,2.118664 41.376046 0,2.118603 41.376132 0,2.118227 41.375955 0,2.118295 41.375868 0))","2027",,"Collblanc (encreuament amb Travessera de Les Corts), ctra.de","406"
"MULTIPOLYGON Z (((2.110557 41.375755 0,2.111 41.375812 0,2.110975 41.375864 0,2.110537 41.375881 0,2.110557 41.375755 0)),((2.11102 41.375521 0,2.111184 41.375544 0,2.111184 41.375595 0,2.111024 41.375598 0,2.11102 41.375521 0)),((2.11187 41.375425 0,2.111984 41.375467 0,2.111991 41.375681 0,2.11179 41.375692 0,2.11172 41.375667 0,2.11187 41.375425 0)),((2.110983 41.3754 0,2.111046 41.375437 0,2.110493 41.375451 0,2.11049 41.37541 0,2.110983 41.3754 0)))","2019",,"Collblanc (entre c.Josep Sunyol i c.Dr.Ramon Solanich i Riera), ctra.de","1111"
"POLYGON Z ((2.109656 41.374842 0,2.109665 41.374925 0,2.109624 41.374999 0,2.109551 41.375054 0,2.109496 41.375073 0,2.109457 41.375079 0,2.109411 41.375084 0,2.109418 41.374847 0,2.109656 41.374842 0))","5053",,"Doctor Ramon Solanich i Riera, rotonda del c.","454"
"POLYGON Z ((2.110055 41.374846 0,2.110043 41.374887 0,2.109916 41.374916 0,2.109896 41.374998 0,2.109875 41.375099 0,2.109982 41.375116 0,2.10999 41.375414 0,2.110072 41.375412 0,2.110075 41.375654 0,2.109699 41.375676 0,2.109648 41.375598 0,2.109602 41.37552 0,2.109581 41.375451 0,2.109565 41.37537 0,2.109559 41.375292 0,2.109623 41.375301 0,2.109655 41.375163 0,2.10976 41.375177 0,2.109811 41.374895 0,2.110055 41.374846 0))","2020",,"Dr. Ramon Solanich i Riera (entre tv.Collblanc i c.Josep Sunyol), c.de","2318"
"POLYGON Z ((2.113776 41.374582 0,2.113894 41.37459 0,2.1139 41.374738 0,2.113818 41.374993 0,2.113774 41.375031 0,2.113714 41.375266 0,2.114156 41.375353 0,2.114232 41.375182 0,2.115144 41.375372 0,2.114927 41.375549 0,2.113227 41.375563 0,2.113549 41.375191 0,2.113508 41.375089 0,2.113769 41.374776 0,2.11367 41.374737 0,2.113776 41.374582 0))","2017",,"Ernest Lluch (Porta de L'Hospitalet), pl. d'","5562"
"POLYGON Z ((2.112851 41.374738 0,2.113084 41.37482 0,2.112679 41.375452 0,2.112424 41.37537 0,2.112851 41.374738 0))","2022",,"Ernest Lluch, zona enjardinada al costat oest del c.d'","1750"
"POLYGON Z ((2.119184 41.371168 0,2.11934 41.37117 0,2.119568 41.371323 0,2.119408 41.371465 0,2.119071 41.371287 0,2.119184 41.371168 0))","2023",,"Francesc Pedra i Lola Peñalver (c.Mas cantonada c.Joventut), jardins de","757"
"POLYGON Z ((2.11654 41.373609 0,2.116905 41.373786 0,2.116833 41.373876 0,2.116754 41.373839 0,2.116563 41.37412 0,2.117265 41.37443 0,2.117114 41.374645 0,2.116367 41.374289 0,2.1165 41.374103 0,2.116578 41.373906 0,2.11654 41.373609 0))","2013",,"Germanes Ocaña (pe.Amat), pl.de les","2642"
"POLYGON Z ((2.109407 41.37511 0,2.109522 41.375107 0,2.109562 41.375474 0,2.109657 41.375663 0,2.109402 41.375669 0,2.109407 41.37511 0))","5052",,"Josep Sunyol (mitjana i illetes laterals), c.","834"
"POLYGON Z ((2.112704 41.373293 0,2.113008 41.37338 0,2.112911 41.373498 0,2.112812 41.373514 0,2.112716 41.373705 0,2.112585 41.373665 0,2.112471 41.373538 0,2.112704 41.373293 0))","2005",,"Rius i Carrió (c.Sort - av.Torrent Gornal), jardí del c.de","1026"
"POLYGON Z ((2.116176 41.372522 0,2.11628 41.372538 0,2.11639 41.373618 0,2.116219 41.373668 0,2.115868 41.373597 0,2.11585 41.373367 0,2.116176 41.372522 0))","2016",,"Sènia, jardins de la","3707"
