WKT,id,description,name,Superficie
"MULTIPOLYGON Z (((2.105396 41.364385 0,2.106403 41.364809 0,2.106337 41.365018 0,2.106336 41.365109 0,2.106257 41.365097 0,2.106186 41.364991 0,2.106086 41.364909 0,2.106108 41.364868 0,2.105368 41.364482 0,2.105396 41.364385 0)),((2.104745 41.364106 0,2.104904 41.364173 0,2.104837 41.364264 0,2.104697 41.364203 0,2.104745 41.364106 0)))","1031",,"Almadén (av.I.la Catòlica - c.Menéndez Pidal), talús del c.d'","1877"
"MULTIPOLYGON Z (((2.115573 41.363305 0,2.115695 41.363335 0,2.116104 41.364268 0,2.115969 41.364595 0,2.115818 41.36485 0,2.115775 41.3648 0,2.115963 41.364389 0,2.115647 41.364416 0,2.115331 41.364296 0,2.11523 41.364431 0,2.114409 41.364113 0,2.114449 41.364068 0,2.114338 41.363952 0,2.114351 41.363926 0,2.114425 41.363926 0,2.1153 41.364244 0,2.115389 41.364276 0,2.115476 41.36426 0,2.115489 41.363467 0,2.115573 41.363305 0)))","1049",,"Cabana (part sud) i zones annexes, parc de la","6423"
"MULTIPOLYGON Z (((2.112856 41.366031 0,2.113295 41.366186 0,2.113049 41.366772 0,2.113133 41.366843 0,2.113072 41.366856 0,2.113017 41.366835 0,2.11297 41.366853 0,2.112912 41.366831 0,2.112987 41.366711 0,2.11253 41.366547 0,2.112856 41.366031 0)))","1054",,"Canigó (c.Canigó - av.Vilafranca), zona verda del c.del","3016"
"MULTIPOLYGON Z (((2.107525 41.359662 0,2.107492 41.359698 0,2.107449 41.35972 0,2.107389 41.359729 0,2.107334 41.359721 0,2.107287 41.359699 0,2.107348 41.359611 0,2.107525 41.359662 0)))","1076",,"Carrilet - av.Fabregada, rotonda de l'av.del","158"
"MULTIPOLYGON Z (((2.107577 41.359676 0,2.110512 41.360738 0,2.113464 41.361796 0,2.113397 41.361811 0,2.111281 41.361061 0,2.110928 41.360933 0,2.107613 41.35974 0,2.107571 41.359725 0,2.107577 41.359676 0)))","1039",,"Carrilet (av.Pau Casals - c.Rosalía de Castro), mitjana de l'av.del","2506"
"MULTIPOLYGON Z (((2.116071 41.362795 0,2.116018 41.362901 0,2.115959 41.362881 0,2.115901 41.36293 0,2.115824 41.362944 0,2.11575 41.362943 0,2.115689 41.36293 0,2.115643 41.362883 0,2.115635 41.362774 0,2.114656 41.36242 0,2.114159 41.362239 0,2.114225 41.362113 0,2.113829 41.361933 0,2.116071 41.362795 0)))","1047",,"Carrilet (Blocs Ciutat Comtal, al costat de RENFE), talussos de l'av.del","3039"
"MULTIPOLYGON Z (((2.113864 41.362533 0,2.11406 41.362601 0,2.113615 41.36332 0,2.113407 41.363256 0,2.113864 41.362533 0)))","1046",,"Ciutat Comtal (c.Ciutat Comtal - c.Joan XXIII), jardí del pati del c.","1630"
"MULTIPOLYGON Z (((2.112032 41.363235 0,2.112776 41.363505 0,2.112761 41.363541 0,2.112612 41.363515 0,2.11226 41.363425 0,2.11211 41.363356 0,2.112058 41.363422 0,2.111867 41.36338 0,2.111825 41.363344 0,2.11188 41.36325 0,2.112 41.363285 0,2.112032 41.363235 0)))","1040",,"Enric Prat de la Riba (blocs Ciutat Comtal), parterres del c.d'","841"
"MULTIPOLYGON Z (((2.110695 41.363112 0,2.111032 41.36323 0,2.111318 41.363309 0,2.1114 41.36324 0,2.111745 41.363304 0,2.111771 41.363316 0,2.11171 41.363358 0,2.11149 41.363389 0,2.111118 41.363362 0,2.110767 41.363355 0,2.110771 41.363227 0,2.110676 41.363145 0,2.110695 41.363112 0)))","1037",,"Enric Prat de la Riba (vials dels blocs Ciutat Comtal), c.d'","1145"
"MULTIPOLYGON Z (((2.114214 41.363013 0,2.114456 41.363105 0,2.114144 41.363243 0,2.114142 41.36335 0,2.114076 41.363359 0,2.114071 41.363316 0,2.114022 41.363314 0,2.114214 41.363013 0)))","1045",,"Joan XXIII (davant Institut Provençana), jardí del c.de","462"
