WKT,id,description,name,Superficie
"POLYGON Z ((2.116577 41.369263 0,2.116582 41.369329 0,2.116436 41.369325 0,2.116446 41.369308 0,2.116503 41.369271 0,2.116577 41.369263 0))","2014",,"Blas Infante, rotonda i voltants de la pl.de","64"
"POLYGON Z ((2.109158 41.366707 0,2.10939 41.366799 0,2.109786 41.366746 0,2.110196 41.366925 0,2.110236 41.367049 0,2.110387 41.367107 0,2.111038 41.367374 0,2.110822 41.367656 0,2.110529 41.368061 0,2.110407 41.36819 0,2.109158 41.368189 0,2.108367 41.367842 0,2.108685 41.367412 0,2.109029 41.367548 0,2.109055 41.367427 0,2.10877 41.367308 0,2.109173 41.366754 0,2.109136 41.366739 0,2.109158 41.366707 0))","4019",,"Blocs Florida 1-16 (c.Illes Canàries - c.Mimoses - av.Catalunya), jardins dels","23675"
"POLYGON Z ((2.110367 41.36845 0,2.111246 41.368471 0,2.111314 41.368532 0,2.111379 41.368586 0,2.111228 41.368724 0,2.110946 41.368772 0,2.110599 41.368581 0,2.110246 41.36857 0,2.110247 41.368478 0,2.110367 41.36845 0))","4020",,"Blocs Florida 17-20 (c.Primavera - av.Catalunya - c.dels Pins), jardins dels","2010"
"POLYGON Z ((2.109083 41.368253 0,2.111545 41.368289 0,2.113577 41.368329 0,2.113478 41.368496 0,2.111559 41.368454 0,2.111464 41.368393 0,2.109012 41.368366 0,2.109083 41.368253 0))","4018",,"Catalunya (c.Ceravalls - av.Torrent Gornal), mitjana de l'av.","5632"
"POLYGON Z ((2.107953 41.368198 0,2.108637 41.36823 0,2.108631 41.368438 0,2.108027 41.368434 0,2.107872 41.368585 0,2.106659 41.368588 0,2.106546 41.368401 0,2.107953 41.368198 0))","4017",,"Catalunya (c.Teide - c.Ceravalls), jardí de l'av.","5053"
"POLYGON Z ((2.116363 41.368282 0,2.116436 41.368432 0,2.115909 41.368475 0,2.115442 41.368496 0,2.115426 41.368349 0,2.116363 41.368282 0))","4029",,"Catalunya (davant de 2-4), espai enjardinat de l'av.de","1401"
"POLYGON Z ((2.1063 41.365462 0,2.107292 41.365726 0,2.107927 41.366058 0,2.108932 41.36601 0,2.108956 41.36602 0,2.108951 41.366049 0,2.108836 41.36615 0,2.108817 41.366166 0,2.108776 41.366199 0,2.108708 41.366251 0,2.10863 41.366294 0,2.108544 41.366326 0,2.108273 41.366414 0,2.10825 41.366402 0,2.108111 41.366395 0,2.107769 41.366596 0,2.107766 41.366606 0,2.107735 41.366624 0,2.107716 41.366621 0,2.107661 41.366653 0,2.107584 41.366767 0,2.107464 41.366899 0,2.107336 41.366981 0,2.107188 41.366982 0,2.107037 41.367045 0,2.106886 41.367077 0,2.106857 41.367059 0,2.106398 41.366754 0,2.106222 41.366636 0,2.106092 41.366551 0,2.105368 41.366552 0,2.105413 41.366358 0,2.10572 41.366083 0,2.105874 41.365976 0,2.1063 41.365462 0))",E008,,Cementiri (c.Menéndez Pidal),"25374"
"POLYGON Z ((2.104091 41.369999 0,2.104108 41.370005 0,2.10461 41.370164 0,2.104586 41.370216 0,2.104158 41.370079 0,2.104138 41.370067 0,2.104119 41.370051 0,2.1041 41.370025 0,2.104091 41.369999 0))","4030",,"Clavells, parterre del c.dels","266"
"POLYGON Z ((2.10332 41.369607 0,2.103427 41.369757 0,2.103528 41.369882 0,2.103678 41.370042 0,2.103867 41.370257 0,2.104163 41.370606 0,2.104456 41.370948 0,2.104594 41.370936 0,2.104715 41.370955 0,2.104833 41.370993 0,2.104904 41.371054 0,2.104939 41.371086 0,2.104555 41.371306 0,2.104306 41.371016 0,2.104012 41.370667 0,2.104073 41.370633 0,2.103963 41.370503 0,2.103716 41.370211 0,2.103465 41.369928 0,2.103283 41.369634 0,2.10332 41.369607 0))","5012",,"Eivissa i zones annexes, pl.","2818"
"POLYGON Z ((2.103299 41.368967 0,2.103348 41.369023 0,2.103342 41.369093 0,2.103314 41.36913 0,2.103266 41.369159 0,2.103299 41.368967 0))","5046",,"Electricitat i mitjana de l'av.Isabel la Catòlica, zona enjardinada de l'av.","80"
"MULTIPOLYGON Z (((2.11506 41.36768 0,2.115271 41.367752 0,2.115214 41.367847 0,2.115007 41.367771 0,2.11506 41.36768 0)),((2.114225 41.367635 0,2.114733 41.367815 0,2.114595 41.367933 0,2.114358 41.368059 0,2.114257 41.368236 0,2.113938 41.368134 0,2.114038 41.367953 0,2.114225 41.367635 0)))","4027",,"Granada (c.Teide-av.Catalunya), pl.","2350"
"POLYGON Z ((2.104192 41.365039 0,2.104237 41.365052 0,2.104026 41.365942 0,2.103734 41.367207 0,2.103478 41.368242 0,2.103453 41.368229 0,2.103946 41.366104 0,2.104125 41.365308 0,2.104192 41.365039 0))","5039",,"Isabel la Catòlica, mitjana i illetes de l'av.","1253"
"MULTIPOLYGON Z (((2.104392 41.367603 0,2.104649 41.367638 0,2.104623 41.367787 0,2.104574 41.367864 0,2.104564 41.367927 0,2.10443 41.368225 0,2.104363 41.368235 0,2.104323 41.368243 0,2.104282 41.368241 0,2.10425 41.368237 0,2.104217 41.368229 0,2.104179 41.368199 0,2.104177 41.368167 0,2.104199 41.368133 0,2.104239 41.367955 0,2.104321 41.367849 0,2.104392 41.367603 0)),((2.106045 41.366625 0,2.105936 41.366851 0,2.105061 41.366724 0,2.105087 41.366663 0,2.106045 41.366625 0)))","4028",,"Les Planes, espai de gossos del parc de","2846"
"POLYGON Z ((2.106573 41.369907 0,2.106651 41.36992 0,2.106714 41.369951 0,2.106751 41.369993 0,2.106765 41.370053 0,2.106757 41.37008 0,2.106548 41.370187 0,2.10651 41.370183 0,2.106441 41.370148 0,2.106399 41.370098 0,2.106388 41.370042 0,2.106402 41.369993 0,2.106447 41.369947 0,2.106505 41.36992 0,2.106573 41.369907 0))","4026",,"Masnou - c.St. Rafael, rotonda de l' av.","699"
"POLYGON Z ((2.111528 41.368517 0,2.112153 41.368536 0,2.112176 41.36867 0,2.111471 41.369123 0,2.110952 41.369066 0,2.111528 41.368517 0))","4021",,"Pau (c.Primavera entre av.Catalunya i av.Ponent), parc de la","3728"
