WKT,id,description,name,Superficie
"POLYGON Z ((2.124154 41.358673 0,2.124201 41.358678 0,2.124256 41.358699 0,2.124292 41.358735 0,2.124321 41.358776 0,2.124315 41.358815 0,2.124293 41.358851 0,2.124245 41.358886 0,2.124194 41.358899 0,2.124135 41.358899 0,2.124081 41.358885 0,2.124037 41.358855 0,2.124006 41.358817 0,2.123998 41.35878 0,2.124008 41.358739 0,2.124041 41.35871 0,2.124072 41.358689 0,2.124112 41.35868 0,2.124154 41.358673 0))","3192",,"Amadeu Torner - c.de Natzaret, rotonda del c.d'","518"
"POLYGON Z ((2.12433 41.358876 0,2.124951 41.35909 0,2.124885 41.359215 0,2.124345 41.359266 0,2.124312 41.359671 0,2.124123 41.360112 0,2.123852 41.360437 0,2.123447 41.360757 0,2.123686 41.361028 0,2.123627 41.361168 0,2.123091 41.361012 0,2.12433 41.358876 0))","3021",,"Amadeu Torner (c.Aprestadora - c.Natzaret), jardins del c.d'","8817"
"POLYGON Z ((2.122605 41.36169 0,2.122791 41.361751 0,2.122185 41.362746 0,2.122095 41.362921 0,2.122022 41.363092 0,2.122039 41.363136 0,2.122179 41.363187 0,2.122109 41.363307 0,2.122044 41.363284 0,2.121947 41.363293 0,2.121826 41.363234 0,2.121767 41.363129 0,2.121853 41.362991 0,2.121867 41.36293 0,2.121902 41.362867 0,2.122605 41.36169 0))","3018",,"Amadeu Torner (c.N.Monturiol - c.Aprestadora), jardins del c.d'","3315"
"POLYGON Z ((2.12001 41.365577 0,2.120089 41.36559 0,2.120151 41.365622 0,2.120188 41.365663 0,2.120203 41.365723 0,2.120185 41.36578 0,2.120145 41.365823 0,2.120092 41.36585 0,2.120019 41.365862 0,2.119948 41.365854 0,2.119878 41.365819 0,2.119836 41.365768 0,2.119825 41.365713 0,2.11984 41.365663 0,2.119884 41.365617 0,2.119942 41.36559 0,2.12001 41.365577 0))","3007",,"Amadeu Torner-c.Sta. Eulàlia, rotonda del c.d'","765"
"POLYGON Z ((2.130816 41.36489 0,2.130881 41.364898 0,2.130934 41.364918 0,2.130968 41.364947 0,2.130986 41.364979 0,2.130989 41.365014 0,2.130977 41.365052 0,2.130956 41.36509 0,2.130918 41.365116 0,2.130861 41.365136 0,2.130805 41.365135 0,2.13074 41.36512 0,2.130696 41.365094 0,2.130672 41.365056 0,2.130657 41.365014 0,2.130671 41.364972 0,2.130699 41.364933 0,2.130749 41.364903 0,2.130816 41.36489 0))","3058",,"Aprestadora - av.del Carrilet, rotonda del c. d'","586"
"POLYGON Z ((2.122858 41.360875 0,2.12292 41.360885 0,2.122969 41.36091 0,2.122997 41.360942 0,2.123009 41.360989 0,2.122995 41.361033 0,2.122964 41.361067 0,2.122922 41.361088 0,2.122865 41.361098 0,2.122809 41.361091 0,2.122755 41.361064 0,2.122722 41.361024 0,2.122713 41.360981 0,2.122725 41.360942 0,2.12276 41.360906 0,2.122805 41.360885 0,2.122858 41.360875 0))","3061",,"Aprestadora - c.Amadeu Torner, rotonda del c. d'","468"
"POLYGON Z ((2.130165 41.364328 0,2.130408 41.364453 0,2.130303 41.36457 0,2.130061 41.364429 0,2.130165 41.364328 0))","3025",,"Aprestadora 41B, zona verda del c. d'","375"
"POLYGON Z ((2.131991 41.363296 0,2.132097 41.363339 0,2.130965 41.364874 0,2.130864 41.364833 0,2.131991 41.363296 0))","3060",,"Aprestadora 7-25 (entre av. del Carrilet i av. de la Granvia de l'Hospitalet), zona verda del c. d'","1918"
"POLYGON Z ((2.126209 41.365567 0,2.126769 41.36571 0,2.12668 41.365884 0,2.126608 41.365937 0,2.126505 41.36595 0,2.126382 41.365924 0,2.126082 41.365855 0,2.126209 41.365567 0))","3011",,"Avis, pl.dels","1560"
"POLYGON Z ((2.123015 41.361943 0,2.123267 41.362036 0,2.123298 41.361984 0,2.12342 41.362023 0,2.123376 41.362097 0,2.123134 41.362018 0,2.123077 41.362117 0,2.12323 41.362165 0,2.123069 41.362446 0,2.123158 41.362474 0,2.12311 41.362559 0,2.123008 41.362529 0,2.122897 41.362707 0,2.123006 41.362741 0,2.122963 41.362818 0,2.122816 41.36277 0,2.122885 41.36265 0,2.122775 41.362616 0,2.122666 41.3627 0,2.122609 41.362721 0,2.122554 41.362728 0,2.122481 41.362724 0,2.122373 41.362679 0,2.122379 41.362659 0,2.122515 41.362668 0,2.122605 41.362637 0,2.122647 41.362601 0,2.122692 41.362543 0,2.122807 41.362581 0,2.123059 41.362157 0,2.122935 41.362114 0,2.123015 41.361943 0))","3019",,"Badalona, parterres interiors del c.de","1699"
"POLYGON Z ((2.122566 41.359458 0,2.122917 41.359572 0,2.122658 41.360024 0,2.122292 41.359906 0,2.122566 41.359458 0))",E009,,Biblioteca Plaça Europa (c.Amadeu Torner),"1787"
"POLYGON Z ((2.131126 41.365082 0,2.132128 41.365459 0,2.131908 41.365968 0,2.132347 41.366187 0,2.132284 41.366234 0,2.131824 41.366064 0,2.131678 41.365949 0,2.13154 41.365992 0,2.130877 41.36522 0,2.131126 41.365082 0))","3057",,"Bisbe Joan Carrera (entre c.Aprestadora, av.del Carrilet i c.Riera Blanca), jardins del","6159"
"POLYGON Z ((2.125049 41.365747 0,2.125097 41.365764 0,2.124963 41.366147 0,2.125224 41.366217 0,2.125157 41.366366 0,2.125086 41.366349 0,2.124846 41.366167 0,2.125049 41.365747 0))","3010",,"Camilo José Cela, pl.de","686"
"POLYGON Z ((2.131591 41.366222 0,2.131653 41.366253 0,2.131946 41.366787 0,2.131849 41.367165 0,2.131779 41.367182 0,2.131051 41.366842 0,2.131591 41.366222 0))","3043",,"Can Colom, pl.de","4267"
"POLYGON Z ((2.121843 41.354073 0,2.121985 41.354098 0,2.122094 41.354158 0,2.122179 41.354265 0,2.122195 41.354379 0,2.12216 41.354471 0,2.122083 41.354551 0,2.121985 41.354602 0,2.121831 41.354627 0,2.121686 41.354607 0,2.121843 41.354348 0,2.121573 41.35415 0,2.121717 41.354086 0,2.121843 41.354073 0))","6200",,"Can Tries - av.de la Granvia de l'Hospitalet, rotonda del c.de","1960"
"POLYGON Z ((2.120383 41.357439 0,2.120435 41.35745 0,2.120473 41.357471 0,2.120503 41.357507 0,2.120512 41.357546 0,2.120499 41.357587 0,2.120469 41.357618 0,2.120111 41.357821 0,2.12007 41.357841 0,2.120015 41.35785 0,2.120278 41.357468 0,2.120332 41.357444 0,2.120383 41.357439 0))","6193",,"Can Tries - c.Jerusalem, rotonda del c.de","772"
"POLYGON Z ((2.118841 41.359836 0,2.120061 41.360226 0,2.120007 41.360306 0,2.1199 41.360269 0,2.1198 41.360431 0,2.119583 41.360356 0,2.119654 41.360236 0,2.11881 41.35995 0,2.118268 41.360793 0,2.119111 41.361339 0,2.119291 41.361097 0,2.119296 41.361128 0,2.119362 41.361149 0,2.119277 41.361289 0,2.119345 41.361332 0,2.119318 41.361357 0,2.119316 41.361403 0,2.119072 41.361633 0,2.118046 41.360969 0,2.118037 41.360818 0,2.118088 41.360644 0,2.118629 41.360005 0,2.1187 41.359991 0,2.118798 41.359852 0,2.118841 41.359836 0))","3040",,"Can Tries (costat est, entre c.Narcís Monturiol i c.Aprestadora), c.","7030"
"POLYGON Z ((2.117807 41.360895 0,2.117924 41.360744 0,2.117967 41.360773 0,2.118009 41.360821 0,2.118026 41.36089 0,2.118005 41.360956 0,2.11796 41.361006 0,2.117898 41.361037 0,2.117814 41.361051 0,2.117731 41.361041 0,2.117651 41.361001 0,2.117602 41.360942 0,2.117589 41.360878 0,2.117606 41.360821 0,2.117632 41.360776 0,2.117807 41.360895 0))","3041",,"Can Tries-Narcís Monturiol, rotonda de","786"
