WKT,id,description,name,Superficie
"POLYGON Z ((2.103089 41.373177 0,2.103133 41.373181 0,2.103179 41.373203 0,2.103207 41.373232 0,2.103216 41.373265 0,2.103212 41.373298 0,2.10319 41.373327 0,2.103155 41.37335 0,2.103111 41.373361 0,2.103057 41.373358 0,2.103008 41.373335 0,2.102983 41.373305 0,2.102972 41.373273 0,2.102978 41.373241 0,2.103004 41.373208 0,2.103044 41.373186 0,2.103089 41.373177 0))","5009",,"Alzina, pl.de l'","321"
"POLYGON Z ((2.108511 41.374998 0,2.108494 41.375481 0,2.108481 41.375485 0,2.108097 41.375499 0,2.107853 41.375472 0,2.107755 41.375052 0,2.107746 41.37502 0,2.108511 41.374998 0))","5050",,"Antiga Travessera (zona verda al costat nord), c.","3130"
"POLYGON Z ((2.108245 41.374413 0,2.108432 41.374504 0,2.108879 41.37473 0,2.109012 41.374772 0,2.10911 41.374867 0,2.109076 41.374904 0,2.108703 41.374922 0,2.107938 41.374846 0,2.107113 41.374953 0,2.106824 41.374946 0,2.106794 41.374854 0,2.107596 41.374718 0,2.107924 41.374579 0,2.108245 41.374413 0))","5049",,"Antiga Travessera (zona verda al costat sud), c.","5076"
"POLYGON Z ((2.108548 41.375767 0,2.10856 41.375906 0,2.107203 41.375946 0,2.107235 41.375799 0,2.108548 41.375767 0))","5051",,"Collblanc (entre c.Doctor Ramon Solanich i Riera i av.Josep Molins), ctra.de","1770"
"POLYGON Z ((2.109423 41.374834 0,2.109411 41.375084 0,2.109363 41.37508 0,2.10932 41.375072 0,2.109268 41.375051 0,2.109222 41.375021 0,2.109184 41.374981 0,2.109162 41.374936 0,2.109155 41.374893 0,2.109166 41.374834 0,2.109199 41.374784 0,2.109423 41.374834 0))","5053",,"Doctor Ramon Solanich i Riera, rotonda del c.","564"
"POLYGON Z ((2.107852 41.374138 0,2.108473 41.374464 0,2.109171 41.374776 0,2.109126 41.374823 0,2.109019 41.374745 0,2.108803 41.374656 0,2.107824 41.374174 0,2.107852 41.374138 0))","5001",,"Dr. Ramon Solanich i Riera (mitjana entre c.Josep Sunyol I c.El·lipse), c.de","496"
"POLYGON Z ((2.105018 41.371866 0,2.105831 41.372806 0,2.105749 41.372847 0,2.104681 41.371622 0,2.104628 41.37163 0,2.104495 41.37163 0,2.104364 41.371595 0,2.104269 41.371539 0,2.104172 41.371461 0,2.10413 41.371372 0,2.104115 41.371237 0,2.104156 41.371141 0,2.10422 41.371064 0,2.103388 41.370108 0,2.103266 41.369971 0,2.10315 41.3698 0,2.103093 41.369673 0,2.103189 41.369667 0,2.103213 41.369751 0,2.10331 41.369887 0,2.103427 41.37001 0,2.103589 41.370208 0,2.103995 41.370674 0,2.105018 41.371866 0))","5012",,"Eivissa i zones annexes, pl.","4811"
"POLYGON Z ((2.10326 41.369104 0,2.103248 41.369145 0,2.102952 41.369143 0,2.10099 41.368905 0,2.10099 41.368856 0,2.10326 41.369104 0))","5046",,"Electricitat i mitjana de l'av.Isabel la Catòlica, zona enjardinada de l'av.","1269"
"POLYGON Z ((2.105119 41.372248 0,2.105652 41.372767 0,2.105576 41.372812 0,2.105526 41.372839 0,2.105438 41.372758 0,2.105357 41.372679 0,2.105043 41.372879 0,2.104885 41.372756 0,2.104661 41.372908 0,2.104418 41.372701 0,2.105119 41.372248 0))","5008",,"Federico García Lorca, pl.de","3552"
"POLYGON Z ((2.105644 41.372912 0,2.105793 41.373165 0,2.105195 41.373454 0,2.104978 41.373518 0,2.104529 41.373185 0,2.105644 41.372912 0))","5006",,"Ibèria (av.del Bosc - pl.Mare de Déu del Pilar), zona verda del c.","3610"
