WKT,id,description,name,Superficie
"POLYGON Z ((2.118132 41.359176 0,2.118158 41.359387 0,2.117702 41.359404 0,2.11768 41.359204 0,2.118132 41.359176 0))","6160",,"Aprestadora (cantonada amb av.Carmen Amaya), zona enjardinada del c. d'","872"
"POLYGON Z ((2.121837 41.354346 0,2.121686 41.354607 0,2.121562 41.354543 0,2.121481 41.354444 0,2.121459 41.354337 0,2.121499 41.354225 0,2.121565 41.354176 0,2.121837 41.354346 0))","6200",,"Can Tries - av.de la Granvia de l'Hospitalet, rotonda del c.de","895"
"POLYGON Z ((2.120015 41.35785 0,2.119964 41.357843 0,2.119916 41.357818 0,2.119886 41.357782 0,2.119878 41.357741 0,2.119891 41.357701 0,2.11992 41.357671 0,2.120278 41.357468 0,2.120015 41.35785 0))","6193",,"Can Tries - c.Jerusalem, rotonda del c.de","495"
"POLYGON Z ((2.118736 41.358135 0,2.119462 41.358345 0,2.119469 41.358433 0,2.118954 41.359218 0,2.118661 41.359643 0,2.118589 41.359665 0,2.118334 41.359597 0,2.118236 41.358635 0,2.118547 41.358614 0,2.118528 41.358467 0,2.118746 41.35845 0,2.118736 41.358135 0))","6142",,"Can Tries (costat oest, entre c.Aprestadora i c.Joncs 4 - 8), c.de","9578"
"POLYGON Z ((2.119596 41.358808 0,2.121356 41.359463 0,2.12137 41.359497 0,2.121101 41.359941 0,2.120225 41.359638 0,2.12014 41.359772 0,2.120016 41.359767 0,2.119846 41.360044 0,2.118906 41.35977 0,2.11887 41.359713 0,2.119455 41.358811 0,2.119596 41.358808 0))","6144",,"Can Tries (entre c.Aprestadora i c.Joan de Joanes), c.de","15817"
"POLYGON Z ((2.117804 41.360721 0,2.117894 41.360736 0,2.117923 41.360753 0,2.117808 41.360893 0,2.117643 41.360777 0,2.117658 41.360768 0,2.117725 41.360737 0,2.117804 41.360721 0))","3041",,"Can Tries-Narcís Monturiol, rotonda de","239"
"POLYGON Z ((2.118314 41.352735 0,2.118356 41.352796 0,2.118685 41.352791 0,2.118744 41.352833 0,2.118745 41.35286 0,2.118537 41.352871 0,2.118465 41.352875 0,2.117948 41.352911 0,2.117899 41.352915 0,2.117651 41.352929 0,2.1175 41.352938 0,2.117078 41.352953 0,2.117073 41.352883 0,2.117839 41.352841 0,2.117832 41.352761 0,2.118314 41.352735 0))","6127",,"Carmen Amaya  14 (costat del centre cívic), parterre de l'av.de","1536"
"POLYGON Z ((2.118739 41.352892 0,2.118774 41.352933 0,2.118752 41.352952 0,2.11828 41.352943 0,2.11832 41.353361 0,2.118509 41.355319 0,2.11864 41.356912 0,2.118631 41.356982 0,2.118744 41.357331 0,2.118595 41.357289 0,2.118558 41.356576 0,2.118552 41.356453 0,2.118287 41.356459 0,2.118248 41.356055 0,2.118524 41.356043 0,2.118499 41.355718 0,2.11841 41.354695 0,2.11833 41.353981 0,2.118287 41.353438 0,2.118244 41.352952 0,2.118243 41.352926 0,2.11853 41.352902 0,2.118589 41.352901 0,2.118739 41.352892 0))","6139",,"Carmen Amaya (lateral de l'escola Xaloc), parterre de l'av.de","3214"
"POLYGON Z ((2.116596 41.351539 0,2.116628 41.35183 0,2.116532 41.351836 0,2.116508 41.351676 0,2.116227 41.351692 0,2.11624 41.351856 0,2.116146 41.351861 0,2.116113 41.351565 0,2.116596 41.351539 0))","6117",,"Carmen Amaya 1 - 5/9 (av.C.Amaya 1 - 3 - 5/9), av.de","892"
"POLYGON Z ((2.116079 41.351044 0,2.116103 41.351049 0,2.116118 41.351054 0,2.116136 41.351061 0,2.116192 41.351088 0,2.116375 41.351194 0,2.116437 41.351231 0,2.11645 41.351308 0,2.116108 41.351323 0,2.116079 41.351044 0))","6115",,"Carmen Amaya 1 (av.C.Amaya 1 - av.Vilanova 10), av.de","592"
"POLYGON Z ((2.116488 41.351261 0,2.116853 41.35148 0,2.11686 41.351533 0,2.116623 41.351559 0,2.116609 41.351522 0,2.1165 41.351528 0,2.116488 41.351261 0))","6116",,"Carmen Amaya 1-3, av.de","559"
"POLYGON Z ((2.116794 41.352395 0,2.116811 41.352578 0,2.116221 41.352615 0,2.116206 41.352431 0,2.116794 41.352395 0))","6120",,"Carmen Amaya 11/15 - 17/21 (zona entre els blocs), av.de","1010"
"POLYGON Z ((2.118206 41.353137 0,2.118242 41.353553 0,2.117993 41.353569 0,2.118002 41.353633 0,2.117759 41.353645 0,2.117725 41.353303 0,2.117999 41.353291 0,2.117986 41.353143 0,2.118206 41.353137 0))","6128",,"Carmen Amaya 14-16 (entre 14/16 i 18/20), av.de","1709"
"POLYGON Z ((2.117893 41.352939 0,2.117908 41.352969 0,2.117914 41.353058 0,2.117668 41.353072 0,2.117657 41.352982 0,2.117664 41.352954 0,2.117893 41.352939 0))","6126",,"Carmen Amaya 14, av.de","273"
"POLYGON Z ((2.116835 41.352681 0,2.116857 41.352919 0,2.116245 41.352952 0,2.11622 41.352725 0,2.116835 41.352681 0))","6121",,"Carmen Amaya 17/21 - 23/27 (zona entre els blocs), av.de","1334"
"POLYGON Z ((2.118272 41.353762 0,2.118302 41.354126 0,2.118041 41.35414 0,2.118054 41.35428 0,2.117823 41.354295 0,2.117791 41.353931 0,2.118057 41.353915 0,2.11805 41.353775 0,2.118272 41.353762 0))","6129",,"Carmen Amaya 18-20 (entre 18/20 i 22/24), av.de","1622"
"POLYGON Z ((2.118317 41.354323 0,2.118348 41.354666 0,2.118087 41.354681 0,2.1181 41.35482 0,2.117869 41.354835 0,2.117836 41.354498 0,2.118122 41.354482 0,2.118107 41.354336 0,2.118317 41.354323 0))","6130",,"Carmen Amaya 22-24 (entre 22/24 i 30/32), av.de","1493"
"POLYGON Z ((2.118368 41.354891 0,2.118401 41.355215 0,2.118139 41.35523 0,2.118154 41.355379 0,2.117926 41.355392 0,2.11789 41.35505 0,2.118168 41.355033 0,2.118155 41.354903 0,2.118368 41.354891 0))","6131",,"Carmen Amaya 26-28 (entre 26/28 i 30/32), av.de","1467"
