WKT,id,description,name,Superficie
"POLYGON Z ((2.102831 41.368111 0,2.103303 41.368172 0,2.103161 41.368808 0,2.103109 41.368862 0,2.103007 41.368887 0,2.102679 41.368843 0,2.102831 41.368111 0))","5038",,"Antonio Machado, jardins d'","3221"
"POLYGON Z ((2.09899 41.365524 0,2.099362 41.365577 0,2.099464 41.365591 0,2.099747 41.365627 0,2.099803 41.365636 0,2.099882 41.365648 0,2.099921 41.365653 0,2.099934 41.365655 0,2.100021 41.365668 0,2.100129 41.365685 0,2.100188 41.365691 0,2.10024 41.365697 0,2.100252 41.365698 0,2.100265 41.3657 0,2.100338 41.365779 0,2.100308 41.365837 0,2.100313 41.365862 0,2.100249 41.36599 0,2.10021 41.365979 0,2.100195 41.365975 0,2.100204 41.365956 0,2.100205 41.365936 0,2.100213 41.365897 0,2.100127 41.365877 0,2.100045 41.365856 0,2.099979 41.365839 0,2.099693 41.365786 0,2.099729 41.365673 0,2.099494 41.36563 0,2.099455 41.365749 0,2.099139 41.365697 0,2.099101 41.365831 0,2.099048 41.365846 0,2.098881 41.365825 0,2.098802 41.365806 0,2.09873 41.36577 0,2.098681 41.365733 0,2.098684 41.365719 0,2.09893 41.365745 0,2.098973 41.365535 0,2.09899 41.365524 0))","5027",,"Can Serra (darrere dels blocs 28, 29, 30 i 31), zona de l'av.de","2323"
"MULTIPOLYGON Z (((2.100838 41.365658 0,2.100925 41.365684 0,2.100894 41.365745 0,2.100803 41.365721 0,2.100838 41.365658 0)),((2.100573 41.365205 0,2.100782 41.365268 0,2.100751 41.365328 0,2.100538 41.365268 0,2.100573 41.365205 0)),((2.101148 41.3647 0,2.101236 41.364724 0,2.101208 41.364784 0,2.101116 41.364755 0,2.101148 41.3647 0)),((2.100179 41.364484 0,2.100929 41.364655 0,2.100723 41.365072 0,2.100702 41.365068 0,2.100672 41.365062 0,2.10065 41.365048 0,2.100648 41.364959 0,2.10063 41.364883 0,2.10058 41.364809 0,2.100523 41.364757 0,2.100457 41.364705 0,2.100376 41.364672 0,2.100227 41.364635 0,2.099916 41.364571 0,2.099909 41.364516 0,2.100179 41.364484 0)))","5044",,"Can Serra (darrere dels blocs 49 i 50), zona de l'av.de","2035"
"MULTIPOLYGON Z (((2.099508 41.36461 0,2.100233 41.364758 0,2.100222 41.364811 0,2.099534 41.364727 0,2.09952 41.364791 0,2.099471 41.364787 0,2.099508 41.36461 0)),((2.0995 41.364211 0,2.09955 41.364223 0,2.099462 41.364461 0,2.099415 41.364451 0,2.0995 41.364211 0)))","5022",,"Can Serra (davant del bloc 10-13 i lateral est del nº 60), jardins de l'av.de","723"
"POLYGON Z ((2.099194 41.365267 0,2.100097 41.365373 0,2.100178 41.365379 0,2.100297 41.36537 0,2.100367 41.365361 0,2.100542 41.365316 0,2.100575 41.365326 0,2.100518 41.365454 0,2.100497 41.365464 0,2.100387 41.365437 0,2.100374 41.365425 0,2.100324 41.36547 0,2.099178 41.365333 0,2.099194 41.365267 0))","5020",,"Can Serra (davant del bloc 20-26 i 46), jardins de l'av.de","979"
"POLYGON Z ((2.099384 41.365761 0,2.099753 41.365824 0,2.099716 41.365944 0,2.099949 41.365987 0,2.099946 41.366041 0,2.099689 41.365973 0,2.0997 41.365924 0,2.099352 41.365865 0,2.099384 41.365761 0))","5032",,"Can Serra (davant dels blocs 30 i 31), parterres de l'av.de","483"
"POLYGON Z ((2.099807 41.364275 0,2.100103 41.364338 0,2.100097 41.364354 0,2.100028 41.364362 0,2.099987 41.364378 0,2.099833 41.364338 0,2.099844 41.364309 0,2.099799 41.364298 0,2.099807 41.364275 0))","5045",,"Can Serra (davant RENFE), parterre de l'av.de","132"
"POLYGON Z ((2.099507 41.364795 0,2.099523 41.364831 0,2.099561 41.364841 0,2.100295 41.364921 0,2.100326 41.364804 0,2.100355 41.364803 0,2.100434 41.364868 0,2.100469 41.364914 0,2.100494 41.364997 0,2.100493 41.365042 0,2.10047 41.365108 0,2.100407 41.365167 0,2.100382 41.365155 0,2.100396 41.365083 0,2.099111 41.364918 0,2.099129 41.364828 0,2.099455 41.364864 0,2.09947 41.364796 0,2.099507 41.364795 0))","5021",,"Can Serra (entre els blocs 14-19 i 10-13), talús de l'av.de","1863"
"POLYGON Z ((2.099109 41.364925 0,2.099229 41.364939 0,2.09921 41.365009 0,2.100361 41.365147 0,2.100388 41.365193 0,2.100281 41.365244 0,2.100169 41.365263 0,2.099063 41.365123 0,2.099109 41.364925 0))","5019",,"Can Serra (posterior al bloc 14-19), talús de l'av.de","1649"
"POLYGON Z ((2.098194 41.364789 0,2.098299 41.364801 0,2.098568 41.364828 0,2.098974 41.364875 0,2.098987 41.364812 0,2.099113 41.364826 0,2.099048 41.365121 0,2.098851 41.365126 0,2.098646 41.365182 0,2.098485 41.365313 0,2.098398 41.365469 0,2.098392 41.365581 0,2.098306 41.365665 0,2.098258 41.365658 0,2.098059 41.365798 0,2.09804 41.365789 0,2.097931 41.365585 0,2.097916 41.365559 0,2.098008 41.365142 0,2.098149 41.36516 0,2.09821 41.364881 0,2.098169 41.364871 0,2.098194 41.364789 0))","5018",,"Can Serra (posterior nº 6-9 i ctra.d'Esplugues 6 al 14 i av.Can Serra 80), talús de l'av.de","5212"
