WKT,id,description,name,Superficie
"POLYGON Z ((2.134537 41.361329 0,2.134737 41.361352 0,2.134848 41.361433 0,2.134557 41.362404 0,2.134124 41.362308 0,2.13437 41.361401 0,2.134427 41.361357 0,2.134537 41.361329 0))","3045",,"Arquitectura 2-8 (entre pl.Repòs i c.Escultura), zona verda del c.","4398"
"POLYGON Z ((2.133202 41.359982 0,2.133258 41.360069 0,2.134177 41.360751 0,2.134154 41.360778 0,2.133151 41.360023 0,2.133202 41.359982 0))","3033",,"Arquitectura, mitjana del c.de l'","380"
"POLYGON Z ((2.130231 41.351353 0,2.130314 41.351362 0,2.130377 41.351395 0,2.13044 41.351451 0,2.130458 41.351509 0,2.130435 41.351567 0,2.130385 41.351612 0,2.130316 41.351646 0,2.130239 41.351652 0,2.130145 41.351628 0,2.130093 41.351599 0,2.130063 41.351567 0,2.130043 41.351523 0,2.130054 41.351465 0,2.130094 41.351411 0,2.130154 41.351371 0,2.130231 41.351353 0))","3176",,"Botànica - av.Joan Carles I, rotonda del c.","860"
"POLYGON Z ((2.126786 41.349555 0,2.126865 41.349555 0,2.126944 41.349581 0,2.127002 41.349633 0,2.127005 41.349686 0,2.126978 41.349746 0,2.126924 41.34979 0,2.126827 41.349809 0,2.126745 41.349786 0,2.126697 41.349746 0,2.126667 41.34968 0,2.126694 41.349611 0,2.126786 41.349555 0))","3175",,"Botànica - c.Salvador Espriu, rotonda del c.","604"
"MULTIPOLYGON Z (((2.130487 41.351572 0,2.130683 41.351654 0,2.133293 41.352813 0,2.133854 41.352907 0,2.133702 41.353097 0,2.130387 41.351653 0,2.130487 41.351572 0)),((2.127026 41.349714 0,2.130056 41.351337 0,2.129954 41.351445 0,2.126899 41.349847 0,2.127026 41.349714 0)),((2.121652 41.346855 0,2.126701 41.349552 0,2.126575 41.349685 0,2.121536 41.347003 0,2.121652 41.346855 0)),((2.118708 41.34537 0,2.121096 41.346571 0,2.120983 41.346699 0,2.118597 41.34549 0,2.118708 41.34537 0)))","3178",,"Botànica (entre c.Metal·lúrgia i c.Motors), mitjana del c.","22625"
"POLYGON Z ((2.119639 41.349029 0,2.121375 41.350364 0,2.12123 41.350506 0,2.119474 41.349146 0,2.119639 41.349029 0))","3173",,"Can Pi (entre c.Miguel Hernàndez i c.Primer de Maig), mitjana del c.","4043"
"POLYGON Z ((2.127451 41.358557 0,2.127583 41.358357 0,2.127696 41.358417 0,2.127775 41.358517 0,2.127791 41.358618 0,2.12776 41.358705 0,2.127685 41.358783 0,2.127451 41.358557 0))","3197",,"Castelao - av.de la Granvia de l'Hospitalet, rotonda del c.de","772"
"POLYGON Z ((2.126413 41.354687 0,2.126558 41.354716 0,2.126672 41.354777 0,2.126756 41.354876 0,2.126782 41.35499 0,2.126744 41.355096 0,2.12666 41.355184 0,2.126108 41.354789 0,2.126275 41.354704 0,2.126413 41.354687 0))","3146",,"Ciències - av.Joan Carles I, rotonda del c.","1662"
"POLYGON Z ((2.120488 41.351236 0,2.120577 41.351269 0,2.120641 41.351329 0,2.120649 41.351384 0,2.120617 41.351449 0,2.120465 41.351387 0,2.120368 41.351478 0,2.120322 41.351442 0,2.120293 41.351376 0,2.12032 41.351307 0,2.120402 41.351246 0,2.120488 41.351236 0))","3152",,"Ciències - c.M.Hernàndez, rotonda del c.","509"
"POLYGON Z ((2.118259 41.349611 0,2.118381 41.349639 0,2.118447 41.349711 0,2.118438 41.349783 0,2.118366 41.349855 0,2.118235 41.349873 0,2.118123 41.349819 0,2.118089 41.349734 0,2.118147 41.349646 0,2.118259 41.349611 0))","3153",,"Ciències - c.Primer de Maig, rotonda del c.","640"
