WKT,id,description,name,Superficie
"POLYGON Z ((2.116582 41.369329 0,2.116451 41.369447 0,2.116417 41.36938 0,2.116441 41.36932 0,2.116582 41.369329 0))","2014",,"Blas Infante, rotonda i voltants de la pl.de","100"
"POLYGON Z ((2.109456 41.3747 0,2.109554 41.374731 0,2.109623 41.374782 0,2.109665 41.374832 0,2.109418 41.374847 0,2.109199 41.374784 0,2.109267 41.374732 0,2.109354 41.374703 0,2.109456 41.3747 0))","5053",,"Doctor Ramon Solanich i Riera, rotonda del c.","411"
"POLYGON Z ((2.107895 41.374098 0,2.10888 41.374594 0,2.109209 41.374728 0,2.109179 41.374764 0,2.108503 41.37447 0,2.107853 41.374132 0,2.107895 41.374098 0))","5001",,"Dr. Ramon Solanich i Riera (mitjana entre c.Josep Sunyol I c.El·lipse), c.de","669"
"POLYGON Z ((2.104553 41.371287 0,2.104941 41.371094 0,2.105002 41.371177 0,2.105027 41.37128 0,2.104999 41.371398 0,2.104935 41.37149 0,2.105557 41.372223 0,2.105482 41.372263 0,2.105089 41.371832 0,2.105018 41.371866 0,2.104553 41.371287 0))","5012",,"Eivissa i zones annexes, pl.","2328"
"MULTIPOLYGON Z (((2.114739 41.370668 0,2.11489 41.370736 0,2.114803 41.370832 0,2.114656 41.370759 0,2.114739 41.370668 0)),((2.114865 41.370215 0,2.115234 41.370461 0,2.115114 41.370489 0,2.114865 41.370335 0,2.114865 41.370215 0)),((2.115464 41.369765 0,2.115731 41.369927 0,2.115612 41.370108 0,2.115243 41.369885 0,2.115464 41.369765 0)),((2.115172 41.369606 0,2.115328 41.369699 0,2.11434 41.37066 0,2.114168 41.370554 0,2.115172 41.369606 0)))","4012",,"Garraf, parterres del c.de","3633"
"POLYGON Z ((2.110685 41.374139 0,2.110849 41.374166 0,2.111068 41.37434 0,2.111037 41.374473 0,2.109724 41.374762 0,2.109484 41.374659 0,2.109225 41.374674 0,2.108865 41.374565 0,2.108528 41.374384 0,2.108586 41.374324 0,2.109003 41.374436 0,2.109235 41.374157 0,2.109612 41.37434 0,2.109696 41.374286 0,2.109959 41.374472 0,2.110346 41.374404 0,2.110685 41.374139 0))","4005",,"Granota (c.Dr.Ramon Solanich i Riera entre c.Finestrelles i c.Llevant), jardí de la","6876"
"POLYGON Z ((2.106125 41.37297 0,2.106187 41.372988 0,2.106235 41.373029 0,2.10625 41.373073 0,2.106235 41.373124 0,2.106205 41.373156 0,2.106174 41.373174 0,2.106028 41.372996 0,2.106074 41.37297 0,2.106125 41.37297 0))","5007",,"Mare de Déu del Pilar, pl.de la","238"
"POLYGON Z ((2.106757 41.37008 0,2.106748 41.370109 0,2.106708 41.370153 0,2.106655 41.370179 0,2.106582 41.370192 0,2.106548 41.370187 0,2.106757 41.37008 0))","4026",,"Masnou - c.St. Rafael, rotonda de l' av.","65"
"POLYGON Z ((2.108904 41.371596 0,2.109545 41.372031 0,2.10944 41.372121 0,2.108811 41.371668 0,2.108904 41.371596 0))","4008",,"Pedraforca (av.Miraflores - c.Bòbiles), parterres del c.de","886"
"MULTIPOLYGON Z (((2.107196 41.371657 0,2.107289 41.371753 0,2.107157 41.37191 0,2.10707 41.371961 0,2.106908 41.372 0,2.106746 41.372097 0,2.106715 41.372153 0,2.106613 41.37223 0,2.106544 41.372226 0,2.1065 41.372366 0,2.106077 41.372672 0,2.105915 41.372686 0,2.105618 41.372362 0,2.105716 41.37231 0,2.105745 41.372331 0,2.106254 41.372033 0,2.10639 41.372141 0,2.107196 41.371657 0)),((2.10847 41.370837 0,2.108539 41.370883 0,2.107454 41.371543 0,2.107384 41.371468 0,2.10793 41.371147 0,2.10847 41.370837 0)),((2.109424 41.370187 0,2.1096 41.37032 0,2.109445 41.370422 0,2.109251 41.370391 0,2.109183 41.37033 0,2.109424 41.370187 0)))","4001",,"Primavera (av.Isabel la Catòlica - c.Florida), jardins del c.de la","5973"
"POLYGON Z ((2.111014 41.369227 0,2.111202 41.369239 0,2.111237 41.369291 0,2.111093 41.369377 0,2.110993 41.36931 0,2.110874 41.369378 0,2.110894 41.369471 0,2.110708 41.369587 0,2.110581 41.369543 0,2.110561 41.369512 0,2.110793 41.369372 0,2.110758 41.369299 0,2.110862 41.369235 0,2.111014 41.369227 0))","4003",,"Primavera (c.Florida - av.Ponent), jardins del c.de la","825"
