WKT,id,description,name,Superficie
"POLYGON Z ((2.110639 41.355938 0,2.110757 41.356024 0,2.109795 41.356745 0,2.108736 41.357911 0,2.108472 41.358199 0,2.107712 41.359308 0,2.107631 41.359379 0,2.107551 41.359485 0,2.107475 41.359465 0,2.107443 41.359444 0,2.108351 41.35817 0,2.109581 41.356795 0,2.109703 41.356661 0,2.110317 41.356188 0,2.110639 41.355938 0))","1058",,"Fabregada (av.Carrilet - trav.Industrial), mitjana de l'av.de la","5499"
"POLYGON Z ((2.096818 41.356358 0,2.096884 41.356374 0,2.096977 41.356712 0,2.096975 41.356778 0,2.096954 41.35682 0,2.09585 41.358588 0,2.095502 41.358446 0,2.096818 41.356358 0))","1071",,"Femades/Jardins de la Pau (entre c.J.Mª Segarra i c.Major), c.de","7953"
"POLYGON Z ((2.110821 41.355776 0,2.110968 41.355875 0,2.11096 41.355916 0,2.110933 41.355953 0,2.110893 41.35598 0,2.110832 41.35599 0,2.110777 41.355981 0,2.110727 41.355956 0,2.110693 41.355913 0,2.110697 41.355875 0,2.110712 41.355838 0,2.110743 41.355808 0,2.110792 41.355784 0,2.110821 41.355776 0))","6183",,"Industrial - av.Fabregada, rotonda de la travessia","378"
"POLYGON Z ((2.104469 41.351042 0,2.10442 41.351067 0,2.104365 41.351074 0,2.104312 41.351071 0,2.104257 41.351042 0,2.104224 41.351002 0,2.104215 41.350956 0,2.104228 41.350918 0,2.104257 41.350883 0,2.104469 41.351042 0))","6180",,"Industrial - av.Mare de Déu de Bellvitge, rotonda de la travessia","239"
"POLYGON Z ((2.104462 41.351057 0,2.106564 41.352572 0,2.106511 41.35264 0,2.104565 41.351196 0,2.104454 41.351112 0,2.104427 41.351093 0,2.104462 41.351057 0))","6002",,"Industrial (av.M.Déu de Bellvitge i rb.Marina), mitjana de la travessia","1642"
"POLYGON Z ((2.102418 41.349547 0,2.104198 41.350854 0,2.104158 41.350886 0,2.10376 41.3506 0,2.103665 41.350525 0,2.1029 41.349934 0,2.102551 41.349706 0,2.102199 41.34949 0,2.101562 41.349103 0,2.102418 41.349547 0))","6001",,"Industrial (c.Feixa Llarga - av.M.Déu de Bellvitge), mitjana de la travessia","1189"
"POLYGON Z ((2.111018 41.355932 0,2.112551 41.357073 0,2.11293 41.357375 0,2.113593 41.357857 0,2.113573 41.357901 0,2.113171 41.357594 0,2.112799 41.357428 0,2.110941 41.355986 0,2.111018 41.355932 0))","6165",,"Industrial (entre av.Fabregada i av.Europa), travessia","2912"
"POLYGON Z ((2.107594 41.353393 0,2.107771 41.35352 0,2.107782 41.353465 0,2.110748 41.355746 0,2.110687 41.355774 0,2.110276 41.355471 0,2.107556 41.353422 0,2.107594 41.353393 0))","6167",,"Industrial (entre pl.Amalvigia i av Fabregada), travessia","2947"
"POLYGON Z ((2.097532 41.360063 0,2.097792 41.360131 0,2.097924 41.360149 0,2.097891 41.360305 0,2.097881 41.360359 0,2.097879 41.360368 0,2.097661 41.36031 0,2.097665 41.36028 0,2.097626 41.360268 0,2.097558 41.360244 0,2.09749 41.360216 0,2.097431 41.360192 0,2.097479 41.360103 0,2.097532 41.360063 0))","1016",,"Josep Bordonau i Balaguer i Ca n'Olivé, pl.","789"
"MULTIPOLYGON Z (((2.095638 41.362729 0,2.095693 41.362772 0,2.095581 41.362847 0,2.095429 41.362995 0,2.095329 41.362957 0,2.09549 41.362825 0,2.095638 41.362729 0)),((2.09399 41.361682 0,2.094104 41.361727 0,2.095109 41.362051 0,2.095205 41.362112 0,2.095842 41.362378 0,2.095815 41.362409 0,2.09507 41.36212 0,2.094672 41.361983 0,2.094023 41.361789 0,2.093935 41.361778 0,2.093968 41.361723 0,2.09399 41.361682 0)))","1009",,"Josep Tarradellas i Joan (c.Alvarez de Castro - c.St. Joan), mitjana de l'av.de","1485"
