WKT;id;description;name;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
POLYGON Z ((2.108875 41.347997 0,2.108919 41.348004 0,2.109278 41.348096 0,2.109177 41.34832 0,2.108236 41.348081 0,2.10826 41.348025 0,2.108731 41.34814 0,2.108795 41.348025 0,2.108835 41.348003 0,2.108875 41.347997 0));6023;;Ermita de Bellvitge 31-39 (zona posterior del bloc), c.de l';1355;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.109345 41.348325 0,2.109875 41.348455 0,2.109813 41.348593 0,2.109797 41.348628 0,2.109769 41.348696 0,2.109245 41.348568 0,2.109345 41.348325 0));6026;;Ermita de Bellvitge 50-58 (zona posterior del bloc), c.de l';1307;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.108712 41.348409 0,2.109147 41.348517 0,2.109112 41.348623 0,2.109136 41.348708 0,2.109182 41.348752 0,2.109176 41.348788 0,2.108055 41.348502 0,2.108076 41.348456 0,2.108543 41.348571 0,2.108595 41.348449 0,2.108641 41.348414 0,2.108712 41.348409 0));6024;;Ermita de Bellvitge 51-61 (zona posterior del bloc), c.de l';1591;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.109143 41.347503 0,2.109304 41.347526 0,2.109369 41.347633 0,2.109499 41.347802 0,2.109496 41.347908 0,2.109458 41.347982 0,2.109401 41.34797 0,2.109409 41.347876 0,2.109383 41.347793 0,2.109271 41.347722 0,2.109203 41.347718 0,2.109062 41.347685 0,2.108937 41.347625 0,2.108929 41.347595 0,2.109048 41.347559 0,2.109143 41.347503 0));6020;;Ermita de Bellvitge, rotonda i illetes del c.de l';883;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114836 41.354256 0,2.114898 41.35426 0,2.114915 41.354267 0,2.114918 41.354278 0,2.114938 41.354532 0,2.114933 41.354539 0,2.114904 41.354555 0,2.114581 41.35447 0,2.114633 41.354355 0,2.114764 41.354388 0,2.114775 41.354382 0,2.114826 41.354273 0,2.114836 41.354256 0));6095;;Europa 10 (zona posterior blocs 10 i 20), av.d';567;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114738 41.353785 0,2.114832 41.353803 0,2.114889 41.353864 0,2.114891 41.354175 0,2.114537 41.354072 0,2.114668 41.353808 0,2.114738 41.353785 0));6096;;Europa 10, av.d';880;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114105 41.35505 0,2.11446 41.355142 0,2.114532 41.355162 0,2.114554 41.355183 0,2.115002 41.355301 0,2.114969 41.355377 0,2.114242 41.355183 0,2.114186 41.355306 0,2.114007 41.355256 0,2.114105 41.35505 0));6087;;Europa 100-106 (zona posterior del bloc), av.d';990;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113034 41.354234 0,2.113629 41.354388 0,2.113684 41.354268 0,2.113734 41.354244 0,2.114257 41.354386 0,2.114103 41.354737 0,2.114029 41.35472 0,2.114091 41.354588 0,2.113002 41.354309 0,2.113034 41.354234 0));6089;;Europa 101-111 (zona posterior del bloc), av.d';1849;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113604 41.35299 0,2.114205 41.353146 0,2.114259 41.353034 0,2.114325 41.353001 0,2.114791 41.353124 0,2.114797 41.353243 0,2.114688 41.353468 0,2.114626 41.353454 0,2.114667 41.353354 0,2.113575 41.353065 0,2.113604 41.35299 0));6092;;Europa 11-21 (zona posterior del bloc), av.d';1874;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114088 41.355363 0,2.114366 41.355438 0,2.114383 41.355482 0,2.11433 41.355605 0,2.114985 41.355782 0,2.114964 41.355819 0,2.113994 41.35557 0,2.114088 41.355363 0));6086;;Europa 130-138 (zona posterior del bloc), av.d';948;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112844 41.354653 0,2.113438 41.354814 0,2.113509 41.35468 0,2.113545 41.354666 0,2.113556 41.354669 0,2.114072 41.354805 0,2.113921 41.355125 0,2.113844 41.355107 0,2.113891 41.355006 0,2.112819 41.354726 0,2.112844 41.354653 0));6088;;Europa 131-141 (zona posterior del bloc), av.d';1789;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.1139 41.355755 0,2.1144 41.355893 0,2.114438 41.355914 0,2.114446 41.355944 0,2.114389 41.356069 0,2.115 41.35623 0,2.114965 41.35631 0,2.114895 41.356381 0,2.114861 41.356369 0,2.114915 41.356263 0,2.113864 41.355986 0,2.113831 41.356066 0,2.113765 41.356049 0,2.1139 41.355755 0));6085;;Europa 160-170 (zona posterior del bloc), av.d';1666;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113601 41.356137 0,2.114156 41.356286 0,2.114175 41.356299 0,2.114184 41.356319 0,2.114116 41.356466 0,2.114469 41.35656 0,2.114449 41.356596 0,2.113564 41.356364 0,2.113528 41.356436 0,2.113472 41.35642 0,2.113601 41.356137 0));6084;;Europa 190-200 (zona posterior del bloc), av.d';1475;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113153 41.356132 0,2.113415 41.356201 0,2.113274 41.356505 0,2.113207 41.356487 0,2.113254 41.356386 0,2.11254 41.356198 0,2.112561 41.356142 0,2.113045 41.356273 0,2.113107 41.356149 0,2.113153 41.356132 0));6083;;Europa 191-197 (zona posterior del bloc), av.d';965;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114916 41.354602 0,2.114925 41.354605 0,2.114945 41.354793 0,2.114937 41.354805 0,2.114915 41.354813 0,2.114894 41.354812 0,2.114805 41.354789 0,2.11481 41.354778 0,2.114893 41.354612 0,2.114916 41.354602 0));6094;;Europa 20 (zona posterior del bloc), av.d';163;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113413 41.356542 0,2.113849 41.356659 0,2.11387 41.356684 0,2.113881 41.356704 0,2.113826 41.356828 0,2.114296 41.356968 0,2.11427 41.357015 0,2.113369 41.356776 0,2.113319 41.356889 0,2.11326 41.356872 0,2.113413 41.356542 0));6082;;Europa 220-228 (zona posterior del bloc), av.d';1436;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112978 41.356535 0,2.113206 41.356591 0,2.113228 41.356607 0,2.113089 41.356907 0,2.113029 41.356894 0,2.113081 41.356776 0,2.112353 41.356587 0,2.112368 41.356553 0,2.112863 41.356682 0,2.112921 41.356557 0,2.11293 41.356543 0,2.112954 41.356535 0,2.112978 41.356535 0));6081;;Europa 221-227 (zona posterior del bloc), av.d';832;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON Z (((2.11328 41.357353 0,2.113443 41.357395 0,2.113404 41.357466 0,2.113263 41.35739 0,2.11328 41.357353 0)),((2.113215 41.356956 0,2.11364 41.357063 0,2.113682 41.357118 0,2.113626 41.357247 0,2.114118 41.35737 0,2.114087 41.357435 0,2.113177 41.357191 0,2.113142 41.35726 0,2.113083 41.357244 0,2.113215 41.356956 0)));6080;;Europa 250-258, jardí de l'av.d';1555;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114284 41.354676 0,2.114618 41.354763 0,2.114663 41.354838 0,2.114969 41.354916 0,2.115001 41.355185 0,2.114962 41.355204 0,2.114559 41.355098 0,2.114668 41.354864 0,2.114372 41.354787 0,2.114233 41.355071 0,2.11411 41.355039 0,2.114284 41.354676 0));6093;;Europa 30 (zona al voltant del nº 30), av.d';1666;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113418 41.353414 0,2.114016 41.353573 0,2.114076 41.35345 0,2.114147 41.353424 0,2.114652 41.353555 0,2.114511 41.353861 0,2.114441 41.353843 0,2.11448 41.353761 0,2.113392 41.353477 0,2.113418 41.353414 0));6091;;Europa 41-51 (zona posterior del bloc), av.d';1729;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.11323 41.353822 0,2.113833 41.353983 0,2.113892 41.353855 0,2.113946 41.353837 0,2.114455 41.353968 0,2.114296 41.354292 0,2.114237 41.354278 0,2.114283 41.354176 0,2.113201 41.353886 0,2.11323 41.353822 0));6090;;Europa 71-81 (zona posterior del bloc), av.d';1732;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.104686 41.342926 0,2.104829 41.342951 0,2.104937 41.343012 0,2.105022 41.343118 0,2.105038 41.343232 0,2.105003 41.343324 0,2.104926 41.343404 0,2.104829 41.343455 0,2.104674 41.34348 0,2.104529 41.34346 0,2.104405 41.343396 0,2.104324 41.343297 0,2.104302 41.34319 0,2.104343 41.343078 0,2.104417 41.343003 0,2.104561 41.342939 0,2.104686 41.342926 0));6150;;Feixa Llarga (davant Hospital de Bellvitge), rotonda del c.de la;2911;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.10379 41.343411 0,2.10389 41.343466 0,2.10177 41.345658 0,2.101775 41.345749 0,2.101822 41.345837 0,2.101769 41.345873 0,2.101592 41.345811 0,2.101458 41.345703 0,2.101519 41.345573 0,2.102005 41.345094 0,2.102541 41.344528 0,2.102696 41.344046 0,2.103006 41.34374 0,2.103316 41.343562 0,2.10379 41.343411 0));6163;;Feixa Llarga (entre rotonda de l'hospital i c.Residència), lateral del c.;9037;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111686 41.355808 0,2.111867 41.355854 0,2.111898 41.355909 0,2.11185 41.356023 0,2.112396 41.356163 0,2.112364 41.356233 0,2.111581 41.356035 0,2.111686 41.355808 0));6073;;França 11-17 (zona posterior del bloc), c.de;942;DIS_6;Districte VI;BAR_12;Bellvitge
