AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2003;212;50-64;125;115;240;SEC_212
2003;107;75 i +;73;29;102;SEC_107
2003;509;12-15;8;12;20;SEC_509
2003;214;65-74;40;36;76;SEC_214
2003;222;25-34;87;112;199;SEC_222
2003;227;65-74;45;38;83;SEC_227
2003;407;35-49;109;103;212;SEC_407
2003;623;12-15;15;22;37;SEC_623
2003;528;18-24;52;65;117;SEC_528
2003;434;03-11;25;21;46;SEC_434
2003;101;12-15;22;22;44;SEC_101
2003;122;75 i +;44;20;64;SEC_122
2003;101;00-02;31;18;49;SEC_101
2003;244;12-15;10;10;20;SEC_244
2003;435;00-02;14;16;30;SEC_435
2003;314;75 i +;81;39;120;SEC_314
2003;622;00-02;9;8;17;SEC_622
2003;206;75 i +;66;32;98;SEC_206
2003;139;35-49;77;99;176;SEC_139
2003;101;75 i +;29;22;51;SEC_101
2003;603;18-24;20;24;44;SEC_603
2003;239;35-49;117;123;240;SEC_239
2003;615;65-74;47;59;106;SEC_615
2003;531;50-64;79;71;150;SEC_531
2003;107;00-02;17;29;46;SEC_107
2003;424;50-64;63;51;114;SEC_424
2003;420;50-64;108;81;189;SEC_420
2003;631;12-15;20;9;29;SEC_631
2003;242;65-74;91;59;150;SEC_242
2003;415;25-34;64;89;153;SEC_415
2003;122;03-11;30;31;61;SEC_122
2003;426;03-11;28;42;70;SEC_426
2003;621;50-64;213;235;448;SEC_621
2003;509;16-17;8;9;17;SEC_509
2003;235;65-74;93;73;166;SEC_235
2003;527;18-24;56;59;115;SEC_527
2003;219;25-34;99;117;216;SEC_219
2003;442;75 i +;28;21;49;SEC_442
2003;440;65-74;58;58;116;SEC_440
2003;115;16-17;7;13;20;SEC_115
2003;236;03-11;44;25;69;SEC_236
2003;515;00-02;7;5;12;SEC_515
2003;213;12-15;24;15;39;SEC_213
2003;609;35-49;71;63;134;SEC_609
2003;130;50-64;74;60;134;SEC_130
2003;630;12-15;17;19;36;SEC_630
2003;530;03-11;40;47;87;SEC_530
2003;307;65-74;67;56;123;SEC_307
2003;136;18-24;71;57;128;SEC_136
2003;302;18-24;59;65;124;SEC_302
2003;419;65-74;42;42;84;SEC_419
2003;207;16-17;3;4;7;SEC_207
2003;319;35-49;157;152;309;SEC_319
2003;232;00-02;14;17;31;SEC_232
2003;406;03-11;40;43;83;SEC_406
2003;226;12-15;15;20;35;SEC_226
2003;501;12-15;15;14;29;SEC_501
2003;222;12-15;20;15;35;SEC_222
2003;517;75 i +;47;26;73;SEC_517
2003;407;00-02;14;15;29;SEC_407
