AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
1999;438;18-24;39;38;77;SEC_438
1999;130;65-74;82;73;155;SEC_130
1999;240;03-11;15;24;39;SEC_240
1999;109;75 i +;46;23;69;SEC_109
1999;207;50-64;59;48;107;SEC_207
1999;430;03-11;25;39;64;SEC_430
1999;208;25-34;120;145;265;SEC_208
1999;121;50-64;61;42;103;SEC_121
1999;515;75 i +;26;13;39;SEC_515
1999;612;03-11;35;36;71;SEC_612
1999;126;16-17;10;7;17;SEC_126
1999;527;18-24;40;48;88;SEC_527
1999;525;18-24;43;55;98;SEC_525
1999;435;03-11;32;29;61;SEC_435
1999;103;75 i +;47;23;70;SEC_103
1999;314;03-11;84;114;198;SEC_314
1999;439;16-17;3;9;12;SEC_439
1999;203;18-24;25;27;52;SEC_203
1999;417;16-17;5;11;16;SEC_417
1999;427;35-49;69;66;135;SEC_427
1999;214;75 i +;40;14;54;SEC_214
1999;240;18-24;22;27;49;SEC_240
1999;304;50-64;107;102;209;SEC_304
1999;320;25-34;68;84;152;SEC_320
1999;123;16-17;11;12;23;SEC_123
1999;436;65-74;30;22;52;SEC_436
1999;101;12-15;36;34;70;SEC_101
1999;111;00-02;4;17;21;SEC_111
1999;210;65-74;91;66;157;SEC_210
1999;434;00-02;7;5;12;SEC_434
1999;228;75 i +;36;21;57;SEC_228
1999;628;75 i +;34;12;46;SEC_628
1999;224;35-49;60;60;120;SEC_224
1999;402;65-74;49;68;117;SEC_402
1999;311;00-02;16;13;29;SEC_311
1999;311;75 i +;82;39;121;SEC_311
1999;535;00-02;4;5;9;SEC_535
1999;609;00-02;10;4;14;SEC_609
1999;437;35-49;83;72;155;SEC_437
1999;611;25-34;187;202;389;SEC_611
1999;218;03-11;23;21;44;SEC_218
1999;402;75 i +;43;24;67;SEC_402
1999;202;35-49;52;53;105;SEC_202
1999;222;35-49;71;68;139;SEC_222
1999;210;18-24;40;38;78;SEC_210
1999;105;25-34;73;90;163;SEC_105
1999;537;35-49;111;110;221;SEC_537
1999;209;18-24;25;29;54;SEC_209
1999;513;03-11;16;20;36;SEC_513
1999;322;00-02;20;11;31;SEC_322
1999;233;50-64;73;68;141;SEC_233
1999;111;03-11;37;29;66;SEC_111
1999;508;25-34;41;60;101;SEC_508
1999;242;35-49;88;90;178;SEC_242
1999;324;16-17;10;9;19;SEC_324
1999;435;12-15;16;27;43;SEC_435
1999;517;18-24;41;61;102;SEC_517
1999;130;75 i +;61;37;98;SEC_130
1999;505;16-17;15;15;30;SEC_505
1999;101;03-11;58;62;120;SEC_101
1999;232;16-17;9;11;20;SEC_232
1999;232;03-11;31;26;57;SEC_232
1999;246;65-74;75;58;133;SEC_246
1999;208;75 i +;123;67;190;SEC_208
1999;622;18-24;72;60;132;SEC_622
1999;107;03-11;50;52;102;SEC_107
1999;135;50-64;135;157;292;SEC_135
1999;311;50-64;141;117;258;SEC_311
1999;118;65-74;41;37;78;SEC_118
1999;311;03-11;34;41;75;SEC_311
1999;306;65-74;105;79;184;SEC_306
1999;209;75 i +;88;46;134;SEC_209
1999;224;03-11;17;19;36;SEC_224
1999;323;00-02;51;37;88;SEC_323
1999;414;35-49;79;82;161;SEC_414
1999;236;35-49;86;85;171;SEC_236
1999;610;18-24;85;83;168;SEC_610
1999;604;16-17;8;4;12;SEC_604
1999;107;16-17;22;21;43;SEC_107
1999;226;00-02;7;6;13;SEC_226
1999;505;25-34;136;149;285;SEC_505
1999;626;16-17;5;5;10;SEC_626
1999;603;16-17;6;5;11;SEC_603
1999;324;50-64;71;75;146;SEC_324
1999;406;75 i +;53;31;84;SEC_406
1999;437;00-02;16;3;19;SEC_437
1999;414;65-74;66;66;132;SEC_414
1999;119;16-17;17;12;29;SEC_119
1999;406;65-74;68;78;146;SEC_406
1999;222;65-74;47;41;88;SEC_222
1999;239;18-24;47;52;99;SEC_239
1999;318;35-49;131;130;261;SEC_318
1999;622;12-15;21;23;44;SEC_622
1999;414;75 i +;42;25;67;SEC_414
1999;103;50-64;63;63;126;SEC_103
1999;129;03-11;41;31;72;SEC_129
1999;405;50-64;118;86;204;SEC_405
1999;433;50-64;77;74;151;SEC_433
1999;431;50-64;116;112;228;SEC_431
1999;416;35-49;51;65;116;SEC_416
1999;247;65-74;79;65;144;SEC_247
1999;614;25-34;102;108;210;SEC_614
1999;605;50-64;113;94;207;SEC_605
1999;323;50-64;199;250;449;SEC_323
1999;522;12-15;18;13;31;SEC_522
1999;505;35-49;93;80;173;SEC_505
1999;525;25-34;83;83;166;SEC_525
1999;112;03-11;56;61;117;SEC_112
1999;310;03-11;28;35;63;SEC_310
1999;608;00-02;6;8;14;SEC_608
1999;229;50-64;61;59;120;SEC_229
1999;505;00-02;9;5;14;SEC_505
1999;631;65-74;45;46;91;SEC_631
1999;438;35-49;71;64;135;SEC_438
1999;304;00-02;6;12;18;SEC_304
1999;113;00-02;12;14;26;SEC_113
1999;535;35-49;121;110;231;SEC_535
1999;314;25-34;175;181;356;SEC_314
1999;620;12-15;15;12;27;SEC_620
1999;423;12-15;9;18;27;SEC_423
1999;140;35-49;76;70;146;SEC_140
1999;138;03-11;25;35;60;SEC_138
1999;239;16-17;10;7;17;SEC_239
1999;407;00-02;10;11;21;SEC_407
1999;140;03-11;10;14;24;SEC_140
1999;128;03-11;23;36;59;SEC_128
1999;316;12-15;94;100;194;SEC_316
1999;419;35-49;57;72;129;SEC_419
1999;421;12-15;4;15;19;SEC_421
1999;318;75 i +;8;8;16;SEC_318
1999;310;00-02;9;13;22;SEC_310
1999;137;18-24;86;85;171;SEC_137
1999;116;12-15;34;21;55;SEC_116
1999;435;75 i +;102;46;148;SEC_435
1999;416;00-02;6;6;12;SEC_416
1999;243;00-02;9;14;23;SEC_243
1999;625;12-15;39;46;85;SEC_625
1999;234;12-15;11;12;23;SEC_234
1999;419;25-34;80;91;171;SEC_419
1999;238;25-34;57;53;110;SEC_238
1999;605;00-02;3;5;8;SEC_605
1999;617;25-34;106;132;238;SEC_617
1999;523;50-64;138;130;268;SEC_523
1999;211;18-24;39;51;90;SEC_211
1999;601;16-17;15;23;38;SEC_601
1999;512;65-74;44;29;73;SEC_512
1999;604;18-24;39;51;90;SEC_604
1999;529;00-02;13;13;26;SEC_529
1999;438;25-34;86;95;181;SEC_438
1999;513;16-17;5;2;7;SEC_513
1999;123;35-49;126;131;257;SEC_123
1999;504;35-49;98;84;182;SEC_504
1999;608;35-49;85;88;173;SEC_608
1999;630;35-49;111;89;200;SEC_630
1999;629;75 i +;25;7;32;SEC_629
1999;133;16-17;11;12;23;SEC_133
1999;504;75 i +;54;36;90;SEC_504
1999;427;50-64;76;53;129;SEC_427
1999;211;16-17;9;9;18;SEC_211
