AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
1995;111;35-49;119;102;221;SEC_111
1995;105;18-24;76;78;154;SEC_105
1995;629;18-24;49;61;110;SEC_629
1995;102;12-15;38;36;74;SEC_102
1995;244;18-24;31;24;55;SEC_244
1995;426;16-17;17;18;35;SEC_426
1995;408;25-34;82;93;175;SEC_408
1995;503;65-74;23;19;42;SEC_503
1995;314;03-11;123;164;287;SEC_314
1995;136;18-24;52;70;122;SEC_136
1995;315;18-24;93;78;171;SEC_315
1995;221;35-49;98;103;201;SEC_221
1995;246;50-64;110;102;212;SEC_246
1995;304;65-74;100;72;172;SEC_304
1995;133;00-02;6;10;16;SEC_133
1995;421;18-24;83;74;157;SEC_421
1995;625;35-49;240;230;470;SEC_625
1995;523;16-17;13;18;31;SEC_523
1995;218;25-34;57;55;112;SEC_218
1995;320;18-24;95;106;201;SEC_320
1995;424;16-17;9;11;20;SEC_424
1995;325;25-34;143;134;277;SEC_325
1995;515;75 i +;23;13;36;SEC_515
1995;318;50-64;53;51;104;SEC_318
1995;112;16-17;24;21;45;SEC_112
1995;240;75 i +;41;16;57;SEC_240
1995;246;35-49;86;83;169;SEC_246
1995;225;18-24;28;26;54;SEC_225
1995;207;65-74;74;48;122;SEC_207
1995;120;65-74;63;54;117;SEC_120
1995;627;03-11;46;71;117;SEC_627
1995;133;18-24;67;73;140;SEC_133
1995;612;12-15;26;24;50;SEC_612
1995;405;18-24;54;56;110;SEC_405
1995;513;03-11;23;24;47;SEC_513
1995;440;50-64;148;170;318;SEC_440
1995;139;18-24;65;71;136;SEC_139
1995;136;16-17;18;17;35;SEC_136
1995;242;03-11;32;29;61;SEC_242
1995;217;00-02;4;6;10;SEC_217
1995;205;18-24;43;45;88;SEC_205
1995;249;00-02;8;9;17;SEC_249
1995;615;00-02;0;5;5;SEC_615
1995;316;25-34;87;64;151;SEC_316
1995;415;12-15;21;16;37;SEC_415
1995;628;12-15;34;45;79;SEC_628
1995;313;25-34;149;150;299;SEC_313
1995;431;65-74;82;76;158;SEC_431
1995;238;18-24;33;42;75;SEC_238
1995;420;18-24;78;72;150;SEC_420
1995;119;25-34;96;106;202;SEC_119
1995;605;65-74;30;29;59;SEC_605
1995;220;00-02;3;4;7;SEC_220
1995;535;12-15;29;42;71;SEC_535
1995;136;00-02;15;8;23;SEC_136
1995;132;75 i +;61;23;84;SEC_132
1995;604;12-15;15;22;37;SEC_604
1995;419;25-34;75;79;154;SEC_419
1995;535;16-17;20;26;46;SEC_535
1995;439;50-64;117;118;235;SEC_439
1995;129;00-02;17;5;22;SEC_129
1995;118;16-17;51;46;97;SEC_118
1995;501;03-11;32;42;74;SEC_501
1995;129;50-64;108;120;228;SEC_129
1995;204;50-64;58;55;113;SEC_204
1995;220;35-49;70;61;131;SEC_220
