AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2005;117;75 i +;63;37;100;SEC_117
2005;609;00-02;12;9;21;SEC_609
2005;244;00-02;6;5;11;SEC_244
2005;246;18-24;56;43;99;SEC_246
2005;613;35-49;100;108;208;SEC_613
2005;439;18-24;58;64;122;SEC_439
2005;530;18-24;58;67;125;SEC_530
2005;316;00-02;16;14;30;SEC_316
2005;306;16-17;16;11;27;SEC_306
2005;426;50-64;75;65;140;SEC_426
2005;426;12-15;15;18;33;SEC_426
2005;220;75 i +;50;37;87;SEC_220
2005;525;16-17;11;7;18;SEC_525
2005;103;25-34;66;78;144;SEC_103
2005;512;65-74;58;57;115;SEC_512
2005;401;35-49;147;133;280;SEC_401
2005;305;00-02;23;16;39;SEC_305
2005;234;12-15;13;21;34;SEC_234
2005;435;12-15;21;19;40;SEC_435
2005;516;16-17;4;6;10;SEC_516
2005;121;16-17;4;8;12;SEC_121
2005;203;00-02;13;15;28;SEC_203
2005;309;18-24;34;38;72;SEC_309
2005;429;18-24;31;34;65;SEC_429
2005;432;75 i +;59;40;99;SEC_432
2005;103;18-24;34;30;64;SEC_103
2005;530;65-74;100;87;187;SEC_530
2005;127;25-34;66;76;142;SEC_127
2005;438;35-49;98;97;195;SEC_438
2005;526;25-34;69;97;166;SEC_526
2005;227;03-11;29;25;54;SEC_227
2005;208;16-17;13;15;28;SEC_208
2005;243;75 i +;86;58;144;SEC_243
2005;231;65-74;69;52;121;SEC_231
2005;211;65-74;70;40;110;SEC_211
2005;249;65-74;72;42;114;SEC_249
2005;315;50-64;140;145;285;SEC_315
2005;307;25-34;110;106;216;SEC_307
2005;138;25-34;67;57;124;SEC_138
2005;131;65-74;62;55;117;SEC_131
2005;518;12-15;16;23;39;SEC_518
2005;231;50-64;85;65;150;SEC_231
2005;222;50-64;81;70;151;SEC_222
2005;409;03-11;25;17;42;SEC_409
2005;218;03-11;24;22;46;SEC_218
2005;603;12-15;13;13;26;SEC_603
2005;406;75 i +;44;45;89;SEC_406
2005;507;00-02;16;13;29;SEC_507
2005;423;65-74;69;70;139;SEC_423
2005;315;25-34;163;191;354;SEC_315
2005;206;03-11;23;26;49;SEC_206
2005;209;35-49;120;122;242;SEC_209
2005;238;65-74;50;40;90;SEC_238
2005;428;03-11;23;22;45;SEC_428
2005;441;65-74;87;76;163;SEC_441
2005;413;75 i +;42;26;68;SEC_413
2005;531;03-11;32;46;78;SEC_531
2005;307;50-64;215;187;402;SEC_307
2005;206;00-02;7;17;24;SEC_206
2005;101;65-74;50;48;98;SEC_101
2005;402;00-02;12;12;24;SEC_402
2005;223;16-17;7;7;14;SEC_223
2005;302;03-11;36;49;85;SEC_302
2005;321;12-15;38;52;90;SEC_321
2005;320;75 i +;31;13;44;SEC_320
2005;302;50-64;195;177;372;SEC_302
2005;249;03-11;37;38;75;SEC_249
2005;112;16-17;12;12;24;SEC_112
2005;227;65-74;43;29;72;SEC_227
2005;235;00-02;29;21;50;SEC_235
2005;222;65-74;41;40;81;SEC_222
2005;532;35-49;154;149;303;SEC_532
2005;418;25-34;117;148;265;SEC_418
2005;130;25-34;98;97;195;SEC_130
2005;518;18-24;52;52;104;SEC_518
2005;424;50-64;60;50;110;SEC_424
2005;122;03-11;31;29;60;SEC_122
2005;304;03-11;49;49;98;SEC_304
2005;537;50-64;143;112;255;SEC_537
2005;508;65-74;37;31;68;SEC_508
2005;608;50-64;81;67;148;SEC_608
2005;249;75 i +;63;45;108;SEC_249
2005;130;16-17;7;11;18;SEC_130
2005;222;35-49;101;125;226;SEC_222
2005;244;18-24;23;20;43;SEC_244
2005;316;16-17;34;33;67;SEC_316
2005;402;65-74;54;58;112;SEC_402
2005;221;00-02;6;10;16;SEC_221
2005;104;35-49;93;112;205;SEC_104
2005;519;35-49;73;89;162;SEC_519
2005;508;25-34;69;65;134;SEC_508
2005;222;75 i +;37;19;56;SEC_222
2005;207;65-74;48;36;84;SEC_207
2005;535;35-49;101;101;202;SEC_535
2005;406;00-02;10;23;33;SEC_406
2005;505;25-34;111;125;236;SEC_505
2005;606;16-17;12;7;19;SEC_606
2005;525;75 i +;43;32;75;SEC_525
2005;602;65-74;43;60;103;SEC_602
2005;318;50-64;86;91;177;SEC_318
2005;209;50-64;66;66;132;SEC_209
2005;401;00-02;18;20;38;SEC_401
2005;609;16-17;2;8;10;SEC_609
2005;416;65-74;51;45;96;SEC_416
2005;106;75 i +;56;31;87;SEC_106
2005;112;25-34;150;144;294;SEC_112
2005;517;18-24;67;63;130;SEC_517
2005;509;75 i +;29;14;43;SEC_509
2005;524;35-49;145;145;290;SEC_524
2005;625;00-02;10;14;24;SEC_625
2005;113;12-15;22;30;52;SEC_113
2005;323;18-24;123;153;276;SEC_323
2005;531;50-64;86;68;154;SEC_531
2005;441;00-02;21;25;46;SEC_441
2005;433;12-15;20;26;46;SEC_433
2005;442;18-24;25;26;51;SEC_442
2005;234;18-24;32;46;78;SEC_234
2005;126;50-64;139;113;252;SEC_126
2005;509;12-15;9;16;25;SEC_509
2005;225;25-34;34;69;103;SEC_225
2005;608;35-49;93;83;176;SEC_608
2005;610;03-11;44;48;92;SEC_610
2005;513;35-49;77;94;171;SEC_513
2005;403;65-74;85;92;177;SEC_403
2005;521;03-11;24;30;54;SEC_521
2005;114;65-74;77;83;160;SEC_114
2005;628;12-15;23;15;38;SEC_628
2005;135;03-11;65;50;115;SEC_135
2005;223;35-49;138;169;307;SEC_223
2005;410;16-17;9;14;23;SEC_410
2005;218;12-15;14;15;29;SEC_218
2005;534;16-17;7;7;14;SEC_534
2005;117;18-24;101;103;204;SEC_117
2005;401;75 i +;74;46;120;SEC_401
2005;245;03-11;45;39;84;SEC_245
2005;230;18-24;43;31;74;SEC_230
2005;505;75 i +;49;42;91;SEC_505
2005;249;50-64;89;79;168;SEC_249
2005;606;18-24;39;37;76;SEC_606
2005;317;18-24;46;55;101;SEC_317
2005;421;00-02;16;13;29;SEC_421
2005;125;65-74;49;65;114;SEC_125
2005;320;25-34;101;112;213;SEC_320
2005;427;18-24;34;42;76;SEC_427
2005;414;25-34;88;86;174;SEC_414
2005;441;03-11;65;53;118;SEC_441
2005;433;16-17;15;7;22;SEC_433
2005;133;03-11;33;40;73;SEC_133
2005;222;18-24;52;54;106;SEC_222
2005;535;75 i +;45;25;70;SEC_535
2005;129;03-11;38;46;84;SEC_129
2005;515;16-17;8;14;22;SEC_515
2005;527;25-34;117;146;263;SEC_527
2005;307;75 i +;86;51;137;SEC_307
2005;524;00-02;19;19;38;SEC_524
2005;115;35-49;151;141;292;SEC_115
2005;433;35-49;132;143;275;SEC_433
2005;219;03-11;61;43;104;SEC_219
2005;319;35-49;190;210;400;SEC_319
2005;612;00-02;15;13;28;SEC_612
2005;122;18-24;35;24;59;SEC_122
2005;241;12-15;20;13;33;SEC_241
2005;127;50-64;56;60;116;SEC_127
2005;119;00-02;12;13;25;SEC_119
2005;623;12-15;11;21;32;SEC_623
2005;403;16-17;7;7;14;SEC_403
2005;602;03-11;18;21;39;SEC_602
2005;107;00-02;22;24;46;SEC_107
2005;512;16-17;3;9;12;SEC_512
2005;530;35-49;172;173;345;SEC_530
2005;408;18-24;42;48;90;SEC_408
2005;422;25-34;120;152;272;SEC_422
2005;504;65-74;85;93;178;SEC_504
2005;625;16-17;18;20;38;SEC_625
2005;106;50-64;227;234;461;SEC_106
2005;434;18-24;25;32;57;SEC_434
2005;249;25-34;109;117;226;SEC_249
2005;604;65-74;41;37;78;SEC_604
2005;524;75 i +;66;29;95;SEC_524
2005;232;03-11;34;35;69;SEC_232
2005;616;12-15;64;75;139;SEC_616
2005;124;12-15;15;21;36;SEC_124
2005;526;50-64;59;59;118;SEC_526
2005;506;16-17;18;19;37;SEC_506
2005;508;00-02;9;10;19;SEC_508
2005;312;18-24;62;60;122;SEC_312
2005;114;03-11;49;51;100;SEC_114
2005;623;75 i +;55;29;84;SEC_623
2005;424;00-02;9;8;17;SEC_424
2005;204;75 i +;42;21;63;SEC_204
2005;236;18-24;51;49;100;SEC_236
2005;229;18-24;30;42;72;SEC_229
2005;629;00-02;11;7;18;SEC_629
2005;106;00-02;32;17;49;SEC_106
2005;229;35-49;98;98;196;SEC_229
2005;234;16-17;6;10;16;SEC_234
2005;627;65-74;37;36;73;SEC_627
2005;211;75 i +;85;43;128;SEC_211
2005;138;03-11;31;19;50;SEC_138
2005;213;65-74;52;46;98;SEC_213
2005;422;75 i +;73;49;122;SEC_422
2005;509;18-24;48;40;88;SEC_509
2005;622;50-64;93;87;180;SEC_622
2005;223;75 i +;69;38;107;SEC_223
2005;508;03-11;20;20;40;SEC_508
2005;110;16-17;9;7;16;SEC_110
2005;632;12-15;12;19;31;SEC_632
2005;529;35-49;140;133;273;SEC_529
2005;508;18-24;32;30;62;SEC_508
2005;202;50-64;60;60;120;SEC_202
2005;506;12-15;34;45;79;SEC_506
2005;139;35-49;85;118;203;SEC_139
2005;534;03-11;34;37;71;SEC_534
2005;615;00-02;9;6;15;SEC_615
2005;532;50-64;126;99;225;SEC_532
2005;319;03-11;71;74;145;SEC_319
2005;219;18-24;55;67;122;SEC_219
2005;437;00-02;7;12;19;SEC_437
2005;530;50-64;105;90;195;SEC_530
2005;219;50-64;98;76;174;SEC_219
2005;322;03-11;55;48;103;SEC_322
2005;229;25-34;84;90;174;SEC_229
2005;622;75 i +;41;10;51;SEC_622
2005;132;50-64;212;216;428;SEC_132
2005;502;75 i +;79;49;128;SEC_502
2005;508;16-17;3;4;7;SEC_508
2005;235;65-74;79;68;147;SEC_235
2005;519;65-74;45;32;77;SEC_519
2005;243;00-02;17;24;41;SEC_243
2005;622;18-24;36;45;81;SEC_622
2005;316;18-24;179;175;354;SEC_316
