AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2002;135;35-49;185;172;357;SEC_135
2002;419;50-64;69;71;140;SEC_419
2002;601;12-15;14;23;37;SEC_601
2002;423;75 i +;51;27;78;SEC_423
2002;430;12-15;9;16;25;SEC_430
2002;110;50-64;171;166;337;SEC_110
2002;139;16-17;6;7;13;SEC_139
2002;520;75 i +;43;32;75;SEC_520
2002;410;35-49;141;162;303;SEC_410
2002;302;25-34;147;173;320;SEC_302
2002;139;35-49;80;99;179;SEC_139
2002;309;00-02;8;11;19;SEC_309
2002;246;65-74;71;58;129;SEC_246
2002;230;16-17;5;8;13;SEC_230
2002;204;16-17;4;6;10;SEC_204
2002;623;00-02;20;24;44;SEC_623
2002;533;65-74;71;66;137;SEC_533
2002;618;75 i +;19;15;34;SEC_618
2002;239;12-15;12;18;30;SEC_239
2002;307;35-49;177;139;316;SEC_307
2002;211;35-49;129;133;262;SEC_211
2002;415;00-02;12;9;21;SEC_415
2002;405;25-34;86;88;174;SEC_405
2002;244;16-17;4;5;9;SEC_244
2002;416;16-17;6;6;12;SEC_416
2002;441;18-24;119;117;236;SEC_441
2002;237;12-15;21;14;35;SEC_237
2002;510;16-17;8;7;15;SEC_510
2002;105;03-11;28;58;86;SEC_105
2002;534;16-17;5;5;10;SEC_534
2002;614;50-64;133;114;247;SEC_614
2002;532;50-64;149;131;280;SEC_532
2002;315;03-11;50;54;104;SEC_315
2002;303;50-64;196;147;343;SEC_303
2002;241;03-11;33;25;58;SEC_241
2002;110;16-17;15;11;26;SEC_110
2002;312;00-02;10;20;30;SEC_312
2002;319;16-17;11;10;21;SEC_319
2002;216;16-17;10;13;23;SEC_216
2002;110;18-24;63;67;130;SEC_110
2002;536;75 i +;42;38;80;SEC_536
2002;205;35-49;87;94;181;SEC_205
2002;409;16-17;4;3;7;SEC_409
2002;207;75 i +;68;30;98;SEC_207
2002;102;03-11;51;58;109;SEC_102
2002;211;50-64;73;64;137;SEC_211
2002;407;16-17;4;10;14;SEC_407
2002;223;03-11;45;42;87;SEC_223
2002;515;03-11;18;13;31;SEC_515
2002;428;16-17;7;5;12;SEC_428
2002;440;50-64;145;130;275;SEC_440
2002;518;03-11;28;28;56;SEC_518
2002;310;18-24;58;55;113;SEC_310
2002;429;16-17;4;9;13;SEC_429
2002;102;75 i +;68;38;106;SEC_102
2002;127;16-17;15;9;24;SEC_127
2002;418;16-17;9;12;21;SEC_418
2002;624;50-64;168;161;329;SEC_624
2002;117;16-17;34;27;61;SEC_117
2002;509;16-17;5;7;12;SEC_509
2002;102;65-74;99;79;178;SEC_102
2002;140;25-34;82;100;182;SEC_140
2002;118;16-17;18;24;42;SEC_118
2002;414;03-11;29;32;61;SEC_414
2002;322;25-34;130;145;275;SEC_322
2002;536;25-34;72;82;154;SEC_536
2002;537;18-24;66;68;134;SEC_537
2002;236;12-15;18;16;34;SEC_236
2002;246;16-17;11;7;18;SEC_246
2002;221;65-74;77;65;142;SEC_221
2002;217;03-11;21;19;40;SEC_217
2002;535;75 i +;41;28;69;SEC_535
