AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
1998;423;00-02;6;10;16;SEC_423
1998;315;65-74;51;33;84;SEC_315
1998;522;00-02;5;5;10;SEC_522
1998;242;75 i +;48;46;94;SEC_242
1998;243;35-49;137;125;262;SEC_243
1998;211;65-74;96;76;172;SEC_211
1998;528;00-02;10;11;21;SEC_528
1998;426;00-02;10;10;20;SEC_426
1998;302;16-17;17;20;37;SEC_302
1998;506;75 i +;56;30;86;SEC_506
1998;630;50-64;93;104;197;SEC_630
1998;219;65-74;76;64;140;SEC_219
1998;404;75 i +;55;30;85;SEC_404
1998;320;65-74;24;11;35;SEC_320
1998;530;03-11;47;39;86;SEC_530
1998;508;16-17;11;7;18;SEC_508
1998;439;35-49;59;67;126;SEC_439
1998;322;35-49;121;118;239;SEC_322
1998;624;00-02;11;10;21;SEC_624
1998;405;00-02;9;9;18;SEC_405
1998;402;03-11;20;20;40;SEC_402
1998;612;35-49;68;77;145;SEC_612
1998;114;18-24;110;117;227;SEC_114
1998;428;00-02;4;4;8;SEC_428
1998;620;00-02;3;4;7;SEC_620
1998;234;16-17;8;10;18;SEC_234
1998;242;35-49;84;90;174;SEC_242
1998;219;00-02;13;12;25;SEC_219
1998;239;75 i +;60;36;96;SEC_239
1998;311;03-11;36;47;83;SEC_311
1998;118;50-64;135;160;295;SEC_118
1998;306;35-49;180;171;351;SEC_306
1998;245;16-17;16;8;24;SEC_245
1998;131;03-11;60;53;113;SEC_131
1998;103;12-15;18;15;33;SEC_103
1998;245;50-64;87;75;162;SEC_245
1998;441;35-49;257;252;509;SEC_441
1998;306;25-34;112;107;219;SEC_306
1998;319;00-02;5;9;14;SEC_319
1998;302;03-11;50;48;98;SEC_302
1998;520;00-02;7;11;18;SEC_520
1998;243;65-74;102;87;189;SEC_243
1998;218;03-11;17;24;41;SEC_218
1998;315;25-34;125;123;248;SEC_315
1998;234;65-74;86;55;141;SEC_234
1998;521;12-15;24;20;44;SEC_521
1998;314;25-34;174;175;349;SEC_314
1998;532;16-17;10;15;25;SEC_532
1998;110;16-17;16;14;30;SEC_110
1998;323;75 i +;43;13;56;SEC_323
1998;504;18-24;81;106;187;SEC_504
1998;214;35-49;49;52;101;SEC_214
1998;607;03-11;32;32;64;SEC_607
1998;432;50-64;139;149;288;SEC_432
1998;615;18-24;75;86;161;SEC_615
1998;530;75 i +;64;28;92;SEC_530
1998;103;25-34;58;60;118;SEC_103
1998;433;25-34;105;110;215;SEC_433
1998;130;50-64;114;92;206;SEC_130
1998;232;35-49;80;68;148;SEC_232
1998;620;03-11;20;26;46;SEC_620
1998;428;50-64;42;38;80;SEC_428
1998;123;00-02;10;15;25;SEC_123
1998;212;65-74;76;68;144;SEC_212
1998;521;25-34;81;92;173;SEC_521
1998;430;00-02;9;10;19;SEC_430
1998;437;12-15;18;18;36;SEC_437
1998;241;16-17;4;5;9;SEC_241
1998;422;65-74;89;70;159;SEC_422
1998;632;12-15;19;30;49;SEC_632
1998;414;03-11;25;32;57;SEC_414
1998;630;12-15;22;21;43;SEC_630
1998;437;75 i +;21;17;38;SEC_437
1998;418;50-64;126;118;244;SEC_418
1998;120;12-15;34;44;78;SEC_120
1998;307;16-17;30;26;56;SEC_307
1998;427;25-34;73;71;144;SEC_427
1998;535;75 i +;36;20;56;SEC_535
1998;419;18-24;34;55;89;SEC_419
1998;434;18-24;33;20;53;SEC_434
1998;534;75 i +;45;22;67;SEC_534
1998;221;12-15;16;25;41;SEC_221
1998;107;03-11;54;53;107;SEC_107
1998;625;16-17;35;35;70;SEC_625
1998;113;35-49;209;184;393;SEC_113
1998;507;65-74;37;36;73;SEC_507
1998;529;65-74;87;68;155;SEC_529
1998;629;35-49;66;55;121;SEC_629
1998;417;75 i +;21;13;34;SEC_417
1998;428;75 i +;28;18;46;SEC_428
1998;223;35-49;75;85;160;SEC_223
1998;316;03-11;117;121;238;SEC_316
1998;111;12-15;18;16;34;SEC_111
1998;501;65-74;17;24;41;SEC_501
1998;319;65-74;30;25;55;SEC_319
1998;612;65-74;49;46;95;SEC_612
1998;129;25-34;108;109;217;SEC_129
1998;534;35-49;79;80;159;SEC_534
1998;423;65-74;65;45;110;SEC_423
1998;405;25-34;81;89;170;SEC_405
1998;105;50-64;76;99;175;SEC_105
1998;437;65-74;47;38;85;SEC_437
1998;509;03-11;23;27;50;SEC_509
1998;302;18-24;125;126;251;SEC_302
1998;526;12-15;9;14;23;SEC_526
1998;134;25-34;109;99;208;SEC_134
1998;114;12-15;32;36;68;SEC_114
1998;219;16-17;4;19;23;SEC_219
1998;316;25-34;100;84;184;SEC_316
1998;522;16-17;10;10;20;SEC_522
1998;626;03-11;39;33;72;SEC_626
1998;305;25-34;90;102;192;SEC_305
1998;324;75 i +;49;19;68;SEC_324
1998;228;12-15;5;9;14;SEC_228
1998;140;18-24;63;61;124;SEC_140
1998;614;50-64;137;125;262;SEC_614
1998;623;35-49;165;137;302;SEC_623
1998;129;12-15;27;21;48;SEC_129
1998;503;12-15;28;24;52;SEC_503
1998;247;25-34;91;107;198;SEC_247
1998;418;25-34;87;105;192;SEC_418
1998;237;18-24;62;62;124;SEC_237
1998;422;18-24;37;43;80;SEC_422
1998;307;75 i +;41;22;63;SEC_307
1998;420;16-17;8;14;22;SEC_420
1998;105;35-49;184;145;329;SEC_105
1998;530;65-74;114;78;192;SEC_530
1998;418;12-15;21;28;49;SEC_418
1998;417;12-15;9;14;23;SEC_417
1998;530;00-02;10;16;26;SEC_530
1998;228;16-17;6;1;7;SEC_228
1998;247;65-74;85;71;156;SEC_247
1998;431;25-34;100;101;201;SEC_431
1998;407;03-11;20;29;49;SEC_407
1998;618;00-02;2;5;7;SEC_618
1998;523;35-49;104;114;218;SEC_523
1998;402;25-34;50;74;124;SEC_402
1998;516;12-15;10;3;13;SEC_516
1998;617;25-34;104;129;233;SEC_617
1998;535;18-24;86;104;190;SEC_535
1998;232;50-64;95;87;182;SEC_232
1998;235;25-34;120;114;234;SEC_235
1998;102;75 i +;81;37;118;SEC_102
1998;106;75 i +;42;25;67;SEC_106
1998;533;16-17;6;6;12;SEC_533
1998;417;35-49;54;60;114;SEC_417
1998;133;00-02;3;11;14;SEC_133
1998;516;16-17;8;4;12;SEC_516
1998;628;65-74;47;39;86;SEC_628
1998;238;16-17;9;8;17;SEC_238
1998;433;18-24;41;60;101;SEC_433
1998;325;35-49;190;169;359;SEC_325
1998;202;65-74;42;42;84;SEC_202
1998;406;65-74;66;75;141;SEC_406
1998;226;35-49;105;91;196;SEC_226
1998;407;18-24;41;49;90;SEC_407
1998;517;75 i +;54;28;82;SEC_517
1998;426;35-49;80;82;162;SEC_426
1998;121;16-17;5;5;10;SEC_121
1998;622;00-02;5;14;19;SEC_622
1998;311;00-02;11;10;21;SEC_311
1998;237;12-15;19;12;31;SEC_237
1998;212;25-34;127;107;234;SEC_212
