AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2008;626;18-24;34;25;59;SEC_626
2008;101;00-02;52;54;106;SEC_101
2008;517;50-64;89;79;168;SEC_517
2008;414;03-11;40;37;77;SEC_414
2008;319;75 i +;44;29;73;SEC_319
2008;229;18-24;34;40;74;SEC_229
2008;625;16-17;11;11;22;SEC_625
2008;308;25-34;151;151;302;SEC_308
2008;531;50-64;89;78;167;SEC_531
2008;608;25-34;55;67;122;SEC_608
2008;531;65-74;52;47;99;SEC_531
2008;622;12-15;11;17;28;SEC_622
2008;414;50-64;71;62;133;SEC_414
2008;316;16-17;19;25;44;SEC_316
2008;302;50-64;172;157;329;SEC_302
2008;610;03-11;49;48;97;SEC_610
2008;213;25-34;98;142;240;SEC_213
2008;401;75 i +;95;44;139;SEC_401
2008;246;12-15;22;15;37;SEC_246
2008;111;35-49;94;99;193;SEC_111
2008;231;16-17;2;9;11;SEC_231
2008;511;16-17;7;9;16;SEC_511
2008;412;50-64;178;157;335;SEC_412
2008;218;25-34;68;90;158;SEC_218
2008;604;50-64;69;50;119;SEC_604
2008;227;03-11;37;26;63;SEC_227
2008;230;65-74;35;34;69;SEC_230
2008;607;12-15;16;21;37;SEC_607
2008;127;16-17;7;6;13;SEC_127
2008;630;50-64;128;94;222;SEC_630
2008;307;25-34;123;114;237;SEC_307
2008;244;25-34;80;73;153;SEC_244
2008;510;50-64;83;80;163;SEC_510
2008;323;50-64;371;359;730;SEC_323
2008;610;12-15;14;24;38;SEC_610
2008;225;75 i +;51;22;73;SEC_225
2008;406;12-15;22;26;48;SEC_406
2008;240;35-49;93;105;198;SEC_240
2008;112;50-64;172;170;342;SEC_112
2008;429;18-24;23;38;61;SEC_429
2008;525;12-15;20;17;37;SEC_525
2008;139;25-34;93;113;206;SEC_139
2008;418;75 i +;63;42;105;SEC_418
2008;210;18-24;20;25;45;SEC_210
2008;425;16-17;8;10;18;SEC_425
2008;505;65-74;93;106;199;SEC_505
2008;201;18-24;29;40;69;SEC_201
2008;620;03-11;14;24;38;SEC_620
2008;101;50-64;132;122;254;SEC_101
2008;321;12-15;27;38;65;SEC_321
2008;502;00-02;31;21;52;SEC_502
2008;221;00-02;10;14;24;SEC_221
2008;103;25-34;70;94;164;SEC_103
2008;114;65-74;93;92;185;SEC_114
2008;220;65-74;46;26;72;SEC_220
2008;235;16-17;12;9;21;SEC_235
2008;437;75 i +;41;24;65;SEC_437
2008;139;12-15;14;19;33;SEC_139
2008;131;18-24;50;56;106;SEC_131
2008;115;65-74;59;42;101;SEC_115
2008;504;35-49;93;117;210;SEC_504
2008;223;50-64;106;87;193;SEC_223
2008;225;03-11;9;16;25;SEC_225
2008;428;16-17;4;8;12;SEC_428
2008;202;00-02;13;19;32;SEC_202
2008;136;65-74;64;43;107;SEC_136
2008;243;50-64;120;108;228;SEC_243
2008;418;65-74;76;65;141;SEC_418
2008;433;16-17;9;11;20;SEC_433
2008;612;18-24;29;37;66;SEC_612
2008;619;35-49;131;149;280;SEC_619
2008;210;35-49;96;91;187;SEC_210
2008;535;00-02;10;9;19;SEC_535
2008;211;50-64;84;80;164;SEC_211
2008;434;75 i +;57;28;85;SEC_434
2008;313;03-11;89;91;180;SEC_313
2008;403;35-49;111;130;241;SEC_403
2008;201;25-34;88;96;184;SEC_201
2008;406;65-74;82;57;139;SEC_406
2008;317;65-74;32;32;64;SEC_317
2008;205;50-64;96;82;178;SEC_205
2008;321;65-74;87;92;179;SEC_321
2008;442;75 i +;32;19;51;SEC_442
2008;130;75 i +;78;50;128;SEC_130
2008;306;35-49;191;207;398;SEC_306
2008;526;18-24;25;44;69;SEC_526
2008;107;75 i +;75;44;119;SEC_107
2008;111;25-34;79;62;141;SEC_111
2008;425;65-74;57;46;103;SEC_425
2008;630;12-15;8;11;19;SEC_630
2008;506;65-74;96;108;204;SEC_506
2008;503;12-15;14;19;33;SEC_503
2008;614;35-49;97;108;205;SEC_614
2008;423;12-15;18;17;35;SEC_423
2008;205;65-74;53;41;94;SEC_205
2008;438;16-17;6;9;15;SEC_438
2008;512;16-17;11;8;19;SEC_512
