AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2000;520;25-34;76;69;145;SEC_520
2000;409;12-15;8;10;18;SEC_409
2000;236;50-64;110;91;201;SEC_236
2000;427;18-24;54;43;97;SEC_427
2000;535;12-15;32;28;60;SEC_535
2000;313;25-34;151;143;294;SEC_313
2000;437;25-34;65;87;152;SEC_437
2000;511;75 i +;41;15;56;SEC_511
2000;511;35-49;49;56;105;SEC_511
2000;626;35-49;105;102;207;SEC_626
2000;417;25-34;56;57;113;SEC_417
2000;424;12-15;10;8;18;SEC_424
2000;248;16-17;13;11;24;SEC_248
2000;403;16-17;13;9;22;SEC_403
2000;427;25-34;69;74;143;SEC_427
2000;228;75 i +;39;21;60;SEC_228
2000;601;75 i +;64;27;91;SEC_601
2000;409;75 i +;22;13;35;SEC_409
2000;414;00-02;11;9;20;SEC_414
2000;114;35-49;162;160;322;SEC_114
2000;244;65-74;47;29;76;SEC_244
2000;408;35-49;94;91;185;SEC_408
2000;433;25-34;101;106;207;SEC_433
2000;204;03-11;12;16;28;SEC_204
2000;416;16-17;7;3;10;SEC_416
2000;234;75 i +;82;32;114;SEC_234
2000;236;12-15;18;12;30;SEC_236
2000;424;16-17;7;7;14;SEC_424
2000;605;12-15;8;6;14;SEC_605
2000;409;03-11;14;16;30;SEC_409
2000;604;16-17;7;7;14;SEC_604
2000;105;12-15;22;26;48;SEC_105
2000;520;65-74;54;60;114;SEC_520
2000;239;03-11;29;30;59;SEC_239
2000;530;65-74;113;84;197;SEC_530
2000;308;25-34;150;146;296;SEC_308
2000;508;50-64;55;47;102;SEC_508
2000;216;12-15;12;17;29;SEC_216
2000;525;12-15;21;16;37;SEC_525
2000;102;03-11;46;62;108;SEC_102
2000;325;03-11;64;55;119;SEC_325
2000;128;16-17;12;10;22;SEC_128
2000;221;75 i +;33;31;64;SEC_221
2000;239;16-17;8;7;15;SEC_239
2000;232;35-49;92;88;180;SEC_232
2000;304;03-11;32;43;75;SEC_304
2000;611;65-74;81;76;157;SEC_611
2000;313;50-64;156;161;317;SEC_313
2000;248;25-34;92;109;201;SEC_248
2000;116;50-64;176;173;349;SEC_116
2000;619;03-11;36;46;82;SEC_619
2000;405;00-02;16;12;28;SEC_405
2000;424;50-64;66;56;122;SEC_424
2000;319;12-15;15;15;30;SEC_319
2000;611;18-24;78;75;153;SEC_611
2000;120;25-34;151;129;280;SEC_120
2000;506;35-49;222;187;409;SEC_506
2000;629;75 i +;24;7;31;SEC_629
2000;409;50-64;71;65;136;SEC_409
2000;623;16-17;15;19;34;SEC_623
2000;130;03-11;39;39;78;SEC_130
2000;121;65-74;97;78;175;SEC_121
2000;319;03-11;18;28;46;SEC_319
2000;223;03-11;43;43;86;SEC_223
2000;513;12-15;7;12;19;SEC_513
2000;430;35-49;73;87;160;SEC_430
2000;531;25-34;89;87;176;SEC_531
2000;220;65-74;69;56;125;SEC_220
2000;110;12-15;27;20;47;SEC_110
2000;115;65-74;80;52;132;SEC_115
2000;319;18-24;44;51;95;SEC_319
2000;411;12-15;12;8;20;SEC_411
2000;607;12-15;12;19;31;SEC_607
2000;319;25-34;61;55;116;SEC_319
2000;215;25-34;58;68;126;SEC_215
2000;130;65-74;90;80;170;SEC_130
2000;115;18-24;71;80;151;SEC_115
2000;504;75 i +;56;37;93;SEC_504
2000;512;65-74;44;37;81;SEC_512
2000;432;25-34;90;86;176;SEC_432
2000;309;25-34;64;71;135;SEC_309
2000;604;03-11;27;32;59;SEC_604
2000;107;65-74;92;70;162;SEC_107
2000;418;65-74;59;44;103;SEC_418
2000;124;75 i +;34;24;58;SEC_124
2000;123;50-64;107;104;211;SEC_123
2000;106;75 i +;47;26;73;SEC_106
2000;115;25-34;94;128;222;SEC_115
2000;313;75 i +;68;32;100;SEC_313
2000;403;65-74;79;65;144;SEC_403
2000;319;75 i +;24;19;43;SEC_319
2000;223;25-34;83;92;175;SEC_223
2000;619;16-17;16;18;34;SEC_619
2000;509;18-24;48;33;81;SEC_509
2000;316;16-17;61;66;127;SEC_316
2000;623;12-15;30;22;52;SEC_623
2000;108;65-74;84;77;161;SEC_108
2000;311;16-17;7;11;18;SEC_311
2000;124;18-24;52;47;99;SEC_124
2000;244;12-15;7;3;10;SEC_244
2000;113;25-34;95;106;201;SEC_113
2000;113;00-02;9;13;22;SEC_113
2000;432;75 i +;36;32;68;SEC_432
2000;438;12-15;18;11;29;SEC_438
